lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,id_originations,states_with_originations,priority_match,idaho_originations
549300V36YE6JCCEJB76,,,,unmatched,3745,2185,1,AZ:2172;OK:2;IN:2;TN:2;KY:1;MI:1;NM:1;ID:1;GA:1;OR:1,medium,1
549300VF12R0WS33KN43,,,,unmatched,702,559,1,ND:516;MN:35;SD:2;AZ:1;CA:1;FL:1;ID:1;NY:1;WY:1,medium,1
2549001IK7UDPADKAG34,,,,unmatched,1213,581,1,OR:497;WA:78;AZ:3;CA:2;ID:1,medium,1
549300214PKB2Y1ZWH75,,,,unmatched,615,568,1,KS:524;MO:33;WY:2;AZ:2;AR:2;MN:1;ID:1;OK:1;TX:1;CO:1,medium,1
549300FVJ3IB88LTR841,,,,unmatched,2928,2196,1,MT:2183;ND:3;WY:3;AZ:3;NV:2;ID:1;SD:1,medium,1
5493000D6RXLNBZQYA47,,,,unmatched,2036,1179,1,WA:1112;OR:64;AZ:1;ID:1;UT:1,medium,1
5493007ZF78YQRSXQG49,,,,unmatched,1621,1148,1,MT:1139;WA:2;OR:2;AZ:2;WY:1;CO:1;ID:1,medium,1
54930021QRU8VXNS6152,,,,unmatched,1675,793,1,WA:789;OR:3;ID:1,medium,1
549300G5ZQEXZC4Y5G44,,,,unmatched,134,58,1,CA:42;TX:3;GA:2;AZ:2;WA:2;OH:1;IL:1;TN:1;OR:1;ID:1,low,1
2549003O1765OJT2BV03,,,,unmatched,37,28,1,CA:27;ID:1,low,1
5493002CAA1SKNHHUI24,,,,unmatched,361,175,1,IL:125;AZ:12;MI:10;NY:7;PA:5;DE:5;NJ:4;FL:2;ID:1;IN:1,low,1
549300B8JQ9XD5FQQH32,,,,unmatched,322,308,1,LA:291;TX:11;MS:2;FL:1;AR:1;ID:1;GA:1,low,1
549300BSTNYSV3EWYM24,,,,unmatched,350,272,1,OK:223;MO:33;TX:7;FL:3;CO:2;AR:1;AL:1;ID:1;SC:1,low,1
54930099BVD0E448JX38,,,,unmatched,537,457,1,NE:353;IA:60;MN:15;MO:7;CO:6;FL:3;SD:2;KS:2;TX:2;ID:1,low,1
549300FJHIE3T5GJRI39,,,,unmatched,227,109,1,UT:99;CA:7;AZ:1;NV:1;ID:1,low,1
2549006ONI6N95VKB649,,,,unmatched,469,344,1,MI:326;OH:7;FL:5;IN:4;ID:1;KY:1,low,1
5493007RCYAICJL91Z44,,,,unmatched,155,90,1,NE:78;CA:4;IA:4;ID:1;AZ:1;TX:1;MO:1,low,1
5493003617RJR4JUYT66,,,,unmatched,318,254,1,IL:246;WI:2;FL:2;TN:1;MI:1;ID:1;AZ:1,low,1
549300SPHVO4KAGQUX53,,,,unmatched,263,245,1,KS:211;CO:12;OH:5;OK:5;FL:3;IA:2;NM:2;ID:1;IL:1;AZ:1,low,1
254900P681DTTH4I3144,,,,unmatched,335,240,1,ND:121;AZ:62;MN:48;SD:2;TX:1;MT:1;ID:1;IL:1;UT:1;FL:1,low,1
549300R5DOGZK0VWYL76,,,,unmatched,517,457,1,WY:440;CO:6;MT:2;NE:2;OK:1;CA:1;ID:1;TN:1;VA:1;AK:1,low,1
549300JAEP0DFO79JO70,,,,unmatched,465,252,1,UT:247;CA:1;IN:1;FL:1;AZ:1;ID:1,low,1
549300ZL6THC5R7VUP98,,,,unmatched,273,116,1,OK:101;AZ:6;CO:3;FL:2;NV:1;UT:1;ID:1;AR:1,low,1
549300IY6RZNCBF0QZ14,,,,unmatched,267,252,1,KS:238;MO:10;ID:1;GA:1;MS:1;KY:1,low,1
549300DO5YMN2M8SMI23,,,,unmatched,76,52,1,CO:48;KS:2;ID:1;TX:1,low,1
549300T03X096VF60C57,,,,unmatched,663,443,1,SD:417;MN:7;IA:6;AZ:3;ND:2;NE:1;WA:1;MT:1;ID:1;ME:1,low,1
54930097J3TUZXBXXE75,,,,unmatched,671,340,1,WA:309;OR:28;MT:1;AZ:1;ID:1,low,1
54930019RBT2SM6CQS78,,,,unmatched,284,219,1,ND:166;WI:37;MN:8;SD:3;AZ:1;MI:1;NV:1;ID:1;UT:1,low,1
2549000VZA9BKX17VB15,,,,unmatched,120,95,1,MT:93;AZ:1;ID:1,low,1
549300JE1TOUVEDSGD05,,,,unmatched,78,49,1,WA:48;ID:1,low,1
2549008CBS11KBKU4Z95,,,,unmatched,47,43,1,UT:42;ID:1,low,1
54930032YM5T2EF3J715,,,,unmatched,41,38,1,UT:37;ID:1,low,1
254900N6XFQR6TP1WG82,,,,unmatched,33,33,1,OR:29;WA:2;VA:1;ID:1,low,1
25490035B529HXNJPT77,,,,unmatched,39,28,1,MT:27;ID:1,low,1
2549009OWTY7KVB18G12,,,,unmatched,11,11,1,OR:9;ID:1;WA:1,low,1
549300HW662MN1WU8550,,,,unmatched,576697,422119,0,CA:57281;FL:49897;TX:42285;MI:22015;AZ:19328;CO:18178;GA:17047;NC:13671;IL:11397;NY:11157,high,0
549300FGXN1K3HLB1R50,,,,unmatched,609400,429332,0,CA:42202;FL:31530;TX:30579;MI:22693;GA:21182;NC:18462;OH:16656;PA:16043;VA:14489;NY:13729,high,0
549300VZVN841I2ILS84,,,,unmatched,190472,125099,0,FL:11987;OH:11011;CA:9599;PA:8399;TX:7734;NJ:7558;IL:5600;NY:5429;AZ:4945;WA:4877,high,0
B4TYDEB6GKMZO031MB27,,,,unmatched,217492,88530,0,CA:17758;FL:7938;TX:6141;NJ:5136;NC:4880;NY:3897;MA:3551;GA:3440;WA:3420;IL:2889,high,0
RVDPPPGHCGZ40J4VQ731,,,,unmatched,193807,100816,0,CA:10749;FL:9704;TX:6849;GA:5272;PA:4488;VA:4338;NC:3751;AZ:3232;NJ:3144;OH:2964,high,0
7H6GLXDRUGQFU57RNE97,,,,unmatched,152415,94243,0,CA:14032;TX:9775;NY:9163;IL:8778;FL:6131;OH:4171;NJ:3325;MI:2995;AZ:2864;IN:2857,high,0
549300AG64NHILB7ZP05,,,,unmatched,155159,91730,0,CA:9983;TX:8535;FL:7460;NJ:4334;IL:4241;GA:4168;AZ:4138;NC:3969;OH:3505;SC:2670,high,0
DRMSV1Q0EKMEXLAU1P80,,,,unmatched,119620,68902,0,NY:11000;PA:10441;MA:10235;NJ:7208;OH:4732;RI:3762;MI:3697;NH:3194;CT:3030;FL:2297,high,0
549300H3IZO24NSOO931,,,,unmatched,77363,56951,0,TX:15642;FL:10692;CA:6607;NC:2756;SC:2694;AZ:2623;IN:1952;NV:1669;MN:1365;CO:1283,high,0
5493003GQDUH26DNNH17,,,,unmatched,179597,80547,0,VA:9684;FL:8416;CA:6361;NC:5249;MD:5163;GA:5118;TX:4267;SC:2487;WA:2289;PA:2141,high,0
549300GKFNPRWNS0GF29,,,,unmatched,102677,70098,0,TX:10655;WA:5796;CA:4698;FL:4388;TN:3925;PA:2626;NH:2466;MA:2329;VA:2325;NJ:2257,high,0
549300DD5QQUHO6PCH70,,,,unmatched,178189,82764,0,TX:6918;FL:5506;NC:4769;VA:4500;GA:4139;OH:3302;TN:3178;IL:2965;MO:2901;PA:2643,high,0
549300U3721PJGQZYY68,,,,unmatched,129086,70579,0,IL:10217;CA:6248;NJ:4826;MA:4507;TX:3318;FL:3204;PA:3119;OH:2795;NC:2491;CO:2143,high,0
549300FNXYY540N23N64,,,,unmatched,187594,66567,0,CA:5772;FL:5643;TX:4793;NY:3123;NC:2787;WA:2702;GA:2480;OH:2258;VA:2175;PA:2124,high,0
549300LYRWPSYPK6S325,,,,unmatched,165453,69982,0,TX:5759;FL:5374;NC:4463;GA:3946;CA:3918;VA:3646;IN:2580;OH:2477;TN:2436;SC:2168,high,0
549300DD4R4SYK5RAQ92,,,,unmatched,81084,57781,0,NC:8138;WA:5559;VA:4339;FL:4122;PA:3902;SC:2978;GA:2388;TX:2367;TN:2207;CA:1690,high,0
AD6GFRVSDT01YPT1CS68,,,,unmatched,116536,61280,0,PA:11263;OH:6725;NJ:5755;IL:3711;FL:3475;MD:2948;TX:2930;MI:2885;IN:2802;CA:2688,high,0
549300AQ3T62GXDU7D76,,,,unmatched,121724,86111,0,TX:6877;WA:5691;MO:5462;CO:4338;OR:4218;CA:4118;UT:3981;NV:3882;GA:3788;AZ:3467,high,0
549300E2UX99HKDBR481,,,,unmatched,140816,57460,0,TX:5508;CA:5105;GA:4063;FL:3881;IL:3581;MO:2619;PA:2148;MN:1842;WA:1680;NC:1619,high,0
6BYL5QZYBDK8S7L73M02,,,,unmatched,151786,74632,0,CA:16135;IL:4571;MN:4538;OH:3965;MO:3622;WA:3524;WI:2785;KY:2645;OR:2465;FL:2279,high,0
549300MGPZBLQDIL7538,,,,unmatched,103697,74450,0,TX:7468;AZ:4724;IL:4215;IN:3665;GA:3631;FL:3153;NC:2993;WI:2947;CA:2867;OH:2685,high,0
JJKC32MCHWDI71265Z06,,,,unmatched,83470,41001,0,NC:7920;VA:6374;FL:6117;GA:4837;MD:3245;SC:2178;PA:2152;TN:2014;TX:1260;KY:1026,high,0
KB1H1DSPRFMYMCUFXT09,,,,unmatched,76304,41562,0,CA:9616;NY:2733;FL:2670;TX:2647;NC:2302;NJ:1716;PA:1628;WA:1514;GA:1509;MN:1496,high,0
549300LBCBNR1OT00651,,,,unmatched,79599,52217,0,CA:4657;TX:3609;FL:3546;GA:2560;IL:1982;NC:1949;OH:1768;VA:1764;PA:1746;AZ:1744,high,0
254900DTLHVWQ7NP7R34,,,,unmatched,58895,40038,0,CA:8432;FL:4627;TX:3502;AZ:2579;UT:1917;IL:1746;CO:1646;MI:1407;WA:1253;GA:1055,high,0
549300PIL8LFAQ04XC20,,,,unmatched,108788,32174,0,CA:6742;FL:2675;AZ:1610;TX:1571;GA:1319;NJ:1279;NC:1116;WA:1086;VA:1024;CO:963,high,0
549300MZ8VZJOVC63092,,,,unmatched,45691,29401,0,CA:6409;TX:3781;FL:2662;UT:2249;GA:1421;OR:864;PA:782;WA:727;AZ:672;TN:597,high,0
254900UL88QFG0E40516,,,,unmatched,72355,33415,0,CA:5234;FL:2872;GA:1717;OH:1553;IL:1432;AZ:1416;NC:1212;NJ:1197;VA:1180;MI:1090,high,0
549300XQVJ1XBNFA5536,,,,unmatched,157783,28058,0,TX:6763;FL:2098;MI:1623;AL:1274;CA:1262;GA:1218;SC:1207;LA:1097;MS:1068;OK:888,high,0
5493006VAGP3GQ8FJT49,,,,unmatched,45169,25528,0,CA:3237;FL:2385;OH:1967;PA:1829;NC:1435;GA:1388;TX:1379;NJ:1139;MI:1128;MO:909,high,0
254900ZFWS2106HWPH46,,,,unmatched,34318,23410,0,CA:3975;FL:3741;TX:3136;NJ:1490;AZ:1127;GA:977;CO:741;WA:701;OH:688;OR:635,high,0
549300RPOGWJRH63HS39,,,,unmatched,51423,37767,0,OH:5380;MI:4118;TX:3238;FL:2495;IN:2257;NC:2127;PA:1934;IL:1655;TN:1404;KY:1069,high,0
WWB2V0FCW3A0EE3ZJN75,,,,unmatched,40592,23443,0,NY:7073;MD:3115;PA:3099;CT:2398;MA:1690;NJ:1501;VA:901;DE:767;VT:352;FL:342,high,0
549300121SF0K2LN2804,,,,unmatched,33320,24706,0,TX:6358;SC:1561;MO:1496;NY:1278;CA:1208;OH:1134;FL:931;PA:746;WA:716;AZ:610,high,0
E57ODZWZ7FF32TWEFA76,,,,unmatched,33959,15812,0,CA:5786;NY:3687;IL:1251;NJ:707;FL:565;TX:506;MD:400;WA:317;VA:311;DC:281,high,0
549300J7I82PNDVU8H22,,,,unmatched,29739,16337,0,CA:7327;FL:1580;TX:1270;MD:564;IL:454;AZ:439;GA:412;NV:368;MA:335;VA:312,high,0
5493001WHVQBGRSWEU75,,,,unmatched,25005,17312,0,CA:3155;FL:2433;NY:1590;TX:1135;NJ:989;GA:669;AZ:590;VA:485;NC:461;CO:424,high,0
5493000YNV8IX4VD3X12,,,,unmatched,121666,19996,0,NC:2515;SC:2449;TX:2045;GA:1956;TN:1509;IN:1449;AL:1426;KY:1150;FL:844;OH:738,high,0
549300XWUSRVVOHPRY47,,,,unmatched,28287,16190,0,FL:2938;TX:2750;GA:2402;CA:1342;MN:915;NY:748;MI:631;KY:499;CO:448;TN:425,high,0
549300YIQ7S7Z8PIHE53,,,,unmatched,94427,24298,0,FL:1667;CA:1635;NC:1353;GA:1343;TX:1068;PA:997;OH:991;VA:957;NJ:888;IL:882,high,0
IUGPUX5LWRZ3B6KIZ697,,,,unmatched,18359,13184,0,GA:5627;SC:1857;FL:1846;VA:724;NC:634;CA:484;MD:455;TN:394;AL:363;IL:140,high,0
2549005SIVTHG14U2905,,,,unmatched,24436,14692,0,FL:5245;CA:1446;TX:1050;NY:948;IL:550;GA:471;AZ:471;NJ:453;PA:339;SC:296,high,0
549300KIOYNU323LVJ37,,,,unmatched,34217,24774,0,CA:3554;IL:2402;TX:1947;WA:1911;FL:1750;AZ:1562;GA:1405;OR:860;TN:854;OH:854,high,0
549300OPCWU6E72WUT29,,,,unmatched,41778,24192,0,CA:1845;FL:1510;NC:1387;OH:1270;IL:1245;TX:1178;GA:1042;AZ:855;VA:839;TN:821,high,0
549300O6Z0I6KYMESL47,,,,unmatched,19692,12091,0,CA:4633;FL:1634;TX:1476;GA:546;UT:295;NJ:281;AZ:251;VA:241;PA:236;IL:224,high,0
5493001GCBD5XGNIC815,,,,unmatched,93158,21244,0,CA:3015;FL:2383;OH:1359;IL:1213;PA:1032;NC:962;VA:824;NJ:811;AZ:786;MI:772,high,0
54930001NSTOD85LT125,,,,unmatched,24645,15934,0,CA:1539;FL:1458;PA:1342;NJ:1110;IL:970;TX:965;MA:816;MO:782;MN:709;OH:676,high,0
QFROUN1UWUYU0DVIWD51,,,,unmatched,75426,39534,0,OH:12389;MI:6106;IN:4817;IL:4111;FL:3553;KY:3150;NC:2216;TN:971;SC:863;GA:691,high,0
984500U2F9A83N391A91,,,,unmatched,18971,11067,0,FL:2262;CA:1367;TX:1262;NY:950;NJ:917;GA:409;AZ:367;PA:308;CT:294;NC:293,high,0
5493005PKOSG7MYX0B34,,,,unmatched,28926,20869,0,PA:2325;VA:2141;MN:1746;NC:1281;MD:1233;NJ:1060;GA:1024;CT:862;WI:782;AZ:775,high,0
549300JYXTZDSPJEPI44,,,,unmatched,23886,14594,0,TX:1897;FL:1239;NY:1222;CA:1056;PA:866;MN:713;MI:555;NC:515;IN:489;IL:475,high,0
549300RN01LBYR8ZVX74,,,,unmatched,29643,17905,0,TX:1752;FL:1721;OH:1641;SC:1492;IL:1191;CO:1189;NC:1047;GA:846;VA:635;MD:581,high,0
5493001GDRY0EL7VG372,,,,unmatched,20194,15382,0,TX:4151;KY:1179;CO:914;FL:795;CA:751;SC:545;TN:524;MI:399;GA:387;AZ:384,high,0
54930054ET8KM4O1D485,,,,unmatched,55546,16189,0,CA:1778;FL:1042;NC:865;TX:858;NJ:752;IL:709;GA:704;PA:668;OH:585;VA:529,high,0
549300NOCASXPA34X033,,,,unmatched,69562,16372,0,FL:1488;TX:1422;CA:1244;GA:829;AZ:635;NC:610;VA:600;CO:583;WA:518;TN:495,high,0
549300370QILXLFUWD20,,,,unmatched,20147,14357,0,TX:1648;FL:1590;CA:1176;GA:1124;NC:1090;CO:635;AZ:603;MI:599;OH:481;VA:436,high,0
549300XY701IELCE5Q08,,,,unmatched,45682,14567,0,CA:1786;TX:1143;FL:1004;GA:685;NC:664;NJ:658;CO:512;OK:493;WA:480;IL:476,high,0
5493008NWHQT1R22C024,,,,unmatched,22722,13125,0,FL:1724;CA:1554;VA:897;TX:880;NY:827;AZ:698;MI:616;GA:565;SC:484;IN:429,high,0
549300MCIFZSDHUT8X63,,,,unmatched,24275,18920,0,OH:3308;MD:2255;FL:2000;VA:1310;NC:1137;TX:1055;NJ:1051;AZ:897;WA:843;CO:659,high,0
549300R9S3MVDV4MGF56,,,,unmatched,52143,15089,0,FL:1296;CA:1022;GA:873;TX:848;IN:732;NC:680;OH:675;NY:576;MI:570;TN:533,high,0
549300GS0W0TEUQS8571,,,,unmatched,14182,10740,0,CA:1957;FL:990;NY:947;TX:573;NJ:548;MA:449;CO:427;IL:381;WA:350;GA:322,high,0
549300VORTI31GZTJL53,,,,unmatched,18123,12305,0,TX:2136;FL:1187;IN:791;TN:697;WI:497;NC:467;GA:453;MN:448;PA:446;NY:375,high,0
549300CB67L6KPJLHE19,,,,unmatched,72633,14578,0,TX:2321;CA:1644;MI:1245;MS:1014;FL:774;LA:606;AL:587;PA:553;WA:550;OR:426,high,0
Q7C315HKI8VX0SSKBS64,,,,unmatched,20856,14010,0,TX:3639;MS:3510;TN:1772;AL:1759;AR:939;LA:730;GA:614;MO:485;FL:417;SC:52,high,0
5493004AS1SPBQOFDR49,,,,unmatched,14858,8804,0,CA:2752;FL:1313;TX:1230;NJ:438;CO:244;AZ:210;NC:195;MI:195;VA:193;TN:172,high,0
54930043BMDE130FJ617,,,,unmatched,18818,12170,0,TX:1706;CA:1208;PA:892;NC:669;CO:657;UT:642;FL:632;GA:602;WA:580;AZ:578,high,0
549300K4ZLGS7SRDTL86,,,,unmatched,28384,12086,0,FL:1337;CA:1126;TX:988;GA:737;LA:646;AZ:508;NC:500;TN:491;OH:431;PA:425,high,0
