lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ms_originations,states_with_originations,priority_match
549300JHFXRY8T6LN749,,,,unmatched,160,130,130,MS:130,low
D8RBTOL3JO2Q6IEO0F34,,,,unmatched,1311,976,128,LA:528;TX:270;MS:128;AR:10;AL:9;FL:8;TN:6;OK:4;AZ:2;OH:2,medium
254900YPPMV9UM5FUW09,,,,unmatched,1833,1256,126,NC:334;LA:256;MS:126;VA:100;DC:91;GA:80;MD:74;FL:47;IL:28;TX:15,high
549300P6FMUCIYH31R36,,,,unmatched,158,131,125,MS:125;FL:2;SC:2;LA:1;TX:1,low
54930032OCUOR526IR93,,,,unmatched,566,374,123,MS:123;GA:24;PA:21;FL:18;KY:14;AZ:13;KS:12;MO:10;TN:10;NC:9,medium
54930017IQ4KPG7QW263,,,,unmatched,163,124,120,MS:120;AL:3;GA:1,low
5493003CEZ9JGZYJ4J88,,,,unmatched,131,115,109,MS:109;AL:3;LA:1;CO:1;AR:1,low
254900AVP2JVTYYT3V92,,,,unmatched,138,110,108,MS:108;AL:2,low
549300249G20MDIDRR27,,,,unmatched,11602,2752,107,TX:748;SC:336;OK:211;FL:197;AL:190;NC:160;TN:135;GA:135;MS:107;AR:88,high
549300XYMV9W4308FO60,,,,unmatched,111,107,107,MS:107,low
549300VRPB0NU0485164,,,,unmatched,128,109,106,MS:106;LA:1;AL:1;MT:1,low
549300E3YGSOYL74CF74,,,,unmatched,133,98,98,MS:98,low
549300A7PPGN7EQJ6578,,,,unmatched,282,94,94,MS:94,low
549300LM58V37XNHOB58,,,,unmatched,109,94,94,MS:94,low
54930072OCHTUJOZQB56,,,,unmatched,7424,5784,90,IN:1919;KY:1771;TN:641;GA:214;FL:211;CO:151;NC:94;SC:94;MS:90;IL:86,high
549300KJAE0JN2Z6YV76,,,,unmatched,107,93,90,MS:90;AL:2;NC:1,low
5493004T9SQFCNRQ2L76,,,,unmatched,3132,2358,89,MO:680;IL:638;SC:255;TN:142;FL:106;MS:89;NC:83;NE:73;VA:71;KS:56,high
549300L1DBFIJZI8LA40,,,,unmatched,2059,1503,86,GA:632;SC:365;AL:134;TN:124;MS:86;FL:67;NC:62;KY:28;AR:2;VA:2,high
5493000V86JDJLM0OV13,,,,unmatched,690,690,85,AL:137;TX:116;MS:85;FL:76;GA:55;LA:52;OK:36;SC:30;TN:29;KY:28,medium
5493006RIR31ORKYB608,,,,unmatched,2057,1534,82,CA:395;IA:166;AL:152;TX:133;LA:90;MS:82;AR:56;MN:47;OH:43;WA:37,high
