lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,il_originations,states_with_originations,priority_match,illinois_originations
549300HW662MN1WU8550,,,,unmatched,576697,422119,11397,CA:57281;FL:49897;TX:42285;MI:22015;AZ:19328;CO:18178;GA:17047;NC:13671;IL:11397;NY:11157,high,11397
549300U3721PJGQZYY68,,,,unmatched,129086,70579,10217,IL:10217;CA:6248;NJ:4826;MA:4507;TX:3318;FL:3204;PA:3119;OH:2795;NC:2491;CO:2143,high,10217
7H6GLXDRUGQFU57RNE97,,,,unmatched,152415,94243,8778,CA:14032;TX:9775;NY:9163;IL:8778;FL:6131;OH:4171;NJ:3325;MI:2995;AZ:2864;IN:2857,high,8778
549300VZVN841I2ILS84,,,,unmatched,190472,125099,5600,FL:11987;OH:11011;CA:9599;PA:8399;TX:7734;NJ:7558;IL:5600;NY:5429;AZ:4945;WA:4877,high,5600
6BYL5QZYBDK8S7L73M02,,,,unmatched,151786,74632,4571,CA:16135;IL:4571;MN:4538;OH:3965;MO:3622;WA:3524;WI:2785;KY:2645;OR:2465;FL:2279,high,4571
2WHM8VNJH63UN14OL754,,,,unmatched,90347,51203,4352,OH:24819;MI:10932;IL:4352;IN:2547;PA:1812;MN:1707;WV:1148;KY:903;CO:675;WI:664,high,4352
549300AG64NHILB7ZP05,,,,unmatched,155159,91730,4241,CA:9983;TX:8535;FL:7460;NJ:4334;IL:4241;GA:4168;AZ:4138;NC:3969;OH:3505;SC:2670,high,4241
549300MGPZBLQDIL7538,,,,unmatched,103697,74450,4215,TX:7468;AZ:4724;IL:4215;IN:3665;GA:3631;FL:3153;NC:2993;WI:2947;CA:2867;OH:2685,high,4215
QFROUN1UWUYU0DVIWD51,,,,unmatched,75426,39534,4111,OH:12389;MI:6106;IN:4817;IL:4111;FL:3553;KY:3150;NC:2216;TN:971;SC:863;GA:691,high,4111
549300W4FT4H1UWPGU95,,,,unmatched,21756,15699,3954,IA:10661;IL:3954;MI:329;WI:190;NE:148;IN:78;OH:48;AZ:38;MO:33;CO:33,high,3954
3Y4U8VZURTYWI1W2K376,,,,unmatched,35659,16529,3906,IL:3906;CA:3818;WI:2970;IN:1029;AZ:962;CO:755;MN:487;MO:324;NE:297;FL:285,high,3906
AD6GFRVSDT01YPT1CS68,,,,unmatched,116536,61280,3711,PA:11263;OH:6725;NJ:5755;IL:3711;FL:3475;MD:2948;TX:2930;MI:2885;IN:2802;CA:2688,high,3711
549300E2UX99HKDBR481,,,,unmatched,140816,57460,3581,TX:5508;CA:5105;GA:4063;FL:3881;IL:3581;MO:2619;PA:2148;MN:1842;WA:1680;NC:1619,high,3581
549300DD5QQUHO6PCH70,,,,unmatched,178189,82764,2965,TX:6918;FL:5506;NC:4769;VA:4500;GA:4139;OH:3302;TN:3178;IL:2965;MO:2901;PA:2643,high,2965
B4TYDEB6GKMZO031MB27,,,,unmatched,217492,88530,2889,CA:17758;FL:7938;TX:6141;NJ:5136;NC:4880;NY:3897;MA:3551;GA:3440;WA:3420;IL:2889,high,2889
549300YD7XJM19TH5O82,,,,unmatched,4999,3231,2769,IL:2769;CA:124;TX:42;TN:38;FL:31;NC:25;IN:24;MO:24;AZ:18;GA:16,medium,2769
C398JSK21YCXWM603F55,,,,unmatched,11708,7752,2719,IL:2719;WI:1224;CA:371;IA:328;FL:252;MN:237;MI:223;NY:179;TX:179;NC:174,high,2719
549300KIOYNU323LVJ37,,,,unmatched,34217,24774,2402,CA:3554;IL:2402;TX:1947;WA:1911;FL:1750;AZ:1562;GA:1405;OR:860;TN:854;OH:854,high,2402
549300AT7EB9FJAF0E61,,,,unmatched,16759,10956,2207,IN:2746;IL:2207;MN:1877;MI:1211;TN:999;WI:824;KY:489;ND:135;FL:59;IA:55,high,2207
XC7Z0BA39TU7L1AKOJ12,,,,unmatched,4458,2588,2072,IL:2072;FL:246;WI:139;IN:23;CA:16;GA:10;AZ:9;CO:9;MI:9;MN:9,medium,2072
5493004K0Z4RFJSPYT52,,,,unmatched,2990,2266,1999,IL:1999;WI:75;FL:38;IN:19;GA:16;NC:14;CA:13;PA:12;TN:12;TX:12,medium,1999
549300LBCBNR1OT00651,,,,unmatched,79599,52217,1982,CA:4657;TX:3609;FL:3546;GA:2560;IL:1982;NC:1949;OH:1768;VA:1764;PA:1746;AZ:1744,high,1982
549300LXKO1O7CSK5J52,,,,unmatched,19410,15370,1758,MO:7301;IL:1758;AR:1481;OK:1425;KS:1216;TX:675;CO:311;IA:298;IN:268;NE:264,high,1758
254900DTLHVWQ7NP7R34,,,,unmatched,58895,40038,1746,CA:8432;FL:4627;TX:3502;AZ:2579;UT:1917;IL:1746;CO:1646;MI:1407;WA:1253;GA:1055,high,1746
549300G4ESSS6M0MEG51,,,,unmatched,9605,5971,1723,IL:1723;CA:1252;WA:895;CO:383;TX:299;NC:292;MD:261;FL:109;IN:85;WY:70,high,1723
549300RPOGWJRH63HS39,,,,unmatched,51423,37767,1655,OH:5380;MI:4118;TX:3238;FL:2495;IN:2257;NC:2127;PA:1934;IL:1655;TN:1404;KY:1069,high,1655
254900UL88QFG0E40516,,,,unmatched,72355,33415,1432,CA:5234;FL:2872;GA:1717;OH:1553;IL:1432;AZ:1416;NC:1212;NJ:1197;VA:1180;MI:1090,high,1432
549300VJ7C5JB4W87F48,,,,unmatched,1859,1456,1382,IL:1382;IN:20;WI:16;FL:10;AZ:7;MI:6;WA:5;SC:2;OH:2;TN:1,medium,1382
549300SNZET0P5BZ3J56,,,,unmatched,1775,1426,1377,IL:1377;FL:10;IN:9;MO:8;IA:8;WI:4;SC:4;TX:2;AZ:2;TN:1,medium,1377
549300ANF834QIIFUE57,,,,unmatched,1483,1482,1331,IL:1331;IN:39;WI:37;MI:22;FL:17;TX:8;CA:5;AZ:4;TN:4;NC:4,medium,1331
549300XOTES5TCS8T794,,,,unmatched,2369,1610,1287,IL:1287;MO:159;WI:101;IN:26;TX:14;FL:13;GA:2;TN:2;KS:1;MN:1,medium,1287
549300L8JRY60EOROT34,,,,unmatched,2168,1716,1287,IL:1287;MO:400;FL:11;IN:3;AR:2;WV:2;NC:2;GA:2;TN:2;WI:1,medium,1287
5493000XYE7QL54NMB52,,,,unmatched,1908,1433,1286,IL:1286;MO:85;IA:31;FL:13;IN:6;CO:2;KS:2;OH:1;MI:1;AZ:1,medium,1286
E57ODZWZ7FF32TWEFA76,,,,unmatched,33959,15812,1251,CA:5786;NY:3687;IL:1251;NJ:707;FL:565;TX:506;MD:400;WA:317;VA:311;DC:281,high,1251
549300OPCWU6E72WUT29,,,,unmatched,41778,24192,1245,CA:1845;FL:1510;NC:1387;OH:1270;IL:1245;TX:1178;GA:1042;AZ:855;VA:839;TN:821,high,1245
5493001GCBD5XGNIC815,,,,unmatched,93158,21244,1213,CA:3015;FL:2383;OH:1359;IL:1213;PA:1032;NC:962;VA:824;NJ:811;AZ:786;MI:772,high,1213
549300O7SGM8FH65GQ47,,,,unmatched,2070,1481,1204,IL:1204;MO:86;FL:58;IN:58;OK:21;KS:19;CO:11;AZ:7;MI:4;CA:2,medium,1204
549300RN01LBYR8ZVX74,,,,unmatched,29643,17905,1191,TX:1752;FL:1721;OH:1641;SC:1492;IL:1191;CO:1189;NC:1047;GA:846;VA:635;MD:581,high,1191
549300V8CF81JGIV7038,,,,unmatched,2169,1796,1185,IL:1185;IA:235;TN:104;FL:46;IN:38;MI:33;WI:29;AL:19;AZ:16;TX:15,medium,1185
EQTWLK1G7ODGC2MGLV11,,,,unmatched,68709,30269,1168,FL:5826;AL:5523;TN:5322;GA:2869;MS:1886;LA:1282;TX:1252;MO:1188;IL:1168;AR:1129,high,1168
5493000F6NFDOVVZP043,,,,unmatched,1592,1350,1147,IL:1147;WI:134;FL:12;MO:9;GA:8;NC:4;NE:3;TN:3;SC:3;IN:3,medium,1147
254900RUCO27MVGTO768,,,,unmatched,20166,9270,1106,NY:1687;NJ:1215;IL:1106;OH:564;PA:540;FL:432;CT:324;GA:317;TX:281;IN:258,high,1106
549300AG10BX85DF5S49,,,,unmatched,6424,4978,1069,IL:1069;CA:805;OK:712;NJ:554;WA:321;WI:169;TX:155;MA:150;DE:122;IA:90,high,1069
ZF85QS7OXKPBG52R7N18,,,,unmatched,10488,6805,1060,WI:4974;IL:1060;MN:553;MO:100;MI:49;FL:32;AZ:11;OH:7;CO:5;TX:3,high,1060
B94HV8SXGDD3J5XESU08,,,,unmatched,1615,1172,1046,IL:1046;AZ:25;NY:15;FL:13;WI:12;MI:12;IN:6;WA:4;PA:4;SC:3,medium,1046
549300R7HGHP2I754087,,,,unmatched,9404,7331,1045,IL:1045;TX:784;FL:695;GA:640;AL:618;MI:430;SC:350;LA:296;NC:279;CO:224,high,1045
54930001NSTOD85LT125,,,,unmatched,24645,15934,970,CA:1539;FL:1458;PA:1342;NJ:1110;IL:970;TX:965;MA:816;MO:782;MN:709;OH:676,high,970
549300S8SHBRCI7UU819,,,,unmatched,5563,3223,917,IL:917;MN:494;CA:229;FL:150;WI:118;NC:115;OH:89;GA:88;IN:76;TN:75,high,917
549300HGDJQ37M5BE268,,,,unmatched,1169,958,910,IL:910;FL:19;MO:9;MN:3;AZ:2;GA:2;TX:2;MI:2;SC:1;TN:1,medium,910
549300YIQ7S7Z8PIHE53,,,,unmatched,94427,24298,882,FL:1667;CA:1635;NC:1353;GA:1343;TX:1068;PA:997;OH:991;VA:957;NJ:888;IL:882,high,882
EFBDHEMMHTWI378O4988,,,,unmatched,1301,918,881,IL:881;IA:19;FL:4;WI:4;KY:2;CO:2;MO:2;MI:1;OH:1;NY:1,medium,881
549300U6DW7DX671T306,,,,unmatched,1641,989,840,IL:840;MO:116;FL:7;IN:6;WI:4;TN:3;OH:3;SC:2;IA:2;TX:2,medium,840
549300BX448ALT10FI43,,,,unmatched,20909,8296,809,IL:809;NY:620;NJ:552;VA:437;NC:413;OH:408;FL:397;PA:379;GA:356;CA:265,high,809
254900O723MCLR701H50,,,,unmatched,6301,1138,785,IL:785;TX:103;FL:73;NM:57;IN:16;SC:14;NV:13;CA:12;AZ:10;MN:9,medium,785
549300T94GSH3C4U5M59,,,,unmatched,14981,8359,777,CA:1937;IL:777;FL:679;WA:593;AZ:482;CO:385;OR:353;GA:331;NJ:280;VA:212,high,777
5493000D7DINI9PZN749,,,,unmatched,1449,979,764,IL:764;MO:197;FL:8;AZ:2;IN:1;LA:1;KY:1;OH:1;WI:1;CO:1,medium,764
549300XAJENHWRM32Z86,,,,unmatched,1201,957,738,IL:738;MO:150;FL:18;AZ:4;GA:4;KY:4;NE:4;SC:3;WI:3;AR:3,medium,738
54930054ET8KM4O1D485,,,,unmatched,55546,16189,709,CA:1778;FL:1042;NC:865;TX:858;NJ:752;IL:709;GA:704;PA:668;OH:585;VA:529,high,709
25490066WMF8ZMQXQB18,,,,unmatched,15401,10890,683,CA:1076;TX:945;FL:885;OH:719;IL:683;PA:647;GA:617;NJ:614;NC:534;MI:458,high,683
5493000NYUJT9UC6G261,,,,unmatched,8132,5519,660,MO:1526;IL:660;FL:521;CA:395;KS:382;WA:233;AL:224;IN:223;ME:215;GA:191,high,660
LDVFX8JEECFFE8HRWA73,,,,unmatched,6317,3757,646,NE:1773;IL:646;CO:466;KS:307;MO:215;IA:191;SD:54;WY:34;TX:12;WI:8,medium,646
5493004T9SQFCNRQ2L76,,,,unmatched,3132,2358,638,MO:680;IL:638;SC:255;TN:142;FL:106;MS:89;NC:83;NE:73;VA:71;KS:56,high,638
549300323EON4W3CCM44,,,,unmatched,8059,5418,626,CA:1108;FL:702;IL:626;TX:527;CO:377;MN:244;AZ:204;WA:202;UT:167;SC:161,high,626
