lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,me_originations,states_with_originations,priority_match,maine_originations
549300VR3QTN4GZYUR03,,,,unmatched,972,579,223,NH:282;ME:223;VT:65;MA:7;FL:2,medium,223
549300LGD38SS4PVFC71,,,,unmatched,272,220,220,ME:220,low,220
254900KPCI98XVKU8U39,,,,unmatched,225,219,219,ME:219,low,219
5493000NYUJT9UC6G261,,,,unmatched,8132,5519,215,MO:1526;IL:660;FL:521;CA:395;KS:382;WA:233;AL:224;IN:223;ME:215;GA:191,high,215
5493008KJFFG6PYZ5914,,,,unmatched,276,198,198,ME:198,low,198
254900QH6Q6RHDLHEC77,,,,unmatched,301,194,194,ME:194,low,194
549300SVSM8JMOZJXF07,,,,unmatched,296,192,192,ME:192,low,192
54930083VRKEK3SXZJ31,,,,unmatched,308,186,186,ME:186,low,186
254900199XCNE3LN5660,,,,unmatched,366,185,185,ME:185,low,185
549300PRPWWDL1RI5M21,,,,unmatched,217,154,154,ME:154,low,154
549300043MOZCJ4RK371,,,,unmatched,189,143,143,ME:143,low,143
549300AKQUNB6HFB7W73,,,,unmatched,140,139,139,ME:139,low,139
549300HNQDVXN8569N58,,,,unmatched,184,134,134,ME:134,low,134
549300DE8TS4EYTPX729,,,,unmatched,5588,4153,133,NJ:1545;PA:992;FL:445;IL:355;TX:171;MA:141;ME:133;LA:87;MD:64;VA:39,high,133
254900P7WLDQD9IUL038,,,,unmatched,3882,2074,126,NH:1321;MA:184;ME:126;FL:43;GA:41;VT:36;NC:32;CA:29;VA:25;WA:24,medium,126
549300ZZME37MXI1EF14,,,,unmatched,9985,7562,116,MO:3201;OH:849;TX:571;MD:440;MI:357;IL:283;AR:269;WA:192;KY:166;ME:116,high,116
5493009SFPZZ40DZTK92,,,,unmatched,220,107,107,ME:107,low,107
2549002U96ZPEAFKGZ11,,,,unmatched,122,104,104,ME:104,low,104
549300DAUXQ2DCY4H838,,,,unmatched,1928,1386,90,MA:674;NH:317;RI:159;ME:90;NJ:68;FL:37;CT:15;VT:10;NC:8;PA:5,high,90
549300HIQFQDTNNY6967,,,,unmatched,94,88,88,ME:88,low,88
549300ZY55MYW2FNSA48,,,,unmatched,84,80,80,ME:80,low,80
549300DQMFK1KT7KEB48,,,,unmatched,734,631,68,VT:458;ME:68;MA:59;NH:38;CT:8,medium,68
254900PZD34K8KYJD223,,,,unmatched,81,70,68,ME:68;FL:2,low,68
549300MINSIGQJB44L41,,,,unmatched,91,68,68,ME:68,low,68
549300WKFR15017V9850,,,,unmatched,1615,1165,66,CO:516;MN:197;MO:171;CA:99;ME:66;WA:23;KS:16;FL:14;WI:8;AZ:7,medium,66
549300E2QBYW1NW41140,,,,unmatched,117,65,65,ME:65,low,65
254900VVCX7PR9KDCK83,,,,unmatched,82,64,64,ME:64,low,64
549300E14W7X6ZY25478,,,,unmatched,76,61,61,ME:61,low,61
549300FK3AFCFVAPH234,,,,unmatched,7697,6274,60,MA:4926;NH:248;CT:177;RI:124;FL:114;ME:60;CA:58;TX:53;NC:51;NJ:37,high,60
549300JLXD89NGKXMS84,,,,unmatched,977,592,44,FL:197;TX:152;ND:53;ME:44;CO:41;VA:38;OK:24;SC:12;WV:11;NC:7,medium,44
254900OC69XWBZ2A8244,,,,unmatched,52,38,38,ME:38,low,38
5493001LCNCF6Z3ZQ632,,,,unmatched,67,37,37,ME:37,low,37
PINLJ7T7GLTF48NFP863,,,,unmatched,1520,1173,36,MA:293;AL:200;LA:94;DE:84;CO:73;AR:64;RI:42;NY:40;NM:40;ME:36,medium,36
549300D36J5CQX0I4F44,,,,unmatched,1029,810,35,MI:524;OH:189;ME:35;MA:23;TN:16;IL:11;FL:8;NC:2;IN:2,medium,35
