lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,new_hampshire_originations,florida_originations,total_originations,priority_match,notes
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3194,2297,3194,high,reuse_prior_state_curated_lei map for NH activity (3194 NH originations); slug=citizens-bank.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2466,4388,2466,high,reuse_prior_state_curated_lei map for NH activity (2466 NH originations); slug=amerihome-mortgage.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2297,31530,2297,high,reuse_prior_state_curated_lei map for NH activity (2297 NH originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1967,49897,1967,high,reuse_prior_state_curated_lei map for NH activity (1967 NH originations); slug=united-wholesale-mortgage.
254900P7WLDQD9IUL038,Service Federal Credit Union,491588,service-credit-union,Service Credit Union (Service Federal Credit Union),high,ct_nh_curated+ct_nh_curated_gleif+public_nmls,1321,0,1321,high,ct_nh_curated map for NH activity (1321 NH originations); slug=service-credit-union.
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",481428,td-bank,"TD Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,997,2722,997,high,reuse_prior_state_curated_lei map for NH activity (997 NH originations); slug=td-bank.
549300YKOCNDPE0N7X40,ST. MARY'S BANK,690869,st-marys-bank,St. Mary's Bank,high,ct_nh_curated+ct_nh_curated_gleif+public_nmls,967,0,967,high,ct_nh_curated map for NH activity (967 NH originations); slug=st-marys-bank.
549300EMNDEK4BA8WB53,EMM LOANS LLC,2926,emm-loans,EMM Loans LLC,high,reuse_prior_state_curated_lei+pa_curated+gleif+emm_loans_nmls,806,0,806,high,reuse_prior_state_curated_lei map for NH activity (806 NH originations); slug=emm-loans.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+curated_lei+directory_name,707,3153,707,high,reuse_prior_state_curated_lei map for NH activity (707 NH originations); slug=primelending-columbus.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,688,2790,688,high,reuse_prior_state_curated_lei map for NH activity (688 NH originations); slug=ally-bank.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,678,11987,678,high,reuse_prior_state_curated_lei map for NH activity (678 NH originations); slug=freedom-mortgage.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,635,7460,635,high,reuse_prior_state_curated_lei map for NH activity (635 NH originations); slug=pennymac.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,483,7938,483,high,reuse_prior_state_curated_lei map for NH activity (483 NH originations); slug=guaranteed-rate.
