lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,minnesota_originations,florida_originations,total_originations,priority_match,notes
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,6703,49897,6703,high,reuse_prior_state_curated_lei map for MN activity (6703 MN originations); slug=united-wholesale-mortgage.
549300WYBPIWKK6SQC06,Bell Bank,,bell-bank,Bell Bank,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,6525,0,6525,high,wi_mn_curated map for MN activity (6525 MN originations); slug=bell-bank.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,5672,31530,5672,high,reuse_prior_state_curated_lei map for MN activity (5672 MN originations); slug=rocket-mortgage.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4538,2279,4538,high,reuse_prior_state_curated_lei map for MN activity (4538 MN originations); slug=us-bank.
549300LG07PXWSIMC813,TRUSTONE FINANCIAL CREDIT UNION,523134,trustone-financial-credit-union,TruStone Financial Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+public_nmls,4135,0,4135,high,wi_mn_curated map for MN activity (4135 MN originations); slug=trustone-financial-credit-union.
549300NL3JN3ABDPH257,AFFINITY PLUS,,affinity-plus-federal-credit-union,Affinity Plus Federal Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,3656,0,3656,high,wi_mn_curated map for MN activity (3656 MN originations); slug=affinity-plus-federal-credit-union.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-metrowest,"CrossCountry Mortgage, LLC",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,3129,0,3129,high,wi_mn_curated map for MN activity (3129 MN originations); slug=crosscountry-mortgage-metrowest.
549300QDGMFASKEN7Z77,BLAZE CREDIT UNION,,blaze-credit-union,Blaze Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,2694,0,2694,high,wi_mn_curated map for MN activity (2694 MN originations); slug=blaze-credit-union.
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage Corporation,high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,2657,0,2657,high,wi_mn_curated map for MN activity (2657 MN originations); slug=fairway-mortgage-augusta-sheppard.
549300HVW3AI97UKTO72,Wings Financial Credit Union,,wings-financial-credit-union,Wings Financial Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,2594,0,2594,high,wi_mn_curated map for MN activity (2594 MN originations); slug=wings-financial-credit-union.
549300AT7EB9FJAF0E61,Old National Bank,459308,old-national-bank,Old National Bank,high,wi_mn_curated+wi_mn_gleif+public_nmls,1877,0,1877,high,wi_mn_curated map for MN activity (1877 MN originations); slug=old-national-bank.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1842,3881,1842,high,reuse_prior_state_curated_lei map for MN activity (1842 MN originations); slug=new-american-funding.
549300OZ550X4QD5PC74,Royal Credit Union,,royal-credit-union,Royal Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,1772,0,1772,high,wi_mn_curated map for MN activity (1772 MN originations); slug=royal-credit-union.
5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",75164,prosperity-home-mortgage,"Prosperity Home Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+nj_curated+nj_curated_gleif+public_nmls,1746,0,1746,high,reuse_prior_state_curated_lei map for MN activity (1746 MN originations); slug=prosperity-home-mortgage.
2WHM8VNJH63UN14OL754,The Huntington National Bank,402436,huntington-national-bank,The Huntington National Bank,high,wi_mn_curated+wi_mn_gleif+public_nmls,1707,0,1707,high,wi_mn_curated map for MN activity (1707 MN originations); slug=huntington-national-bank.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,1705,0,1705,high,wi_mn_curated map for MN activity (1705 MN originations); slug=pennymac.
549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,1552,0,1552,high,wi_mn_curated map for MN activity (1552 MN originations); slug=guaranteed-rate.
549300C4J510S9L1RF98,"Alerus Financial, National Association",,alerus-financial,"Alerus Financial, National Association",high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,1505,0,1505,high,wi_mn_curated map for MN activity (1505 MN originations); slug=alerus-financial.
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",399801,wells-fargo-bank,"Wells Fargo Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1496,2670,1496,high,reuse_prior_state_curated_lei map for MN activity (1496 MN originations); slug=wells-fargo-bank.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,1400,0,1400,high,wi_mn_curated map for MN activity (1400 MN originations); slug=loandepot.
549300H3IZO24NSOO931,"LENNAR MORTGAGE, LLC",1058,lennar-mortgage-queen-creek,"Lennar Mortgage, LLC",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,1365,0,1365,high,wi_mn_curated map for MN activity (1365 MN originations); slug=lennar-mortgage-queen-creek.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,1143,0,1143,high,wi_mn_curated map for MN activity (1143 MN originations); slug=veterans-united-west-valley.
