lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ny_originations,states_with_originations,priority_match,new_york_originations
549300TDVGWRELEO5F50,,,,unmatched,3898,2068,1022,NY:1022;NJ:825;PA:221,high,1022
LVR1UQE8OOCO93IHEB52,,,,unmatched,5915,4158,1021,PA:2412;NY:1021;IN:480;OH:223;MI:6;FL:6;WV:2;TN:2;MD:2;KY:1,high,1021
5493005ICQ3QGEIWV618,,,,unmatched,3357,2224,956,NY:956;NJ:297;PA:296;FL:157;TX:101;OH:52;CT:50;GA:42;SC:42;MI:24,high,956
984500U2F9A83N391A91,,,,unmatched,18971,11067,950,FL:2262;CA:1367;TX:1262;NY:950;NJ:917;GA:409;AZ:367;PA:308;CT:294;NC:293,high,950
2549005SIVTHG14U2905,,,,unmatched,24436,14692,948,FL:5245;CA:1446;TX:1050;NY:948;IL:550;GA:471;AZ:471;NJ:453;PA:339;SC:296,high,948
549300GS0W0TEUQS8571,,,,unmatched,14182,10740,947,CA:1957;FL:990;NY:947;TX:573;NJ:548;MA:449;CO:427;IL:381;WA:350;GA:322,high,947
549300NBSU5FHMDN5F74,,,,unmatched,1264,946,946,NY:946,high,946
549300ZSFNMHET4KE860,,,,unmatched,1676,942,942,NY:942,high,942
54930017CJWOENP0BZ82,,,,unmatched,1376,933,933,NY:933,high,933
549300T5QSL6MC8M4D04,,,,unmatched,3181,1954,927,NY:927;CT:403;NJ:182;FL:112;MA:68;IL:37;PA:22;CA:19;SC:19;TX:18,high,927
5493008TO7JB5Q4IKZ94,,,,unmatched,1471,1153,884,NY:884;AL:146;CO:77;AZ:37;MA:7;FL:1;NC:1,high,884
254900ACUWEGW702BR80,,,,unmatched,2748,1846,882,NY:882;NJ:526;FL:179;LA:63;CT:59;TX:51;PA:42;MD:10;AZ:8;OH:6,high,882
2549006T9J2DMLJVRS64,,,,unmatched,3152,1203,867,NY:867;NJ:281;CT:33;PA:22,high,867
549300ERHDU3FCE3FA33,,,,unmatched,1341,847,845,NY:845;VT:2,high,845
549300HTMO7FGRKRLV06,,,,unmatched,1803,1200,842,NY:842;FL:112;NJ:84;TX:28;AZ:27;PA:26;CT:20;GA:10;OH:8;NC:7,high,842
5493008NWHQT1R22C024,,,,unmatched,22722,13125,827,FL:1724;CA:1554;VA:897;TX:880;NY:827;AZ:698;MI:616;GA:565;SC:484;IN:429,high,827
549300LI3FDGO7UKFF39,,,,unmatched,2628,1602,808,NY:808;NJ:146;SC:102;FL:97;PA:93;OH:83;CT:53;MD:28;GA:24;VA:22,high,808
F28JOQ8OBWCFUYM0UX93,,,,unmatched,7455,5327,799,CA:3261;NY:799;NV:278;MA:268;GA:247;WA:239;TX:225;AZ:5;HI:2;NJ:2,high,799
549300WK15ESCDNJ5M35,,,,unmatched,3189,2227,787,NC:1002;NY:787;PA:214;SC:112;FL:38;MD:19;NJ:12;VA:9;MA:7;CO:5,high,787
549300F8C5JA44WNMI75,,,,unmatched,18919,12172,768,VA:2520;NJ:1899;FL:856;NY:768;CT:755;MA:739;OH:544;IN:489;PA:397;RI:334,high,768
FT6J43S06X6CLJ0R0B48,,,,unmatched,2232,1641,757,NY:757;CA:616;WA:87;NJ:50;NV:32;MA:31;IL:29;TX:26;MD:13,high,757
254900LTYFDA8IOP9O78,,,,unmatched,1061,756,756,NY:756,high,756
5493006Z1T521ODWBA53,,,,unmatched,1065,753,752,NY:752;ME:1,high,752
549300XWUSRVVOHPRY47,,,,unmatched,28287,16190,748,FL:2938;TX:2750;GA:2402;CA:1342;MN:915;NY:748;MI:631;KY:499;CO:448;TN:425,high,748
2549008X67CV1MNM7747,,,,unmatched,2234,1270,744,NY:744;FL:235;CT:107;NJ:85;PA:27;NC:12;GA:12;SC:10;AZ:8;DE:6,high,744
549300RM7ARTTP3T1V93,,,,unmatched,939,749,735,NY:735;FL:9;SC:2;NC:1;AZ:1;MA:1,high,735
549300RA3E0BUFO7YZ21,,,,unmatched,14901,7540,714,FL:1457;CA:1424;TX:795;NY:714;NJ:302;GA:259;NC:179;PA:177;AZ:172;TN:151,high,714
549300E3VF26P7719Z56,,,,unmatched,1018,705,705,NY:705,high,705
5493006LH4LKHY2EIN26,,,,unmatched,988,702,700,NY:700;MD:2,high,700
5493001VQ02LHMFEXJ21,,,,unmatched,1180,659,659,NY:659,high,659
KI0VI4JRMCIJ329YTN75,,,,unmatched,4576,3036,656,NJ:1659;NY:656;FL:507;AL:99;PA:40;CA:10;CT:10;SC:9;NC:9;IL:6,high,656
549300YW2UBCMDRMBT48,,,,unmatched,4966,3953,644,NY:644;OH:587;NC:562;PA:364;TN:272;VA:190;GA:180;FL:177;SC:160;IN:99,high,644
549300BX448ALT10FI43,,,,unmatched,20909,8296,620,IL:809;NY:620;NJ:552;VA:437;NC:413;OH:408;FL:397;PA:379;GA:356;CA:265,high,620
5493003X6Y6JGJKHPA25,,,,unmatched,1162,778,609,NY:609;FL:41;CT:32;NJ:25;CA:16;PA:16;NC:8;SC:5;TN:4;IL:3,high,609
5493008VCYW25D52ZC98,,,,unmatched,1559,1036,595,NY:595;NJ:351;PA:43;FL:26;CT:10;AZ:7;CA:3;IN:1,high,595
549300R9S3MVDV4MGF56,,,,unmatched,52143,15089,576,FL:1296;CA:1022;GA:873;TX:848;IN:732;NC:680;OH:675;NY:576;MI:570;TN:533,high,576
254900TM81D0YC1B9584,,,,unmatched,1400,1247,576,NY:576;PA:215;GA:204;NJ:60;FL:35;CT:31;TX:29;AL:22;VA:21;NC:14,high,576
2549002VH9C0PKB8K153,,,,unmatched,5687,3056,575,CA:933;NY:575;FL:388;NJ:317;TX:139;CT:89;PA:69;MA:49;GA:47;IL:45,high,575
WV0OVGBTLUP1XIUJE722,,,,unmatched,5566,3106,564,CT:1541;MA:616;NY:564;NJ:215;RI:105;PA:21;FL:14;NH:11;ME:9;CA:3,high,564
2549004XJQQPBYQSMT39,,,,unmatched,2114,1190,550,NY:550;NJ:112;FL:108;CA:87;TX:50;CT:31;MA:29;PA:25;GA:20;IL:17,high,550
549300TCY9QY8BRDQJ12,,,,unmatched,1189,793,546,NY:546;NJ:85;TN:53;CT:31;GA:16;FL:15;PA:14;NC:11;TX:6;SC:4,high,546
1IE8VN30JCEQV1H4R804,,,,unmatched,4645,3065,538,CA:1526;NY:538;WA:358;NJ:144;FL:134;TX:60;CT:37;MA:25;NC:24;IL:22,high,538
984500F6E6940CCB6A60,,,,unmatched,4550,2966,532,NY:532;TX:458;CA:403;NJ:403;FL:227;IL:112;GA:76;TN:75;PA:70;MO:58,high,532
254900C44LTMSEGQ5K05,,,,unmatched,994,538,532,NY:532;NJ:2;NC:1;MA:1;FL:1;VA:1,high,532
54930048P8RWCQHQM310,,,,unmatched,5439,3131,503,CA:504;NY:503;FL:380;TX:240;NJ:231;AZ:117;MA:110;CT:108;MD:89;CO:86,high,503
5493008GTOZI3HQKE634,,,,unmatched,608,496,496,NY:496,medium,496
549300F570XAWYN8Z237,,,,unmatched,1277,884,494,NY:494;CA:111;NJ:71;HI:56;WA:18;GA:16;PA:14;CT:14;TX:13;OH:12,high,494
5493007G2SOD8W9RK547,,,,unmatched,682,486,486,NY:486,medium,486
X05BVSK68TQ7YTOSNR22,,,,unmatched,68974,9711,467,CA:813;FL:771;TX:649;IL:493;NY:467;GA:466;NJ:451;OH:397;PA:392;VA:317,high,467
549300Q50XCC0473FG63,,,,unmatched,10408,5048,460,CA:1243;NY:460;FL:389;NJ:308;AZ:246;WA:207;VA:171;NC:137;TN:136;IL:123,high,460
5493006MFBT1AI7V3W25,,,,unmatched,577,467,458,NY:458;PA:9,medium,458
549300F1COXL6UBFCP55,,,,unmatched,578,519,448,NY:448;FL:21;NJ:19;TX:5;DE:4;CT:4;PA:3;IN:2;OH:2;CO:1,medium,448
254900YY8IQK41QDLZ95,,,,unmatched,786,421,421,NY:421,medium,421
549300EZIROI6ZF7B419,,,,unmatched,511,415,415,NY:415,medium,415
549300S5NLOTO329NX77,,,,unmatched,648,571,409,NY:409;NJ:56;VT:28;MA:22;CT:19;NH:16;ME:12;PA:5;RI:3;FL:1,medium,409
549300ZZIAVB1U6Z4S78,,,,unmatched,479,379,379,NY:379,medium,379
549300VORTI31GZTJL53,,,,unmatched,18123,12305,375,TX:2136;FL:1187;IN:791;TN:697;WI:497;NC:467;GA:453;MN:448;PA:446;NY:375,high,375
549300XZF8VZFNRNBW38,,,,unmatched,467,373,373,NY:373,medium,373
5493008P6YO2KM3EO556,,,,unmatched,5493,4084,372,MI:2600;NY:372;CA:172;VA:153;MD:117;FL:81;CT:70;MA:55;KY:54;IN:52,high,372
549300S5YL3OH0IVCS62,,,,unmatched,12584,8696,368,CA:2527;FL:786;TX:524;AZ:401;NY:368;WA:337;CO:303;NJ:280;NC:254;GA:195,high,368
SS1TRMSN6BRNMOREEV51,,,,unmatched,19117,9656,367,MI:2677;TX:943;CA:934;FL:737;IN:410;NY:367;GA:351;AZ:303;OH:300;NJ:204,high,367
5493006F1L6NRWMNY260,,,,unmatched,510,374,358,NY:358;NJ:16,medium,358
254900E6AIE4Z8YQM970,,,,unmatched,11513,6978,357,CA:1470;FL:1222;TX:651;NY:357;NJ:278;AZ:267;GA:252;HI:244;SC:197;NC:181,high,357
549300TA4MQM8WN2XG31,,,,unmatched,9454,5106,356,FL:504;PA:494;NJ:395;CA:388;TX:381;NY:356;IL:278;OH:277;MI:227;GA:185,high,356
5493005ZSV53K4M63M18,,,,unmatched,507,441,351,NY:351;PA:61;NJ:15;FL:6;NC:3;SC:2;VA:1;CA:1;OH:1,medium,351
549300G0QSZVT1E3RS89,,,,unmatched,528,351,351,NY:351,medium,351
2549004Z576VEJBK3N72,,,,unmatched,4063,2542,343,FL:640;CA:361;NY:343;NJ:236;TX:128;GA:98;AZ:69;PA:63;IL:63;MA:60,high,343
549300H0B8QZSS10X971,,,,unmatched,712,477,343,NY:343;PA:134,medium,343
549300YLIY5SO2XSK094,,,,unmatched,603,383,343,NY:343;CT:40,medium,343
549300VGMMXKSX821O69,,,,unmatched,951,539,339,NY:339;FL:72;MD:28;NJ:24;IL:14;PA:12;CT:9;SC:7;NC:7;TX:6,medium,339
254900VE4XTOQUE8NZ77,,,,unmatched,4109,1447,330,NY:330;NJ:271;PA:189;FL:118;TX:105;GA:82;CT:65;NC:46;OH:39;MA:25,high,330
549300P3STF5YYEJYO93,,,,unmatched,417,327,327,NY:327,medium,327
2549001NJY765EZWDI06,,,,unmatched,815,508,325,NY:325;CT:41;NJ:32;PA:20;MA:19;FL:19;MD:16;TX:7;VA:6;SC:5,medium,325
549300NBFK4GO76FTE84,,,,unmatched,2537,2029,320,PA:1227;NY:320;OH:224;VA:217;FL:15;SC:12;TN:3;NC:3;WV:2;NJ:2,high,320
549300UG7QXKM7KGV847,,,,unmatched,8724,4960,318,TX:943;IN:417;NY:318;OH:273;GA:245;PA:211;IL:207;MI:199;FL:183;MO:182,high,318
5493008UZWYHK74O4341,,,,unmatched,560,318,318,NY:318,medium,318
5493001GAASLCSP1PB64,,,,unmatched,850,613,315,NY:315;CA:125;MI:61;DC:34;WA:24;MD:23;OH:10;NJ:7;IL:4;VA:3,medium,315
549300GWD9H4FQ2VR805,,,,unmatched,4480,3386,308,CA:552;FL:316;NY:308;TX:200;CO:163;NJ:139;WA:130;MA:124;NC:111;AZ:98,high,308
254900FDN5GT0HEKMT95,,,,unmatched,374,304,304,NY:304,medium,304
549300D4ZYLSQ5LMTV35,,,,unmatched,4352,2965,298,NJ:1569;PA:399;FL:338;NY:298;OH:85;DE:75;SC:49;TN:30;MD:29;CT:23,high,298
5493003B20KZ3DEZGB43,,,,unmatched,999,653,297,NY:297;CA:239;IL:49;NJ:34;NV:18;HI:8;LA:2;FL:2;AZ:1;NC:1,high,297
54930039IUN6515TBG78,,,,unmatched,2090,1504,292,GA:517;NY:292;TX:167;CO:153;NJ:103;CA:52;FL:47;KS:32;AZ:31;IL:17,high,292
549300UWA74T8PF7KY34,,,,unmatched,451,276,271,NY:271;NJ:5,medium,271
213800QUAI2VH5YM6310,,,,unmatched,5973,4493,269,MD:856;FL:627;NJ:599;VA:582;NY:269;MA:257;AL:256;DE:215;PA:149;NH:133,high,269
549300QPD4M26VIOFU53,,,,unmatched,543,468,260,NY:260;CA:120;NJ:82;TX:3;FL:2;MA:1,medium,260
549300U4FBW37LFHW771,,,,unmatched,727,488,258,NY:258;NJ:165;FL:20;CT:14;PA:6;CA:5;SC:4;TX:2;NC:2;IN:2,medium,258
549300256FCWXUM5FR50,,,,unmatched,396,257,257,NY:257,medium,257
549300ZPSJZO10ZAX556,,,,unmatched,9325,4494,256,FL:621;TX:462;CA:274;NY:256;OH:253;NC:214;GA:174;PA:172;SC:160;NJ:156,high,256
549300NZ2IPWRMLAYZ30,,,,unmatched,494,343,256,NY:256;MA:35;FL:12;VA:9;MD:7;NJ:6;SC:4;CT:3;NC:3;NH:3,medium,256
549300WU17K1CLH8VI32,,,,unmatched,379,275,251,NY:251;PA:18;FL:4;ME:1;MA:1,medium,251
549300RD5IG88VPO6P22,,,,unmatched,4492,2872,250,TX:379;IL:307;NY:250;CA:187;MN:183;NJ:151;MI:136;OH:121;WA:119;VA:111,high,250
549300XZGHPTWOJPDI31,,,,unmatched,939,549,247,PA:302;NY:247,high,247
