lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,delaware_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1788,31530,1788,high,reuse_prior_state_curated_lei map for DE activity (1788 DE originations); slug=rocket-mortgage.
5493005DKMV1IHIM8E20,"Wilmington Savings Fund Society, FSB",417673,wsfs-bank,"Wilmington Savings Fund Society, FSB",high,reuse_prior_state_curated_lei+pa_curated+gleif+wsfs_nmls,1210,0,1210,high,reuse_prior_state_curated_lei map for DE activity (1210 DE originations); slug=wsfs-bank.
549300XED7IBK9VVQH70,"PIKE CREEK MORTGAGE SERVICES, INC.",130829,pike-creek-mortgage,"Pike Creek Mortgage Services, Inc.",high,de_dc_curated+de_dc_curated_gleif+public_nmls,1176,0,1176,high,de_dc_curated map for DE activity (1176 DE originations); slug=pike-creek-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1017,49897,1017,high,reuse_prior_state_curated_lei map for DE activity (1017 DE originations); slug=united-wholesale-mortgage.
549300KBWX4NV5Q1E376,"NVR Mortgage Finance, Inc.",1127,nvr-mortgage,"NVR Mortgage Finance, Inc.",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls,1001,0,1001,high,reuse_prior_state_curated_lei map for DE activity (1001 DE originations); slug=nvr-mortgage.
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,972,2297,972,high,reuse_prior_state_curated_lei map for DE activity (972 DE originations); slug=citizens-bank.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,867,3475,867,high,reuse_prior_state_curated_lei map for DE activity (867 DE originations); slug=pnc-bank.
WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,381076,mt-bank,Manufacturers and Traders Trust Company (M&T Bank),high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+nj_curated+nj_curated_gleif+public_nmls,767,0,767,high,reuse_prior_state_curated_lei map for DE activity (767 DE originations); slug=mt-bank.
635400IW1QMK3FNFF894,MERIDIAN BANK,462854,meridian-bank,Meridian Bank,high,de_dc_curated+de_dc_curated_gleif+public_nmls,640,0,640,high,de_dc_curated map for DE activity (640 DE originations); slug=meridian-bank.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,569,7460,569,high,reuse_prior_state_curated_lei map for DE activity (569 DE originations); slug=pennymac.
5493002GI63WHHUTUD85,"KEYSTONE FUNDING, INC.",144760,keystone-funding,"Keystone Funding, Inc.",high,de_dc_curated+de_dc_curated_gleif+public_nmls,564,0,564,high,de_dc_curated map for DE activity (564 DE originations); slug=keystone-funding.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,546,2790,546,high,reuse_prior_state_curated_lei map for DE activity (546 DE originations); slug=ally-bank.
549300KDVJICP5T5BD05,DEL-ONE FEDERAL CREDIT UNION,543572,del-one-federal-credit-union,Del-One Federal Credit Union,high,de_dc_curated+de_dc_curated_gleif+public_nmls,486,0,486,high,de_dc_curated map for DE activity (486 DE originations); slug=del-one-federal-credit-union.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,483,9704,483,high,reuse_prior_state_curated_lei map for DE activity (483 DE originations); slug=fairway-mortgage-augusta-sheppard.
549300H3IZO24NSOO931,"loanDepot.com, LLC",174457,loandepot,"loanDepot.com, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,449,10692,449,high,reuse_prior_state_curated_lei map for DE activity (449 DE originations); slug=loandepot.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,408,11987,408,high,reuse_prior_state_curated_lei map for DE activity (408 DE originations); slug=freedom-mortgage.
5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",75164,prosperity-home-mortgage,"Prosperity Home Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+nj_curated+nj_curated_gleif+public_nmls,383,0,383,high,reuse_prior_state_curated_lei map for DE activity (383 DE originations); slug=prosperity-home-mortgage.
5493004N9PMBSLEZOF16,"K. HOVNANIAN AMERICAN MORTGAGE, L.L.C.",3259,k-hovnanian-american-mortgage,"K. Hovnanian American Mortgage, L.L.C.",high,de_dc_curated+de_dc_curated_gleif+public_nmls,364,0,364,high,de_dc_curated map for DE activity (364 DE originations); slug=k-hovnanian-american-mortgage.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_prior_state_curated_lei+curated_lei+directory_name,344,8416,344,high,reuse_prior_state_curated_lei map for DE activity (344 DE originations); slug=navy-federal-jacksonville.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,344,5643,344,high,reuse_prior_state_curated_lei map for DE activity (344 DE originations); slug=newrez.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,338,7938,338,high,reuse_prior_state_curated_lei map for DE activity (338 DE originations); slug=guaranteed-rate.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,338,4388,338,high,reuse_prior_state_curated_lei map for DE activity (338 DE originations); slug=amerihome-mortgage.
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-metrowest,Guild Mortgage (West Valley Branches),high,reuse_prior_state_curated_lei+curated_lei+directory_name,332,5374,332,high,reuse_prior_state_curated_lei map for DE activity (332 DE originations); slug=guild-mortgage-metrowest.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,301,6131,301,high,reuse_prior_state_curated_lei map for DE activity (301 DE originations); slug=jpmorgan-chase-bank.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+curated_lei+directory_name,300,3153,300,high,reuse_prior_state_curated_lei map for DE activity (300 DE originations); slug=primelending-columbus.
DZC62HF6UIZYJ08V1J90,"Fulton Bank, National Association",485401,fulton-bank,"Fulton Bank, National Association",high,reuse_prior_state_curated_lei+pa_curated+gleif+public_nmls_zillow_company,289,0,289,high,reuse_prior_state_curated_lei map for DE activity (289 DE originations); slug=fulton-bank.
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,278,4122,278,high,reuse_prior_state_curated_lei map for DE activity (278 DE originations); slug=cardinal-financial.
5493001SXWZ4OFP8Z903,"CrossCountry Mortgage, LLC",3029,crosscountry-mortgage-metrowest,CrossCountry Mortgage (West Valley),high,reuse_prior_state_curated_lei+curated_lei+directory_name,261,11582,261,high,reuse_prior_state_curated_lei map for DE activity (261 DE originations); slug=crosscountry-mortgage-metrowest.
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",481428,td-bank,"TD Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,236,2722,236,high,reuse_prior_state_curated_lei map for DE activity (236 DE originations); slug=td-bank.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,230,3546,230,high,reuse_prior_state_curated_lei map for DE activity (230 DE originations); slug=mr-cooper.
54930052M48FOD3CWA54,"PRIMARY RESIDENTIAL MORTGAGE, INC.",3094,primary-residential-mortgage,"Primary Residential Mortgage, Inc.",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+ne_curated+ne_curated_gleif+public_nmls,223,0,223,high,reuse_prior_state_curated_lei map for DE activity (223 DE originations); slug=primary-residential-mortgage.
