lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,west_virginia_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,2472,0,2472,high,nm_wv_curated map for WV activity (2472 WV originations); slug=rocket-mortgage.
549300KJZ82173UB3I21,City National Bank of West Virginia,,city-national-bank-of-west-virginia,City National Bank of West Virginia,high,nm_wv_curated+nm_wv_gleif+lei_identity,1808,0,1808,high,nm_wv_curated map for WV activity (1808 WV originations); slug=city-national-bank-of-west-virginia.
2WHM8VNJH63UN14OL754,The Huntington National Bank,402436,huntington-national-bank,The Huntington National Bank,high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,1148,0,1148,high,nm_wv_curated map for WV activity (1148 WV originations); slug=huntington-national-bank.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,1044,0,1044,high,nm_wv_curated map for WV activity (1044 WV originations); slug=loandepot.
QGPGHQ1ENZOOLJRFTH41,"WesBanco Bank, Inc.",399836,wesbanco-bank,"WesBanco Bank, Inc.",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,956,0,956,high,nm_wv_curated map for WV activity (956 WV originations); slug=wesbanco-bank.
JJKC32MCHWDI71265Z06,Truist Bank,405457,truist-bank,Truist Bank,high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,919,0,919,high,nm_wv_curated map for WV activity (919 WV originations); slug=truist-bank.
549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",39179,movement-mortgage-myrtle-beach,"Movement Mortgage, LLC",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,785,0,785,high,nm_wv_curated map for WV activity (785 WV originations); slug=movement-mortgage-myrtle-beach.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,771,0,771,high,nm_wv_curated map for WV activity (771 WV originations); slug=veterans-united-west-valley.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-metrowest,"CrossCountry Mortgage, LLC",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,723,0,723,high,nm_wv_curated map for WV activity (723 WV originations); slug=crosscountry-mortgage-metrowest.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,675,0,675,high,nm_wv_curated map for WV activity (675 WV originations); slug=united-wholesale-mortgage.
