lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,wv_originations,states_with_originations,priority_match,west_virginia_originations
549300G54QPXQLB4KN58,,,,unmatched,259,178,60,MD:107;WV:60;PA:7;VA:2;AL:1;NC:1,low,60
549300C62MGHXEJVMZ35,,,,unmatched,66,59,59,WV:59,low,59
549300JDJ660YLLPS872,,,,unmatched,102,79,58,WV:58;OH:21,low,58
2549007WBD70RLDH1669,,,,unmatched,352,278,53,MD:156;PA:68;WV:53;FL:1,medium,53
549300IWSSP83SNIPE63,,,,unmatched,1109,700,52,PA:480;MD:162;WV:52;VA:6,medium,52
549300BWFA5UY7H4WJ62,,,,unmatched,2298,1845,52,VA:1514;NC:198;WV:52;MD:34;SC:19;FL:10;MS:6;GA:4;PA:3;TN:2,medium,52
254900UEITST3NEK8Y27,,,,unmatched,72,60,52,WV:52;VA:5;MD:2;LA:1,low,52
5493008E3WZYM5146L29,,,,unmatched,977,692,47,PA:606;WV:47;MD:32;VA:2;NJ:2;NC:1;SC:1;DE:1,high,47
549300T82SC9BPCIU410,,,,unmatched,174,140,47,MD:82;WV:47;PA:11,low,47
54930086UI4O90IKYD43,,,,unmatched,67,45,45,WV:45,low,45
5493005R34FLBMCPWB41,,,,unmatched,2586,1730,42,VA:708;PA:305;SC:187;NC:141;DE:135;FL:91;MD:67;NJ:47;WV:42;TN:3,high,42
54930063578UDYE3JR69,,,,unmatched,1797,1219,42,OH:744;IN:154;KY:131;WV:42;NC:32;PA:29;TN:14;MI:10;FL:9;AR:8,medium,42
25490074WALW1U7G4555,,,,unmatched,257,167,42,OH:121;WV:42;CO:1;KY:1;IL:1;NY:1,low,42
549300YEIILDTG022408,,,,unmatched,42,42,42,WV:42,low,42
2549001ZX3163R62TB83,,,,unmatched,241,171,39,OH:129;WV:39;PA:2;FL:1,low,39
254900NZCGMT6517BA94,,,,unmatched,2319,1229,37,VA:1101;MD:73;WV:37;NC:9;DC:9,medium,37
54930001GYIWKBD35H65,,,,unmatched,49,35,35,WV:35,low,35
5493008JDUT3R3K1LZ58,,,,unmatched,214,155,34,PA:100;WV:34;OH:19;LA:1;FL:1,medium,34
254900QIXIWRRJZY1H73,,,,unmatched,91,82,33,VA:42;WV:33;NC:4;TN:3,low,33
549300CV1BZKP1QUDZ13,,,,unmatched,233,191,32,MD:123;PA:33;WV:32;FL:1;VA:1;NC:1,low,32
549300AY1W8F91VLTB05,,,,unmatched,6290,2813,30,MD:2466;VA:168;PA:68;DC:44;DE:37;WV:30,medium,30
549300JRZJXS01TP9N73,,,,unmatched,45,35,30,WV:30;VA:5,low,30
549300AOB4S7B0DB7863,,,,unmatched,771,425,29,VA:93;MD:71;FL:54;WV:29;NJ:20;GA:20;CA:18;DC:17;TX:16;NC:15,medium,29
549300GIR2ODBIF9VF65,,,,unmatched,191,144,25,VA:80;WV:25;TN:19;NC:18;FL:2,low,25
549300SLZFPDLWNB0O94,,,,unmatched,1537,1245,23,SC:909;VA:146;GA:96;NC:56;WV:23;FL:8;TN:3;CT:1;TX:1;CA:1,high,23
5493002RKLPCGAVLNC16,,,,unmatched,301,168,23,VA:136;WV:23;MD:7;NC:2,low,23
549300FFVDRROF85IC57,,,,unmatched,11110,774,21,TX:149;NY:106;MI:99;PA:95;SC:54;OH:44;FL:43;MO:39;LA:24;WV:21,medium,21
5493002Z2Z7DV758IU60,,,,unmatched,430,284,21,VA:217;MD:32;WV:21;FL:2;DC:2;NJ:1;IN:1;TX:1;OH:1;NC:1,low,21
254900ZUMZZ6CZKH7X17,,,,unmatched,48,46,20,MD:26;WV:20,low,20
