lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,nd_originations,states_with_originations,priority_match
549300QLO8TSQW5JTK72,,,,unmatched,2807,2409,14,NE:1724;IA:452;SD:44;CO:44;KS:31;WY:27;MO:25;AR:15;ND:14;TX:7,medium
549300LUSWY3HVRZHF54,,,,unmatched,1355,924,14,MN:904;ND:14;WI:5;OR:1,medium
254900WRP19TBSQG0Z89,,,,unmatched,187,166,8,MN:141;ND:8;MT:3;FL:3;SD:2;WI:2;CA:2;WY:2;VA:1;AZ:1,low
549300X2ZT06KCNAN962,,,,unmatched,28,26,8,MN:18;ND:8,low
549300N5XAMERUPUAQ72,,,,unmatched,33,8,8,ND:8,low
549300BQRQCIPWG06A21,,,,unmatched,33,31,6,MN:25;ND:6,low
549300EKCKDF80ZM4V51,,,,unmatched,115,115,5,TX:25;MN:17;CA:8;IA:7;AZ:6;ND:5;NE:5;MT:5;IL:4;SC:3,low
549300EWFHPBZH38K695,,,,unmatched,1985,1390,3,WI:653;MN:485;IL:199;TX:23;IA:6;MI:5;ND:3;AL:2;MO:2;KY:2,medium
549300ZBB5XXXOWVNS92,,,,unmatched,1101,937,3,MN:911;WI:12;CO:4;FL:3;ND:3;AZ:2;SD:1;IN:1,medium
549300WYC8C6REMY4E38,,,,unmatched,777,588,3,MN:517;SD:49;WI:13;ND:3;FL:3;IA:2;WA:1,medium
549300FVJ3IB88LTR841,,,,unmatched,2928,2196,3,MT:2183;ND:3;WY:3;AZ:3;NV:2;ID:1;SD:1,medium
54930010ZG6EHTCJ1L21,,,,unmatched,171,138,3,IL:63;CA:34;IN:16;AZ:7;IA:3;ND:3;MT:2;MI:2;FL:2;MN:1,low
254900G7NNSN8LRSPM89,,,,unmatched,72,69,3,MN:55;FL:5;ND:3;WI:3;NE:1;CO:1;WA:1,low
254900O2VYWY7LKZ6T60,,,,unmatched,91,35,3,MN:8;IN:7;OH:4;ND:3;PA:3;NE:3;NJ:2;MI:2;IA:2;AZ:1,low
213800M6RMI3YBX62W88,,,,unmatched,628,467,3,SD:229;MN:217;ND:3;WI:3;NE:3;AZ:2;FL:2;IA:2;GA:1;NC:1,low
549300T1ONVEMLQ4B629,,,,unmatched,753,633,2,SD:576;MN:14;IA:13;NE:12;CO:3;AZ:2;TN:2;FL:2;ND:2;TX:2,medium
549300M2Z8GR3VL0QQ74,,,,unmatched,1311,783,2,SD:738;MT:17;WY:8;MN:4;ND:2;TX:2;MO:2;KS:1;IN:1;NE:1,medium
01ERPZV3DOLNXY2MLB90,,,,unmatched,150,121,2,IL:55;CA:21;FL:7;WI:7;IA:6;MT:5;AZ:4;MN:3;MI:3;ND:2,low
549300S5LHMBX3WRT314,,,,unmatched,123,97,2,IL:49;CA:24;IA:5;AZ:4;NC:3;WI:2;ND:2;FL:2;WY:1;MT:1,low
549300VE85K2XTVRSG76,,,,unmatched,83,80,2,MN:72;FL:2;SD:2;ND:2;OR:1;AZ:1,low
254900J2U7OF6AWF3P54,,,,unmatched,119,114,2,MN:110;ND:2;WI:1;FL:1,low
549300T03X096VF60C57,,,,unmatched,663,443,2,SD:417;MN:7;IA:6;AZ:3;ND:2;NE:1;WA:1;MT:1;ID:1;ME:1,low
254900040LMONERSH242,,,,unmatched,122,63,2,IA:61;ND:2,low
549300LZLYU85WF65870,,,,unmatched,2124,1521,1,IA:1090;MN:229;WI:143;CO:29;IL:23;FL:3;NC:1;MO:1;ND:1;AZ:1,medium
549300IQ5NY7CSJLZW53,,,,unmatched,1866,1306,1,SD:972;MN:302;IA:12;WI:8;AZ:3;NE:2;ND:1;VA:1;MT:1;CA:1,medium
549300FSZH0FMQ1T8Y90,,,,unmatched,2808,2145,1,IA:1849;MN:181;NE:48;SD:35;WI:11;IL:10;MO:6;CO:2;AZ:2;ND:1,medium
549300REHZOIYMHDPI61,,,,unmatched,679,564,1,SD:541;IA:13;MN:8;NE:1;ND:1,medium
549300UDBUNBNEKR8J69,,,,unmatched,115,87,1,IL:47;CA:16;WI:4;FL:4;MT:4;UT:3;AZ:2;MN:2;MA:2;ND:1,low
549300FKWBMLIMGZ7Q40,,,,unmatched,353,241,1,MN:219;FL:4;WI:4;IN:3;CO:3;GA:2;TN:2;MT:1;ND:1;NV:1,low
549300Y7HCU10KIRLG30,,,,unmatched,602,439,1,IN:331;IL:95;FL:5;GA:2;MI:2;CA:1;VA:1;ND:1;AL:1,low
2549001R6R928Y08SC30,,,,unmatched,185,127,1,SD:113;MN:2;WY:2;ND:1;FL:1;MT:1;TX:1;NC:1;MS:1;VA:1,low
254900UFC85SQD8XYU52,,,,unmatched,233,187,1,WY:102;MT:79;TX:2;NE:1;FL:1;ND:1;UT:1,low
254900HEPQK96AEXHS12,,,,unmatched,447,398,1,NE:359;IA:14;MO:13;KS:3;CO:1;ND:1;MN:1;TN:1;IL:1;OR:1,low
549300IJ5M3CD2DPIX47,,,,unmatched,122,114,1,MN:110;CA:1;IL:1;MI:1;ND:1,low
254900DJ8WC0BQHYR275,,,,unmatched,114,106,1,IA:64;MN:34;MI:2;WI:1;AZ:1;CO:1;WY:1;FL:1;ND:1,low
549300EWGL0JGA62YY67,,,,unmatched,159,97,1,ID:81;WY:12;MO:2;CA:1;ND:1,low
2549009PBYH62M6NZK12,,,,unmatched,271,223,1,MN:133;WI:88;SD:1;ND:1,low
Q107R4XFOZ6F6K73C488,,,,unmatched,207,180,1,SD:170;MN:6;AZ:2;ND:1;IA:1,low
254900CYWJYH3ES8BV63,,,,unmatched,192,139,1,SD:130;WY:4;AZ:2;CO:1;ND:1;VA:1,low
54930002ZF7XTZGVKY26,,,,unmatched,121,102,1,MN:100;ND:1;IA:1,low
254900XA5WVWGS9RET72,,,,unmatched,101,90,1,MT:64;WY:23;WA:1;LA:1;ND:1,low
549300G6F5FVAHSGKU13,,,,unmatched,96,74,1,MN:72;UT:1;ND:1,low
549300J61UYIFWNCZS06,,,,unmatched,48,44,1,MN:43;ND:1,low
5493004O4O6HBJZIXH92,,,,unmatched,34,30,1,MN:29;ND:1,low
25490052LT8QG1RXJ172,,,,unmatched,29,28,1,MN:27;ND:1,low
549300HW662MN1WU8550,,,,unmatched,576697,422119,0,CA:57281;FL:49897;TX:42285;MI:22015;AZ:19328;CO:18178;GA:17047;NC:13671;IL:11397;NY:11157,high
549300FGXN1K3HLB1R50,,,,unmatched,609400,429332,0,CA:42202;FL:31530;TX:30579;MI:22693;GA:21182;NC:18462;OH:16656;PA:16043;VA:14489;NY:13729,high
549300VZVN841I2ILS84,,,,unmatched,190472,125099,0,FL:11987;OH:11011;CA:9599;PA:8399;TX:7734;NJ:7558;IL:5600;NY:5429;AZ:4945;WA:4877,high
B4TYDEB6GKMZO031MB27,,,,unmatched,217492,88530,0,CA:17758;FL:7938;TX:6141;NJ:5136;NC:4880;NY:3897;MA:3551;GA:3440;WA:3420;IL:2889,high
RVDPPPGHCGZ40J4VQ731,,,,unmatched,193807,100816,0,CA:10749;FL:9704;TX:6849;GA:5272;PA:4488;VA:4338;NC:3751;AZ:3232;NJ:3144;OH:2964,high
7H6GLXDRUGQFU57RNE97,,,,unmatched,152415,94243,0,CA:14032;TX:9775;NY:9163;IL:8778;FL:6131;OH:4171;NJ:3325;MI:2995;AZ:2864;IN:2857,high
549300AG64NHILB7ZP05,,,,unmatched,155159,91730,0,CA:9983;TX:8535;FL:7460;NJ:4334;IL:4241;GA:4168;AZ:4138;NC:3969;OH:3505;SC:2670,high
DRMSV1Q0EKMEXLAU1P80,,,,unmatched,119620,68902,0,NY:11000;PA:10441;MA:10235;NJ:7208;OH:4732;RI:3762;MI:3697;NH:3194;CT:3030;FL:2297,high
5493003GQDUH26DNNH17,,,,unmatched,179597,80547,0,VA:9684;FL:8416;CA:6361;NC:5249;MD:5163;GA:5118;TX:4267;SC:2487;WA:2289;PA:2141,high
549300GKFNPRWNS0GF29,,,,unmatched,102677,70098,0,TX:10655;WA:5796;CA:4698;FL:4388;TN:3925;PA:2626;NH:2466;MA:2329;VA:2325;NJ:2257,high
549300DD5QQUHO6PCH70,,,,unmatched,178189,82764,0,TX:6918;FL:5506;NC:4769;VA:4500;GA:4139;OH:3302;TN:3178;IL:2965;MO:2901;PA:2643,high
549300U3721PJGQZYY68,,,,unmatched,129086,70579,0,IL:10217;CA:6248;NJ:4826;MA:4507;TX:3318;FL:3204;PA:3119;OH:2795;NC:2491;CO:2143,high
549300FNXYY540N23N64,,,,unmatched,187594,66567,0,CA:5772;FL:5643;TX:4793;NY:3123;NC:2787;WA:2702;GA:2480;OH:2258;VA:2175;PA:2124,high
