lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
549300GTVXJ2PGXNLM73,,,,unmatched,5670,4310,869,TX:1195;FL:869;NC:762;SC:592;PA:254;MA:228;GA:187;TN:151,high
549300F8C5JA44WNMI75,,,,unmatched,9313,5758,856,NJ:1899;FL:856;NY:768;MA:739;PA:397;TX:278;GA:227;NC:201,high
5493000YNV8IX4VD3X12,,,,unmatched,65476,11476,844,NC:2515;SC:2449;TX:2045;GA:1956;TN:1509;FL:844;PA:96;CA:59,high
549300GRGZDEH4ZGQS06,,,,unmatched,2304,1583,832,FL:832;TX:430;TN:55;SC:53;NC:53;PA:42;MA:40;CA:32,high
C5654JQHZUHN0772B561,,,,unmatched,12209,5099,825,TX:1101;FL:825;NC:681;GA:562;TN:407;PA:348;SC:332;CA:318,high
549300YN94MOAVYW0F52,,,,unmatched,10033,4562,819,CA:1030;FL:819;TX:667;GA:475;NC:468;TN:352;PA:325;SC:213,high
549300SUCQ1358EGVE89,,,,unmatched,19807,3363,805,FL:805;NC:548;GA:542;PA:367;SC:330;TN:325;CA:266;NJ:149,high
5493001GDRY0EL7VG372,,,,unmatched,10559,7982,795,TX:4151;FL:795;CA:751;SC:545;TN:524;GA:387;PA:380;NC:193,high
GDN5JXQ4P5NZE28ZRC90,,,,unmatched,1714,1133,788,FL:788;GA:292;NY:14;NC:11;SC:9;TN:5;CA:5;TX:3,high
549300S5YL3OH0IVCS62,,,,unmatched,8045,5506,786,CA:2527;FL:786;TX:524;NY:368;NJ:280;NC:254;GA:195;SC:153,high
549300CB67L6KPJLHE19,,,,unmatched,33927,6668,774,TX:2321;CA:1644;FL:774;PA:553;SC:363;NY:296;GA:248;NC:216,high
X05BVSK68TQ7YTOSNR22,,,,unmatched,38541,5000,771,CA:813;FL:771;TX:649;NY:467;GA:466;NJ:451;PA:392;NC:313,high
549300EMNDEK4BA8WB53,,,,unmatched,4773,3704,742,FL:742;PA:717;NJ:658;MA:523;GA:375;NC:314;SC:195;NY:78,high
549300NT030LXB2A8T82,,,,unmatched,1080,811,742,FL:742;NJ:28;TX:18;GA:11;NC:5;PA:4;DC:2;CA:1,high
SS1TRMSN6BRNMOREEV51,,,,unmatched,8696,4219,737,TX:943;CA:934;FL:737;NY:367;GA:351;NJ:204;PA:181;SC:171,high
5493009BD405QQTMXO12,,,,unmatched,5482,3145,715,FL:715;TX:681;GA:355;SC:304;NJ:263;PA:256;NC:249;CA:168,high
2549007JZSAICH4GZJ60,,,,unmatched,1445,1079,711,FL:711;CA:358;TX:4;SC:3;NJ:1;TN:1;GA:1,high
549300323EON4W3CCM44,,,,unmatched,4589,3038,702,CA:1108;FL:702;TX:527;SC:161;NC:158;GA:109;NJ:109;TN:83,high
549300R7HGHP2I754087,,,,unmatched,4168,3175,695,TX:784;FL:695;GA:640;SC:350;NC:279;PA:180;TN:143;CA:72,high
549300T9P3WXNMXX0I34,,,,unmatched,5073,3559,693,PA:1110;NC:765;FL:693;TN:333;TX:224;NY:108;GA:97;SC:96,high
549300RFLICNI75BG067,,,,unmatched,4584,3019,686,NJ:1069;FL:686;TX:244;SC:240;NY:198;GA:170;PA:111;TN:98,high
