year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,WY,5493001XKL0FTNOJ0866,,93,75,56021:73; 56001:2,40,23,12,0,0,53.33,30.67,16.0,national
2025,WY,549300E2UX99HKDBR481,"NEW AMERICAN FUNDING, LLC",226,72,56021:15; 56025:8; 56033:8; 56037:6; 56005:5,33,32,6,1,0,45.83,44.44,8.33,national
2025,WY,549300G4ESSS6M0MEG51,ORIGINPOINT LLC,123,70,56039:36; 56023:26; 56035:4; 56029:2; 56041:1,66,4,0,0,0,94.29,5.71,0.0,national
2025,WY,549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,88,69,56001:42; 56005:9; 56021:5; 56033:4; 56037:2,50,9,10,0,0,72.46,13.04,14.49,national
2025,WY,549300OPCWU6E72WUT29,"MUTUAL OF OMAHA MORTGAGE, INC.",170,67,56021:10; 56029:8; 56025:6; 56041:6; 56033:5,25,31,11,0,0,37.31,46.27,16.42,national
2025,WY,7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",112,63,56039:24; 56021:12; 56029:8; 56023:5; 56033:2,63,0,0,0,0,100.0,0.0,0.0,national
2025,WY,254900UL88QFG0E40516,FIGURE LENDING LLC,138,60,56025:9; 56021:8; 56037:7; 56013:6; 56005:5,60,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300RSNTKNOA7GNI77,,69,60,56021:27; 56013:25; 56017:7; 56001:1,57,0,0,3,0,95.0,0.0,0.0,national
2025,WY,KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",114,58,56025:9; 56021:6; 56001:4; 56037:4; 56013:4,53,2,3,0,0,91.38,3.45,5.17,national
2025,WY,5493001GCBD5XGNIC815,Coastal Community Bank,173,57,56037:11; 56025:8; 56021:8; 56013:7; 56041:4,57,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300XCHJ481RPPSP63,,72,57,56021:55; 56025:1; 56031:1,30,16,11,0,0,52.63,28.07,19.3,national
2025,WY,54930052M48FOD3CWA54,"PRIMARY RESIDENTIAL MORTGAGE, INC.",74,55,56025:34; 56009:14; 56015:3; 56001:2; 56033:1,30,18,7,0,0,54.55,32.73,12.73,national
2025,WY,549300NOCASXPA34X033,"LAKEVIEW LOAN SERVICING, LLC",138,55,56021:10; 56037:8; 56025:8; 56023:6; 56005:5,18,17,20,0,0,32.73,30.91,36.36,national
2025,WY,549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE CORPORATION,215,55,56021:8; 56025:8; 56013:6; 56037:4; 56023:4,43,12,0,0,0,78.18,21.82,0.0,national
2025,WY,549300JYXTZDSPJEPI44,"PLAZA HOME MORTGAGE, INC.",79,54,56013:13; 56037:10; 56041:7; 56005:7; 56003:4,30,10,7,7,0,55.56,18.52,12.96,national
2025,WY,549300PIL8LFAQ04XC20,Better Mortgage Corporation,165,53,56021:14; 56033:9; 56005:6; 56025:6; 56023:3,53,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,311,53,56025:15; 56013:9; 56021:8; 56037:5; 56005:4,53,0,0,0,0,100.0,0.0,0.0,national
2025,WY,254900DTLHVWQ7NP7R34,"CMG Mortgage, Inc.",74,50,56033:17; 56021:15; 56029:5; 56023:4; 56025:3,45,3,2,0,0,90.0,6.0,4.0,national
2025,WY,8WH0EE09O9V05QJZ3V89,"Zions Bancorporation, N.A.",83,48,56039:30; 56023:13; 56021:2; 56013:1; 56041:1,46,1,1,0,0,95.83,2.08,2.08,national
2025,WY,549300ALNLUNS3Y53T24,AMERICAN FINANCING CORPORATION,128,45,56021:14; 56015:10; 56025:5; 56011:3; 56009:3,25,14,6,0,0,55.56,31.11,13.33,national
2025,WY,5493009V6C21MWMPSR74,,47,44,56021:44,44,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300R9S3MVDV4MGF56,"CARRINGTON MORTGAGE SERVICES, LLC",128,44,56037:8; 56005:7; 56021:5; 56033:3; 56025:3,22,15,7,0,0,50.0,34.09,15.91,national
2025,WY,254900ZFWS2106HWPH46,"PARAMOUNT RESIDENTIAL MORTGAGE GROUP, INC.",55,42,56037:35; 56001:3; 56015:1; 56033:1; 56045:1,16,22,2,2,0,38.1,52.38,4.76,national
2025,WY,549300J3YLW53W0K4T67,,123,41,56021:23; 56013:4; 56007:4; 56037:3; 56009:3,23,15,3,0,0,56.1,36.59,7.32,national
2025,WY,254900OD9TDRYGWJ0N48,,43,40,56021:33; 56007:2; 56015:2; 56019:1; 56031:1,28,5,7,0,0,70.0,12.5,17.5,national
2025,WY,C5654JQHZUHN0772B561,USAA Federal Savings Bank,93,39,56021:11; 56033:7; 56025:3; 56023:2; 56001:2,11,0,28,0,0,28.21,0.0,71.79,national
2025,WY,549300F6NSBOJBM9ED39,,58,36,56021:31; 56025:4; 56003:1,32,4,0,0,0,88.89,11.11,0.0,national
2025,WY,54930054ET8KM4O1D485,"SOFI BANK, NATIONAL ASSOCIATION",94,35,56021:8; 56025:5; 56005:4; 56033:3; 56029:3,32,2,1,0,0,91.43,5.71,2.86,national
2025,WY,549300SUCQ1358EGVE89,"NEW DAY FINANCIAL, LLC",158,34,56021:8; 56031:3; 56033:3; 56003:3; 56029:3,0,1,33,0,0,0.0,2.94,97.06,national
2025,WY,LDVFX8JEECFFE8HRWA73,First National Bank of Omaha,63,34,56021:21; 56001:10; 56013:1; 56025:1; 56015:1,34,0,0,0,0,100.0,0.0,0.0,national
2025,WY,5493006S869XKIESMV41,Mountain America Federal Credit Union,85,33,56023:10; 56037:8; 56041:5; 56025:2; 56035:2,31,1,0,1,0,93.94,3.03,0.0,national
2025,WY,B4TYDEB6GKMZO031MB27,"Bank of America, National Association",80,30,56039:11; 56021:4; 56041:2; 56025:2; 56001:2,30,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300INKSPQCTELMO58,Granite Bank,37,29,56021:21; 56001:2; 56025:2; 56013:1; 56019:1,15,9,5,0,0,51.72,31.03,17.24,national
2025,WY,549300TTK5T7CZ3UJ084,,36,29,56037:16; 56023:5; 56025:3; 56041:2; 56005:1,29,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300PL267CW8182203,,46,28,56021:16; 56025:6; 56031:2; 56033:2; 56015:1,3,13,12,0,0,10.71,46.43,42.86,national
2025,WY,549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",34,27,56025:17; 56009:4; 56037:1; 56021:1; 56029:1,16,6,4,1,0,59.26,22.22,14.81,national
2025,WY,549300FWQNRPTKXB8G79,,31,27,56021:16; 56025:9; 56013:2,15,9,3,0,0,55.56,33.33,11.11,national
2025,WY,549300QLO8TSQW5JTK72,WEST GATE BANK,36,27,56037:10; 56021:4; 56007:3; 56023:2; 56003:2,26,0,0,1,0,96.3,0.0,0.0,national
2025,WY,25490090KXNIT4RLYQ17,,33,26,56001:16; 56025:5; 56021:1; 56037:1; 56017:1,26,0,0,0,0,100.0,0.0,0.0,national
2025,WY,X05BVSK68TQ7YTOSNR22,Discover Bank,162,26,56021:7; 56025:6; 56023:3; 56005:2; 56041:2,26,0,0,0,0,100.0,0.0,0.0,national
2025,WY,254900XA5WVWGS9RET72,,23,23,56033:22; 56037:1,23,0,0,0,0,100.0,0.0,0.0,national
2025,WY,5493009JZ6NIQL6RQT28,,22,22,56005:15; 56011:4; 56045:2; 56025:1,19,1,2,0,0,86.36,4.55,9.09,national
2025,WY,549300BX448ALT10FI43,The Federal Savings Bank,70,22,56025:4; 56021:4; 56005:3; 56033:3; 56023:2,3,0,19,0,0,13.64,0.0,86.36,national
2025,WY,CKVBED0S4DMLKJJ5XH28,Stifel Bank and Trust,23,21,56033:12; 56021:2; 56039:2; 56009:1; 56023:1,21,0,0,0,0,100.0,0.0,0.0,national
2025,WY,54930021WPEXNHYZUL09,"PLANET HOME LENDING, LLC",34,20,56023:5; 56021:4; 56025:3; 56033:2; 56005:2,5,3,12,0,0,25.0,15.0,60.0,national
2025,WY,549300GS0W0TEUQS8571,"Morgan Stanley Private Bank, National Association",28,20,56039:11; 56033:4; 56013:3; 56021:2,20,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300VCMRO4ST680C11,VILLAGE CAPITAL & INVESTMENT LLC,74,20,56025:4; 56037:3; 56041:3; 56005:2; 56029:2,0,4,16,0,0,0.0,20.0,80.0,national
2025,WY,549300YW2UBCMDRMBT48,,22,19,56021:5; 56005:3; 56013:2; 56033:2; 56025:2,10,4,5,0,0,52.63,21.05,26.32,national
2025,WY,549300RN01LBYR8ZVX74,"LOWER, LLC",39,18,56033:4; 56021:3; 56015:3; 56005:2; 56025:2,8,7,3,0,0,44.44,38.89,16.67,national
2025,WY,PAOOWF3GUFM46FBSP561,,44,18,56021:5; 56005:2; 56025:2; 56033:1; 56035:1,5,5,8,0,0,27.78,27.78,44.44,national
2025,WY,549300K4ZLGS7SRDTL86,Equity Prime Mortgage LLC,41,17,56005:5; 56021:3; 56033:2; 56013:2; 56023:2,0,8,8,1,0,0.0,47.06,47.06,national
2025,WY,254900HA4DQWAE0W3342,"AMERIHOME MORTGAGE COMPANY, LLC",28,16,56005:4; 56011:3; 56037:2; 56021:2; 56025:2,5,10,1,0,0,31.25,62.5,6.25,national
2025,WY,AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",33,16,56021:4; 56037:3; 56005:2; 56029:2; 56035:1,16,0,0,0,0,100.0,0.0,0.0,national
2025,WY,213800XR2TCBQJSF1X93,,27,15,56001:7; 56021:5; 56033:2; 56025:1,8,0,7,0,0,53.33,0.0,46.67,national
2025,WY,254900SCAXHT20CVF122,,16,15,56021:13; 56045:2,15,0,0,0,0,100.0,0.0,0.0,national
2025,WY,5493000YNV8IX4VD3X12,"VANDERBILT MORTGAGE AND FINANCE, INC.",253,15,56021:10; 56041:2; 56025:2; 56001:1,15,0,0,0,0,100.0,0.0,0.0,national
2025,WY,5493007L4GYNO2PUBS09,,27,15,56005:12; 56033:2; 56045:1,15,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300E57105E8PDY082,VALLEY FINANCIAL CREDIT UNION,20,15,56029:15,15,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300S5FVOSK5DQJN30,INTERCAP LENDING INC.,22,15,56041:12; 56013:1; 56023:1; 56021:1,7,6,1,1,0,46.67,40.0,6.67,national
2025,WY,549300S5YL3OH0IVCS62,FINANCE OF AMERICA REVERSE LLC,25,15,56029:3; 56021:2; 56023:2; 56025:2; 56015:1,0,15,0,0,0,0.0,100.0,0.0,national
2025,WY,549300XY701IELCE5Q08,BETTER MORTGAGE CORPORATION,59,15,56021:5; 56025:3; 56023:2; 56001:1; 56013:1,14,1,0,0,0,93.33,6.67,0.0,national
2025,WY,2549008LUH7QKMXQ8N53,,27,14,56037:12; 56015:1; 56043:1,7,3,0,4,0,50.0,21.43,0.0,national
2025,WY,5493006JISETNI0GLE61,,28,14,56025:4; 56003:2; 56001:2; 56021:2; 56035:1,14,0,0,0,0,100.0,0.0,0.0,national
2025,WY,SS1TRMSN6BRNMOREEV51,"Flagstar Bank, National Association",23,14,56013:6; 56021:2; 56011:1; 56037:1; 56025:1,13,0,0,1,0,92.86,0.0,0.0,national
2025,WY,549300FX7K8PTEQUU487,PENTAGON FEDERAL CREDIT UNION,30,13,56021:5; 56023:2; 56001:2; 56005:2; 56033:1,9,0,4,0,0,69.23,0.0,30.77,national
2025,WY,549300INFJ8TYNZ1G568,,14,13,56039:8; 56023:3; 56029:1; 56001:1,13,0,0,0,0,100.0,0.0,0.0,national
2025,WY,2549001FRVJW21ARMV74,,18,12,56007:12,12,0,0,0,0,100.0,0.0,0.0,national
2025,WY,5493008NWHQT1R22C024,"AMERICAN FINANCIAL NETWORK, INC.",18,12,56009:5; 56021:3; 56005:2; 56023:1; 56007:1,2,4,4,2,0,16.67,33.33,33.33,national
2025,WY,5493009D7ZK3I86CJC09,,13,12,56015:6; 56009:3; 56027:2; 56025:1,12,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300EWGL0JGA62YY67,,17,12,56023:12,11,1,0,0,0,91.67,8.33,0.0,national
2025,WY,549300GTVXJ2PGXNLM73,T2 FINANCIAL LLC,17,12,56025:9; 56023:1; 56009:1; 56033:1,4,7,1,0,0,33.33,58.33,8.33,national
2025,WY,549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",16,11,56001:5; 56021:2; 56023:1; 56025:1; 56033:1,5,3,3,0,0,45.45,27.27,27.27,national
2025,WY,549300PBTV7FCWLSMM53,,23,11,56037:2; 56021:2; 56015:1; 56041:1; 56007:1,2,2,7,0,0,18.18,18.18,63.64,national
2025,WY,549300R7HGHP2I754087,TOWNE MORTGAGE COMPANY,12,11,56021:11,1,0,10,0,0,9.09,0.0,90.91,national
