lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,wy_originations,states_with_originations,priority_match,wyoming_originations
549300ESRQ6OLBB56N04,,,,unmatched,7688,4789,538,MT:1904;ID:977;WY:538;WA:420;UT:269;CO:259;AZ:240;TX:94;NV:75;NM:5,medium,538
549300R5DOGZK0VWYL76,,,,unmatched,517,457,440,WY:440;CO:6;MT:2;NE:2;OK:1;CA:1;ID:1;TN:1;VA:1;AK:1,low,440
549300J5YB46ZKVUNF26,,,,unmatched,547,387,383,WY:383;CO:3;NM:1,low,383
549300RFSMIRUODUVW59,,,,unmatched,4082,2443,306,MT:610;SD:364;OR:317;WY:306;IA:244;ID:236;NE:183;WA:79;AZ:31;CO:29,medium,306
5493007KYI3BO5LTXF79,,,,unmatched,709,404,306,WY:306;NE:53;CO:33;ID:8;SD:2;AZ:1;IA:1,low,306
5493004JDNBZNOT8PR69,,,,unmatched,387,253,252,WY:252;CO:1,low,252
5493002Y5XYV7DV1ZV88,,,,unmatched,11225,6891,244,FL:1346;MI:1280;TX:409;IN:364;NV:325;NC:308;CO:278;WY:244;WA:213;OH:203,high,244
549300QG83M0EX7VC434,,,,unmatched,336,252,244,WY:244;SD:4;NE:2;MT:1;CO:1,low,244
549300WRB87J6ZL6CO07,,,,unmatched,306,243,237,WY:237;CO:4;AZ:1;MT:1,low,237
549300KJI3KX8KY2FG10,,,,unmatched,264,220,219,WY:219;FL:1,low,219
549300ZFJ1696ECS0S38,,,,unmatched,219,189,177,WY:177;NE:5;CO:3;UT:1;KS:1;SD:1;NC:1,low,177
254900XZCT60J2G3HK85,,,,unmatched,1173,591,171,CO:416;WY:171;NE:1;NM:1;AZ:1;OR:1,medium,171
549300UHQ3UXVA4AGM53,,,,unmatched,691,444,127,CO:312;WY:127;MT:2;SD:2;NE:1,low,127
254900KI7219LQKCI772,,,,unmatched,1254,974,105,CO:694;WY:105;TX:24;AZ:18;CA:17;MT:10;FL:8;OH:7;ID:7;NC:6,medium,105
254900UFC85SQD8XYU52,,,,unmatched,233,187,102,WY:102;MT:79;TX:2;NE:1;FL:1;ND:1;UT:1,low,102
549300T7AIY7RU1YDP31,,,,unmatched,2212,1448,84,CO:489;KS:423;MO:254;WY:84;TX:51;UT:35;ID:25;NM:19;FL:17;AZ:6,medium,84
549300G4ESSS6M0MEG51,,,,unmatched,9605,5971,70,IL:1723;CA:1252;WA:895;CO:383;TX:299;NC:292;MD:261;FL:109;IN:85;WY:70,high,70
549300RSNTKNOA7GNI77,,,,unmatched,69,60,60,WY:60,low,60
549300XCHJ481RPPSP63,,,,unmatched,78,62,57,WY:57;NM:1;TX:1;MO:1;AR:1;CO:1,low,57
8WH0EE09O9V05QJZ3V89,,,,unmatched,17257,8981,48,UT:1755;CA:1647;TX:1522;AZ:1168;CO:1057;NV:1054;ID:517;WA:140;WY:48;NM:23,high,48
5493009V6C21MWMPSR74,,,,unmatched,47,44,44,WY:44,low,44
549300J3YLW53W0K4T67,,,,unmatched,359,83,41,WY:41;NE:22;CO:13;AZ:4;OR:2;NM:1,low,41
254900OD9TDRYGWJ0N48,,,,unmatched,395,314,40,SD:189;WY:40;CO:39;MN:25;AZ:3;IA:3;NE:2;FL:2;WI:2;IL:2,low,40
549300F6NSBOJBM9ED39,,,,unmatched,2017,1138,36,CA:672;AK:282;AZ:67;WA:39;WY:36;ID:11;NV:10;CO:7;OR:5;NM:3,high,36
LDVFX8JEECFFE8HRWA73,,,,unmatched,6317,3757,34,NE:1773;IL:646;CO:466;KS:307;MO:215;IA:191;SD:54;WY:34;TX:12;WI:8,medium,34
5493006S869XKIESMV41,,,,unmatched,21683,9830,33,UT:7223;ID:1069;AZ:872;NV:431;MT:113;WY:33;CO:32;WA:25;OR:17;NM:15,high,33
549300TTK5T7CZ3UJ084,,,,unmatched,333,298,29,UT:246;WY:29;AZ:5;ID:4;OR:3;CO:3;CA:2;TX:1;ME:1;WA:1,low,29
549300FWQNRPTKXB8G79,,,,unmatched,291,187,27,TX:62;AZ:49;WY:27;CA:24;WA:18;ID:7,medium,27
549300QLO8TSQW5JTK72,,,,unmatched,2807,2409,27,NE:1724;IA:452;SD:44;CO:44;KS:31;WY:27;MO:25;AR:15;ND:14;TX:7,medium,27
25490090KXNIT4RLYQ17,,,,unmatched,33,26,26,WY:26,low,26
254900XA5WVWGS9RET72,,,,unmatched,101,90,23,MT:64;WY:23;WA:1;LA:1;ND:1,low,23
5493009JZ6NIQL6RQT28,,,,unmatched,67,67,22,SD:42;WY:22;ID:2;GA:1,low,22
549300E57105E8PDY082,,,,unmatched,368,280,15,MT:264;WY:15;AZ:1,low,15
254900SCAXHT20CVF122,,,,unmatched,66,57,15,NE:34;WY:15;CO:8,low,15
549300EWGL0JGA62YY67,,,,unmatched,159,97,12,ID:81;WY:12;MO:2;CA:1;ND:1,low,12
5493009D7ZK3I86CJC09,,,,unmatched,124,92,12,NE:50;CO:27;WY:12;SD:2;MN:1,low,12
2549001FRVJW21ARMV74,,,,unmatched,30,18,12,WY:12;CO:6,low,12
549300R0DP2GXAIMGB41,,,,unmatched,2171,1529,9,CO:1334;AZ:98;NM:34;NE:15;WY:9;TX:8;KS:5;MO:3;MN:2;MI:2,medium,9
5493007YN2BYYXCI7W64,,,,unmatched,1465,650,9,SD:494;MN:93;ND:25;MT:10;NE:10;WY:9;IA:6;IN:1;ME:1;CO:1,medium,9
549300M2Z8GR3VL0QQ74,,,,unmatched,1311,783,8,SD:738;MT:17;WY:8;MN:4;ND:2;TX:2;MO:2;KS:1;IN:1;NE:1,medium,8
254900A6XS8JBOVU9C33,,,,unmatched,55,38,7,CO:29;WY:7;KS:2,low,7
549300X7KG2H84UCP685,,,,unmatched,306,254,6,CO:103;WA:35;UT:32;NE:31;MO:14;KS:7;IL:7;ID:7;WY:6;IA:3,low,6
549300LG5340S24M4N89,,,,unmatched,1601,1169,5,CO:667;KS:495;WY:5;AZ:2,medium,5
549300ABEFRFKC9S8368,,,,unmatched,2269,1405,4,CO:1364;NM:12;KS:11;UT:6;WY:4;NE:4;MT:2;ID:2,medium,4
254900CYWJYH3ES8BV63,,,,unmatched,192,139,4,SD:130;WY:4;AZ:2;CO:1;ND:1;VA:1,low,4
549300M25807V5I2K649,,,,unmatched,69,64,4,IA:56;WY:4;MO:2;MN:2,low,4
549300AH6CHRCS9EMF95,,,,unmatched,21,19,4,NE:15;WY:4,low,4
549300E3QJQLKVB40W93,,,,unmatched,4917,2944,3,CO:2939;WY:3;UT:1;NM:1,medium,3
549300FVJ3IB88LTR841,,,,unmatched,2928,2196,3,MT:2183;ND:3;WY:3;AZ:3;NV:2;ID:1;SD:1,medium,3
549300CM7HYHZ1MEJ624,,,,unmatched,365,330,3,UT:274;ID:32;MO:4;AZ:3;WY:3;CO:3;NV:2;CA:2;NC:1;GA:1,low,3
54930043A47GB1KNJQ31,,,,unmatched,480,360,3,MT:356;WY:3;FL:1,low,3
5493003ZCL0UPU6NWT09,,,,unmatched,75,53,3,CO:49;WY:3;TX:1,low,3
5493001PXRJMPLXPG540,,,,unmatched,17003,10608,2,ID:9871;WA:612;AZ:83;OR:26;MT:6;UT:6;WY:2;NV:2,high,2
549300HV02VPA0FYR272,,,,unmatched,773,507,2,CO:319;TX:84;FL:76;AZ:8;WA:5;NC:5;TN:3;WY:2;SC:2;NE:2,medium,2
549300BDHZAV4ZQHQV19,,,,unmatched,4697,3213,2,UT:3013;ID:189;NV:3;WY:2;WA:1;AL:1;GA:1;OR:1;NM:1;MT:1,medium,2
549300214PKB2Y1ZWH75,,,,unmatched,615,568,2,KS:524;MO:33;WY:2;AZ:2;AR:2;MN:1;ID:1;OK:1;TX:1;CO:1,medium,2
254900WRP19TBSQG0Z89,,,,unmatched,187,166,2,MN:141;ND:8;MT:3;FL:3;SD:2;WI:2;CA:2;WY:2;VA:1;AZ:1,low,2
2549001R6R928Y08SC30,,,,unmatched,185,127,2,SD:113;MN:2;WY:2;ND:1;FL:1;MT:1;TX:1;NC:1;MS:1;VA:1,low,2
25490000OGVJZR74L509,,,,unmatched,86,76,2,UT:69;CA:4;WY:2;AZ:1,low,2
549300BZTITCLMZ3TL46,,,,unmatched,443,382,2,NE:332;SD:37;MO:3;CO:3;WY:2;CA:1;IN:1;TX:1;NV:1;KS:1,low,2
549300ZYK1Z0EK2JC967,,,,unmatched,158,115,2,ID:98;MT:13;WY:2;UT:2,low,2
