lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,oklahoma_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,4587,0,4587,high,ar_ms_ok_curated map for OK activity (4587 OK originations); slug=rocket-mortgage.
549300DMHEHNYZ2OLB41,First United Bank and Trust Company,,first-united-bank-and-trust,First United Bank and Trust Company,high,ar_ms_ok_curated+ar_ms_ok_gleif+lei_identity,3985,0,3985,high,ar_ms_ok_curated map for OK activity (3985 OK originations); slug=first-united-bank-and-trust.
549300MNZECUR067HB12,BancFirst,441224,bancfirst,BancFirst,high,ar_ms_ok_curated+ar_ms_ok_gleif+public_nmls,3786,0,3786,high,ar_ms_ok_curated map for OK activity (3786 OK originations); slug=bancfirst.
COINQMNIM6RBU631DD85,Arvest Bank,,arvest-bank,Arvest Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+directory_slug,3409,0,3409,high,ar_ms_ok_curated map for OK activity (3409 OK originations); slug=arvest-bank.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,2497,0,2497,high,ar_ms_ok_curated map for OK activity (2497 OK originations); slug=united-wholesale-mortgage.
FU7RSW4CQQY98A2O7J66,"BOKF, National Association",403501,bok-financial,"BOKF, National Association",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,2384,0,2384,high,ar_ms_ok_curated map for OK activity (2384 OK originations); slug=bok-financial.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1899,0,1899,high,ar_ms_ok_curated map for OK activity (1899 OK originations); slug=veterans-united-west-valley.
54930034MNPILHP25H80,Gateway First Bank,7233,gateway-mortgage-myrtle-beach,Gateway First Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1547,0,1547,high,ar_ms_ok_curated map for OK activity (1547 OK originations); slug=gateway-mortgage-myrtle-beach.
549300LXKO1O7CSK5J52,"FLAT BRANCH MORTGAGE, INC.",224149,flat-branch-mortgage,"Flat Branch Mortgage, Inc.",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1425,0,1425,high,ar_ms_ok_curated map for OK activity (1425 OK originations); slug=flat-branch-mortgage.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1012,0,1012,high,ar_ms_ok_curated map for OK activity (1012 OK originations); slug=pennymac.
254900F8XCJE1G9OYR92,TTCU Federal Credit Union,401680,ttcu-federal-credit-union,TTCU Federal Credit Union,high,ar_ms_ok_curated+ar_ms_ok_gleif+public_nmls,984,0,984,high,ar_ms_ok_curated map for OK activity (984 OK originations); slug=ttcu-federal-credit-union.
549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,2280,21st-mortgage,21st Mortgage Corporation,medium,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,888,2098,888,high,reuse_prior_state_curated_lei map for OK activity (888 OK originations); slug=21st-mortgage.
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2767,freedom-mortgage,Freedom Mortgage Corporation,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,846,0,846,high,ar_ms_ok_curated map for OK activity (846 OK originations); slug=freedom-mortgage.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,811,0,811,high,ar_ms_ok_curated map for OK activity (811 OK originations); slug=navy-federal-jacksonville.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,774,0,774,high,ar_ms_ok_curated map for OK activity (774 OK originations); slug=guild-mortgage-metrowest.
