lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,in_originations,states_with_originations,priority_match
549300DX0B304LAKUN93,,,,unmatched,1176,911,41,MO:521;PA:228;IL:58;KS:48;IN:41;OH:4;TN:3;CO:3;FL:2;OR:2,medium
549300GN85R5S1V3SJ96,,,,unmatched,993,659,41,OH:510;KY:92;IN:41;FL:9;SC:3;AZ:1;WV:1;AR:1;CO:1,medium
5493001ZYMBN3CK8LJ82,,,,unmatched,875,735,41,MI:694;IN:41,medium
549300L8KOGOW7X6DY09,,,,unmatched,145,133,40,OH:93;IN:40,low
54930053KPO7OG48FP72,,,,unmatched,446,279,39,PA:146;IN:39;FL:34;OH:27;VA:8;MI:5;CA:3;CO:3;MD:2;MN:2,medium
549300ANF834QIIFUE57,,,,unmatched,1483,1482,39,IL:1331;IN:39;WI:37;MI:22;FL:17;TX:8;CA:5;AZ:4;TN:4;NC:4,medium
549300LNXSV7JTOU7K53,,,,unmatched,56,40,39,IN:39;TN:1,low
549300TK6RZQSFXZHV09,,,,unmatched,2683,1473,38,MI:532;FL:157;PA:110;CA:108;NC:75;OH:68;AZ:54;IN:38;MD:34;TX:32,high
549300V8CF81JGIV7038,,,,unmatched,2169,1796,38,IL:1185;IA:235;TN:104;FL:46;IN:38;MI:33;WI:29;AL:19;AZ:16;TX:15,medium
549300XYCNS3JDVQXU89,,,,unmatched,69,39,37,IN:37;FL:1;SC:1,low
254900KE1KGYIP021V52,,,,unmatched,243,191,37,OH:152;IN:37;KY:1;FL:1,low
549300TDH15867LXRK58,,,,unmatched,121,98,37,KY:60;IN:37;FL:1,low
549300NN0PRX3I4QGG46,,,,unmatched,1601,896,35,FL:244;NC:138;GA:108;TX:89;VA:52;MO:39;SC:36;IN:35;AL:29;PA:17,high
549300POCKENHFN8BN88,,,,unmatched,480,439,35,IL:400;IN:35;FL:2;MO:1;TN:1,low
549300RYNOL8D0H1YY31,,,,unmatched,61,35,35,IN:35,low
549300NGCDNC9174EF79,,,,unmatched,418,213,33,IL:81;IN:33;MO:30;UT:26;KY:20;AZ:15;TN:3;WA:2;FL:1;OH:1,low
2549001URDOO8V3DI280,,,,unmatched,38,34,33,IN:33;FL:1,low
9845006YE04B346EC919,,,,unmatched,2469,676,32,FL:83;AZ:67;CA:62;NC:55;GA:53;TN:43;VA:33;IN:32;CO:31;OR:29,medium
549300OD0X37005DV702,,,,unmatched,48,36,32,IN:32;KY:4,low
549300OHTBYVLLO8NW69,,,,unmatched,38,32,32,IN:32,low
549300EES32R2VOEK894,,,,unmatched,589,402,31,IA:98;WI:90;IL:88;OH:53;IN:31;KS:19;MI:15;MO:7;NE:1,low
549300VBY3NBKUNMKL64,,,,unmatched,890,420,30,OH:296;AL:32;IN:30;CA:21;NC:15;SC:8;GA:4;TX:3;FL:2;MO:2,medium
254900ARL5FDX2OOH702,,,,unmatched,3225,2256,30,OH:2178;IN:30;KY:24;FL:8;MI:6;TX:2;TN:2;NY:1;CO:1;NC:1,medium
5493003XL7HDGFTGQI87,,,,unmatched,39,39,30,IN:30;IL:8;MI:1,low
549300HTZK86GTZ3J496,,,,unmatched,35,31,30,IN:30;IL:1,low
5493005T71YXBHEO2093,,,,unmatched,1483,567,29,IL:356;GA:63;MN:41;NV:35;IN:29;FL:12;WI:10;MI:7;TN:5;CA:4,medium
549300MH5OXXJKWZZY83,,,,unmatched,1511,1006,28,OH:798;KY:172;IN:28;FL:4;SC:2;TN:1;NC:1,medium
549300W09D8JV1ANXX59,,,,unmatched,519,390,28,IL:271;MI:56;IN:28;AZ:11;TN:6;FL:5;WI:4;NC:3;CO:2;GA:1,low
COINQMNIM6RBU631DD85,,,,unmatched,20365,13363,27,AR:6555;OK:3409;MO:2139;KS:735;TX:71;FL:46;CA:32;IN:27;TN:26;NC:26,high
549300RIPPSJXAQKZ383,,,,unmatched,764,557,27,IL:272;WI:202;IN:27;NJ:14;MA:7;FL:6;AZ:5;RI:3;TN:3;CT:3,medium
549300XOTES5TCS8T794,,,,unmatched,2369,1610,26,IL:1287;MO:159;WI:101;IN:26;TX:14;FL:13;GA:2;TN:2;KS:1;MN:1,medium
254900V9842QPBGIO804,,,,unmatched,2464,1551,26,MI:1493;IN:26;FL:10;IL:7;AR:3;TN:3;NC:2;NV:1;AL:1;WI:1,medium
549300ACR0JR0FZ47P31,,,,unmatched,33,26,26,IN:26,low
254900AD895KKZTSFT42,,,,unmatched,831,618,25,GA:406;SC:63;NC:58;FL:26;IN:25;NH:12;IL:9;TN:6;ME:4;VA:4,high
5493007TLZJ73TKCO730,,,,unmatched,120,91,25,IN:25;NY:13;OH:6;TX:5;CA:5;IL:4;NC:4;FL:4;SC:3;MI:3,low
549300ZTT08EKQRVTR15,,,,unmatched,7639,5109,24,VA:3237;MD:1172;NC:317;WV:149;DC:96;IN:24;FL:22;SC:20;PA:18;DE:13,high
984500F03B9034CQB904,,,,unmatched,4756,618,24,TX:79;FL:69;NC:60;CA:45;GA:38;OH:36;PA:35;VA:34;TN:29;IN:24,medium
549300YD7XJM19TH5O82,,,,unmatched,4999,3231,24,IL:2769;CA:124;TX:42;TN:38;FL:31;NC:25;IN:24;MO:24;AZ:18;GA:16,medium
5493006HFDG31YJ3MM36,,,,unmatched,483,253,24,OH:119;KY:25;IN:24;MI:14;CA:14;VA:13;FL:8;LA:7;WV:6;IL:5,low
549300I5PXYKWZSGG235,,,,unmatched,29,26,24,IN:24;KY:2,low
54930015645SYPOM7220,,,,unmatched,1102,791,23,TN:258;NV:156;GA:114;OR:49;FL:39;CA:36;AL:29;CO:27;VA:27;IN:23,medium
XC7Z0BA39TU7L1AKOJ12,,,,unmatched,4458,2588,23,IL:2072;FL:246;WI:139;IN:23;CA:16;GA:10;AZ:9;CO:9;MI:9;MN:9,medium
549300V7S0JJB4LU5J82,,,,unmatched,93,26,23,IN:23;FL:3,low
5493007CXTOHZ2JBEJ61,,,,unmatched,4205,3270,22,FL:2851;LA:161;AL:85;GA:62;IN:22;TN:18;TX:13;MS:11;NC:9;SC:8,high
549300GY0I1WYYWYFS47,,,,unmatched,149,112,22,IL:75;IN:22;MI:5;OH:5;FL:2;MO:1;WI:1;NC:1,low
549300N1YEXP02MHBR47,,,,unmatched,8964,5317,21,OH:5207;KY:35;IN:21;TN:17;FL:9;MI:7;GA:4;TX:4;IL:2;SC:2,high
549300PXIFIEPL7D7R86,,,,unmatched,659,447,21,TN:123;NJ:66;TX:40;IL:29;IN:21;FL:19;CO:16;OH:13;GA:13;MS:9,medium
549300CUF3Q2PQGM9256,,,,unmatched,3342,1890,21,KY:1869;IN:21,medium
254900Z3O0EHTKIOKZ62,,,,unmatched,64,55,21,OH:34;IN:21,low
549300VJ7C5JB4W87F48,,,,unmatched,1859,1456,20,IL:1382;IN:20;WI:16;FL:10;AZ:7;MI:6;WA:5;SC:2;OH:2;TN:1,medium
549300KH5RQTNDNNHM28,,,,unmatched,65,42,20,IN:20;IL:19;KY:2;AL:1,low
254900J2RKTTDJSUWD76,,,,unmatched,861,654,19,TX:250;FL:128;CA:88;GA:38;OH:30;IN:19;NJ:18;TN:16;AZ:14;UT:9,high
2549007AU24FVDMNUB40,,,,unmatched,2422,749,19,WI:262;IL:72;MN:69;CA:43;GA:29;FL:25;IN:19;NC:19;OH:19;CO:16,medium
5493004R423PBPM6A173,,,,unmatched,557,394,19,OH:46;TX:37;IL:24;GA:23;TN:20;NJ:19;IN:19;VA:18;MI:17;FL:15,medium
5493004K0Z4RFJSPYT52,,,,unmatched,2990,2266,19,IL:1999;WI:75;FL:38;IN:19;GA:16;NC:14;CA:13;PA:12;TN:12;TX:12,medium
549300C5GU86M1X2DG56,,,,unmatched,1155,926,19,KY:882;IN:19;OH:10;FL:7;MO:2;SC:1;TN:1;NC:1;AL:1;GA:1,medium
5493001141Z7CINOSB62,,,,unmatched,509,271,18,FL:82;TX:29;NJ:22;IN:18;CO:18;GA:16;CA:14;NC:14;MD:12;IL:10,medium
254900UD8AEXTVCVAF72,,,,unmatched,306,202,18,MO:29;MD:28;OH:21;IN:18;IL:16;VA:14;KY:14;IA:10;AL:9;TN:8,low
5493002UNUIL8WHZAD63,,,,unmatched,366,257,18,KY:239;IN:18,low
2549008C0Z4DABRKVV12,,,,unmatched,41,37,18,OH:19;IN:18,low
2549007G9V4FYWWWDZ31,,,,unmatched,1019,778,17,NJ:334;PA:199;FL:96;VA:34;GA:26;MD:23;TX:21;IN:17;NC:12;DE:7,high
54930053SM8COVIPIY54,,,,unmatched,4530,2747,17,MI:2551;IL:77;FL:25;OH:23;IN:17;WI:15;NC:7;AZ:6;TN:6;OR:6,medium
549300QX0QWWJKEY4R28,,,,unmatched,688,548,17,IL:514;IN:17;FL:5;AZ:4;WI:3;SC:2;MI:1;TN:1;CO:1,medium
549300DM6DAOPSF8HL78,,,,unmatched,236,145,17,MS:79;IN:17;TX:6;TN:6;OK:5;FL:4;KY:4;LA:4;OH:3;IL:2,low
549300QWYPPH283K6R36,,,,unmatched,69,58,17,IL:40;IN:17;GA:1,low
254900O723MCLR701H50,,,,unmatched,6301,1138,16,IL:785;TX:103;FL:73;NM:57;IN:16;SC:14;NV:13;CA:12;AZ:10;MN:9,medium
549300UKYJZO6CZXIX60,,,,unmatched,729,576,16,IL:476;TN:22;IN:16;FL:13;MI:11;MN:8;WI:5;OH:5;GA:5;SC:3,medium
54930010ZG6EHTCJ1L21,,,,unmatched,171,138,16,IL:63;CA:34;IN:16;AZ:7;IA:3;ND:3;MT:2;MI:2;FL:2;MN:1,low
549300QBX5R3ZBD8FR12,,,,unmatched,592,466,15,OH:182;NC:109;SC:79;PA:27;IN:15;LA:15;KY:11;TN:8;WV:6;MI:5,medium
254900HIDMT4ZG09RP47,,,,unmatched,379,273,15,MD:33;TX:26;GA:24;FL:23;NC:20;AL:17;IL:16;OK:15;IN:15;TN:13,medium
254900LEJ4HP6RMWD374,,,,unmatched,2183,1404,15,KY:1387;IN:15;TN:1;FL:1,medium
549300FHRL270LZY2I23,,,,unmatched,112,85,15,OH:68;IN:15;KY:1;MI:1,low
549300I25RV02D0T7075,,,,unmatched,38,37,15,OH:22;IN:15,low
254900I68BOSEM149Q58,,,,unmatched,1048,720,14,TX:354;NC:85;CA:49;UT:39;AZ:29;VA:26;FL:21;IN:14;MD:11;MO:11,high
549300GSYIBSO9N4PB10,,,,unmatched,3936,2943,14,MI:2929;IN:14,medium
549300EMGY2NJUW3A749,,,,unmatched,335,300,14,IL:247;TX:24;IN:14;WI:9;FL:3;MI:2;TN:1,low
549300YAYQAARPBTRA72,,,,unmatched,447,232,14,IL:194;IN:14;MI:7;WI:5;CA:4;CO:2;AZ:1;GA:1;KS:1;TX:1,low
549300CKKPTDS03YHG30,,,,unmatched,21,15,14,IN:14;MI:1,low
549300WHVRE44NRBU558,,,,unmatched,1549,980,13,MD:277;VA:204;FL:148;NC:97;TX:86;CA:30;AZ:20;WA:18;TN:16;IN:13,medium
5493009XSE00M8B9R434,,,,unmatched,3364,301,13,TX:159;FL:32;NM:24;OK:18;SC:15;IN:13;NC:10;LA:9;AL:4;IL:4,medium
54930084WKZ9NTQ0QS94,,,,unmatched,338,272,13,IL:232;MO:22;IN:13;FL:2;AL:1;KY:1;TN:1,low
549300RV3BMT6ES6TO70,,,,unmatched,38,15,13,IN:13;IL:2,low
5493008CDD8DDS775F56,,,,unmatched,21,13,13,IN:13,low
549300RFPLMCMJL7BS81,,,,unmatched,268,246,12,OH:48;KY:18;NC:17;GA:15;MN:14;CA:14;MI:14;IN:12;TX:10;AL:8,medium
254900A9IPKYRVXEJ156,,,,unmatched,1717,1214,12,MI:1165;TX:27;IN:12;FL:7;WI:1;GA:1;TN:1,medium
549300LPT41QBMAC7948,,,,unmatched,1847,1428,12,KY:1376;TN:24;IN:12;FL:6;OH:4;AL:3;GA:1;NC:1;SC:1,medium
549300E3X7YDJIUENL65,,,,unmatched,1003,605,12,IL:568;IN:12;FL:7;MO:3;WI:3;SC:2;TX:2;NC:1;AZ:1;KY:1,medium
549300Q55VW95EP3CM33,,,,unmatched,648,523,12,OH:475;KY:28;IN:12;TN:3;FL:2;CO:1;GA:1;SC:1,medium
635400IW1QMK3FNFF894,,,,unmatched,3346,2560,11,MD:838;PA:652;DE:640;NJ:226;VA:47;FL:31;NC:22;SC:11;IN:11;GA:10,high
5493002JA8HUVL2CRT33,,,,unmatched,709,442,11,NJ:87;OH:79;PA:76;NC:56;FL:27;OK:22;IL:22;NY:19;TX:18;IN:11,medium
20TVKH7M13MUBGE80C53,,,,unmatched,3466,2357,11,MI:2257;OH:66;FL:19;IN:11;NC:3;IL:1,medium
5493002N5OA6GM61AC70,,,,unmatched,1467,1075,11,KY:1046;IN:11;TN:6;FL:5;IL:3;NJ:1;GA:1;SC:1;MO:1,medium
5493004LTLRA7Y5L3696,,,,unmatched,347,312,11,IL:294;IN:11;FL:2;NC:1;AL:1;OK:1;TX:1;AZ:1,low
549300XZNW8Y7BOTQ597,,,,unmatched,35,28,11,OH:17;IN:11,low
549300IWE0Y507LPF493,,,,unmatched,4582,3663,10,MI:3342;FL:244;OH:46;IN:10;IL:7;CA:7;CT:3;KY:2;MN:1;TX:1,medium
54930060AO2QGPQGPO07,,,,unmatched,173,130,10,KY:116;IN:10;TN:2;FL:2,low
5493006IBJS6XC0DFJ29,,,,unmatched,111,94,10,IL:81;IN:10;MO:1;NE:1;WI:1,low
549300CEHN5CVC6INV48,,,,unmatched,5314,3696,9,OH:3251;SC:235;NC:119;KY:55;FL:12;IN:9;TN:3;GA:3;WV:2;MD:2,medium
5493008E4KBJCB6UKR64,,,,unmatched,515,321,9,CA:123;NV:27;GA:24;FL:12;TX:12;MO:11;AZ:10;IN:9;NC:7;PA:7,medium
5493005G8JO0PPI0HN36,,,,unmatched,182,141,9,FL:71;KY:61;IN:9,medium
549300SNZET0P5BZ3J56,,,,unmatched,1775,1426,9,IL:1377;FL:10;IN:9;MO:8;IA:8;WI:4;SC:4;TX:2;AZ:2;TN:1,medium
549300XZ4R55J9UKB235,,,,unmatched,256,235,9,IL:177;MI:17;NJ:14;IN:9;CT:7;FL:5;NY:3;MA:2;PA:1,low
549300ZGCIDP1G72QO72,,,,unmatched,367,187,9,OH:132;KY:9;IN:9;MI:7;FL:6;CA:5;GA:4;PA:2;CO:2;NC:2,low
549300W6J23SLH6AR815,,,,unmatched,656,248,9,IL:219;CA:12;IN:9;WI:6;AZ:2,low
549300TMWSYX6B5ZOK69,,,,unmatched,399,352,9,KY:341;IN:9;MO:1;WI:1,low
549300CZVVHZY16D5T08,,,,unmatched,129,129,9,OH:109;KY:11;IN:9,low
549300OJ2JN8JFPQM182,,,,unmatched,68,47,9,IL:38;IN:9,low
5493007ZG5EVEXW01J70,,,,unmatched,48,43,9,KY:34;IN:9,low
549300C04BJ0G297NC13,,,,unmatched,556,268,8,TX:26;FL:21;CA:18;PA:16;NC:15;IL:15;NY:13;NJ:10;IN:8;CO:8,medium
254900JH11ROOV921P96,,,,unmatched,2266,1600,7,CA:1259;NV:144;AZ:58;TX:42;WA:24;FL:16;HI:10;PA:9;IN:7;OR:7,high
549300LP3GMTWS4OB353,,,,unmatched,1570,896,7,TX:298;SC:207;AR:177;GA:101;OK:64;NC:12;LA:7;IN:7;AL:7;TN:6,high
254900U1OBL1MC6M6518,,,,unmatched,734,605,7,PA:364;NJ:82;TX:19;FL:19;NC:10;OH:10;CT:10;VA:7;MI:7;IN:7,high
254900MQ4O1DX3N88207,,,,unmatched,3106,2436,7,KY:2051;TN:196;WV:123;OH:33;VA:11;FL:11;IN:7;NC:2;MD:1;SC:1,medium
254900KKWIJLOTNP7667,,,,unmatched,169,155,7,NY:43;TX:16;CA:12;WA:11;IN:7;MD:7;CT:6;MA:6;FL:5;AZ:5,medium
549300Z6EE8DBBFUW487,,,,unmatched,366,313,7,KS:184;AZ:64;MO:25;IN:7;OH:6;CA:5;WI:5;MS:4;IL:3;CO:1,low
254900O2VYWY7LKZ6T60,,,,unmatched,91,35,7,MN:8;IN:7;OH:4;ND:3;PA:3;NE:3;NJ:2;MI:2;IA:2;AZ:1,low
549300HC145ABINEFL26,,,,unmatched,195,165,7,IL:151;IN:7;FL:4;MI:1;IA:1;CO:1,low
254900W66Q1214MV8X83,,,,unmatched,617,262,7,MI:254;IN:7;MN:1,low
549300GDJSUYPH6UC416,,,,unmatched,129,91,7,WI:78;IN:7;MN:2;OH:2;MO:1;IA:1,low
549300EBN45MAXGIP071,,,,unmatched,91,69,7,OH:58;IN:7;KY:4,low
2549007E9BI08H1N1T92,,,,unmatched,319,214,6,NC:82;TX:40;VA:23;GA:16;FL:12;SC:9;IN:6;CA:5;TN:5;WA:5,medium
549300KW705BBINDIZ26,,,,unmatched,335,226,6,TX:106;LA:38;AR:28;OK:18;NM:16;IN:6;WA:4;MO:2;MT:2;FL:1,medium
B94HV8SXGDD3J5XESU08,,,,unmatched,1615,1172,6,IL:1046;AZ:25;NY:15;FL:13;WI:12;MI:12;IN:6;WA:4;PA:4;SC:3,medium
5493000XYE7QL54NMB52,,,,unmatched,1908,1433,6,IL:1286;MO:85;IA:31;FL:13;IN:6;CO:2;KS:2;OH:1;MI:1;AZ:1,medium
549300U6DW7DX671T306,,,,unmatched,1641,989,6,IL:840;MO:116;FL:7;IN:6;WI:4;TN:3;OH:3;SC:2;IA:2;TX:2,medium
2549004XDCE3LGQW7H72,,,,unmatched,242,165,6,MN:35;WI:17;IL:10;FL:9;CA:8;OH:7;IA:7;IN:6;CO:6;TX:6,low
254900LP2WHZQ61VBS60,,,,unmatched,140,104,6,IL:55;MO:10;IN:6;AZ:6;OH:5;TX:4;WI:3;MA:3;CA:2;TN:2,low
549300DNRGCN05KNA737,,,,unmatched,308,267,6,IL:259;IN:6;TN:1;KS:1,low
549300VNVP1PTYHESA41,,,,unmatched,195,135,6,KY:129;IN:6,low
VN1JLT1F3FLLVN3FZG89,,,,unmatched,7547,4663,5,PA:3223;OH:1386;KY:18;FL:12;IN:5;NC:3;WV:3;MN:2;IL:2;GA:2,high
RM2F4G3WBQ8R9OKYRH19,,,,unmatched,3075,2129,5,MI:2101;FL:12;IN:5;OH:4;IL:3;WI:2;AZ:1;TN:1,medium
984500CBWD5B079K2C86,,,,unmatched,101,67,5,GA:9;NJ:8;NC:5;IN:5;VA:4;PA:4;CT:3;TX:3;SC:3;OH:2,low
549300WW4OBT30G5DK23,,,,unmatched,211,139,5,MN:24;WI:18;IL:14;OH:11;AZ:7;FL:6;GA:5;CA:5;IN:5;PA:4,low
549300LUF8JLB9HKT321,,,,unmatched,405,284,5,OH:231;KY:19;TN:6;FL:6;IN:5;SC:3;MS:2;AL:2;AZ:2;NC:2,low
549300KX2KT8MOAS5Q71,,,,unmatched,115,98,5,WI:43;IL:25;CA:9;IN:5;AZ:3;FL:2;MN:2;IA:2;WA:2;MT:2,low
549300UM6HPORF7X4415,,,,unmatched,121,103,5,IL:72;IN:5;OR:3;WI:2;WA:2;AL:2;GA:2;IA:2;SC:2;TN:2,low
549300FB7LY738B0AS28,,,,unmatched,213,147,5,OH:128;KY:8;IN:5;FL:2;GA:1;TN:1;SC:1;NC:1,low
549300HNMUG8WS7JLL28,,,,unmatched,366,261,5,OH:246;IN:5;MI:3;TN:3;GA:1;KY:1;MD:1;SC:1,low
254900TO7P4MVLV70225,,,,unmatched,144,136,5,IL:119;IN:5;FL:4;CO:2;MN:1;KS:1;MO:1;TX:1;WI:1;AZ:1,low
549300OVUSU8E87XZV67,,,,unmatched,90,51,5,IL:43;IN:5;KY:1;MO:1;TN:1,low
549300YJQ7L8XG0WT572,,,,unmatched,709,498,5,OH:354;KY:139;IN:5,low
5493000FE7FNF0BV8N77,,,,unmatched,533,434,5,OH:401;KY:28;IN:5,low
254900E3R2YX26OH3128,,,,unmatched,275,151,5,IL:143;IN:5;MO:2;WI:1,low
5493009KSPF2426CPQ08,,,,unmatched,122,122,5,IL:117;IN:5,low
254900JJ3E56IV4SHM86,,,,unmatched,7,5,5,IN:5,low
984500ET710674536D72,,,,unmatched,174,126,4,TN:105;KY:5;IN:4;GA:2;NC:2;AL:2;MS:2;AR:1;FL:1;MN:1,medium
IWRZQFYIRJ0IMURZBB68,,,,unmatched,3907,3194,4,WI:3047;IL:61;MN:16;FL:14;AZ:11;NC:6;TX:5;CO:5;MI:5;IN:4,medium
549300DPWFIO1S3DF358,,,,unmatched,1666,1189,4,OH:1143;NC:12;FL:6;MI:6;IL:6;KY:4;IN:4;SC:3;DE:1;MD:1,medium
I70W3N0Z6KOX8FYIH023,,,,unmatched,3374,2202,4,OH:1244;KY:465;WV:446;VA:23;MD:7;TN:5;IN:4;DC:4;SC:1;AL:1,medium
549300D88XVKM6DJOC77,,,,unmatched,914,759,4,KY:749;IN:4;FL:2;SC:1;NC:1;OH:1;TN:1,medium
549300MU2YI0HXIT3257,,,,unmatched,202,101,4,FL:29;OH:10;IL:7;OR:6;CO:6;AZ:5;WI:5;IN:4;TX:3;GA:3,low
549300EHWBP6UP4Y8J37,,,,unmatched,160,119,4,MI:15;MN:14;VA:13;FL:9;IL:8;TX:8;CA:6;ID:5;OH:4;IN:4,low
PS6WLKTYGZOKK05G5O59,,,,unmatched,233,189,4,IA:117;NC:9;TX:7;OH:6;IN:4;CO:4;GA:4;SC:3;WI:3;KY:3,low
9LIMABRJ9VPV74PBJB17,,,,unmatched,187,155,4,IL:128;CA:5;IN:4;FL:3;IA:3;WI:3;MI:2;MT:2;AL:2;AZ:1,low
2549006ONI6N95VKB649,,,,unmatched,469,344,4,MI:326;OH:7;FL:5;IN:4;ID:1;KY:1,low
549300QHPJ9CLOLCVE82,,,,unmatched,577,352,4,OH:302;KY:34;VA:5;IN:4;MD:1;AR:1;AL:1;NC:1;FL:1;TN:1,low
549300HZMPZC336WP721,,,,unmatched,522,488,4,WI:465;IL:16;IN:4;GA:1;FL:1;TN:1,low
549300JMCI45DZ4YNK98,,,,unmatched,25,22,4,IL:9;AZ:5;IN:4;FL:2;CA:1;WI:1,low
254900PKDTFIJ2XB1675,,,,unmatched,384,317,4,MO:307;IL:4;IN:4;MI:1;FL:1,low
549300V9HKOIF4980H71,,,,unmatched,132,119,4,KY:113;IN:4;TX:1;AL:1,low
25490039D55J3ZL21O72,,,,unmatched,408,263,4,OH:234;KY:25;IN:4,low
549300YMEOE50UQ6NM87,,,,unmatched,155,145,4,MO:132;CO:6;IN:4;IL:3,low
549300XSS1CPK8G7B851,,,,unmatched,1792,1464,3,AL:596;FL:426;TN:153;SC:115;GA:75;NC:54;VA:16;MS:6;TX:5;IN:3,high
549300DLBRGR2O0VNZ96,,,,unmatched,856,708,3,CA:696;IN:3;SC:3;WA:2;MA:1;PA:1;GA:1;TX:1,high
5493005PT09Z02WXW551,,,,unmatched,934,613,3,FL:601;CA:4;IN:3;TN:2;NC:1;WA:1;GA:1,high
549300YNUT7D0FWKU636,,,,unmatched,2071,1527,3,OH:1309;PA:200;WV:6;IN:3;SC:2;TX:1;NC:1;CO:1;TN:1;FL:1,medium
5493000F6NFDOVVZP043,,,,unmatched,1592,1350,3,IL:1147;WI:134;FL:12;MO:9;GA:8;NC:4;NE:3;TN:3;SC:3;IN:3,medium
549300X4P2GHQNMZGO79,,,,unmatched,3556,2562,3,MI:2215;IL:127;WI:105;OH:73;FL:19;IA:14;IN:3;GA:2;NC:1;TN:1,medium
549300L8JRY60EOROT34,,,,unmatched,2168,1716,3,IL:1287;MO:400;FL:11;IN:3;AR:2;WV:2;NC:2;GA:2;TN:2;WI:1,medium
549300WIE2SKOKI8PF63,,,,unmatched,506,294,3,IL:246;WI:21;FL:6;IN:3;SC:3;TN:2;MI:2;KY:1;IA:1;TX:1,low
5493002W52M3SYLFEX32,,,,unmatched,34,24,3,TX:5;IN:3;NY:3;FL:3;MD:1;MA:1;MS:1;IL:1;MN:1;NJ:1,low
549300FKWBMLIMGZ7Q40,,,,unmatched,353,241,3,MN:219;FL:4;WI:4;IN:3;CO:3;GA:2;TN:2;MT:1;ND:1;NV:1,low
549300P8KQYPAVPZL931,,,,unmatched,315,251,3,KY:241;TN:3;IN:3;FL:2;IL:1;HI:1,low
549300T3MSPBPSPZLR85,,,,unmatched,81,64,3,IL:57;IN:3;FL:2;TN:1;GA:1,low
549300B8C23BCNGJ4960,,,,unmatched,506,317,3,IL:231;MO:59;NE:19;IN:3;KY:2;AL:1;IA:1;FL:1,low
549300KCWMM5PJHWO653,,,,unmatched,170,138,3,OH:132;IN:3;KY:2;FL:1,low
254900BRCCRMIPW8R563,,,,unmatched,271,254,3,OH:251;IN:3,low
549300OCBGBM6IS0J130,,,,unmatched,115,70,3,KY:67;IN:3,low
549300GXRG31CBWWTR70,,,,unmatched,67,57,3,KY:54;IN:3,low
549300F1COXL6UBFCP55,,,,unmatched,578,519,2,NY:448;FL:21;NJ:19;TX:5;DE:4;CT:4;PA:3;IN:2;OH:2;CO:1,medium
549300U4FBW37LFHW771,,,,unmatched,727,488,2,NY:258;NJ:165;FL:20;CT:14;PA:6;CA:5;SC:4;TX:2;NC:2;IN:2,medium
549300CTISSNREVLNO46,,,,unmatched,603,383,2,TN:315;NC:47;VA:12;KY:3;IN:2;FL:2;LA:1;SC:1,medium
549300RUKY2I2HQ2AI44,,,,unmatched,1006,570,2,IL:252;NJ:146;NY:86;PA:37;CT:25;FL:22;IN:2,medium
5493005NU5BA00C1N451,,,,unmatched,1383,1034,2,MI:624;TN:209;VA:76;KY:53;FL:30;IL:15;SC:6;GA:5;NC:5;IN:2,medium
549300D36J5CQX0I4F44,,,,unmatched,1029,810,2,MI:524;OH:189;ME:35;MA:23;TN:16;IL:11;FL:8;NC:2;IN:2,medium
549300CP7747DCRW6U68,,,,unmatched,1655,1334,2,MO:673;IL:616;FL:12;CO:3;TN:3;AZ:2;OH:2;OK:2;IN:2;MI:2,medium
R6KJ2D7C3UT8OVTWHS39,,,,unmatched,1996,1487,2,NE:1373;KS:35;IA:19;MO:18;CO:13;AZ:6;MN:3;TX:3;SD:3;IN:2,medium
5493004NMXQUYEFD1Y98,,,,unmatched,819,608,2,OH:592;MI:4;WV:3;SC:3;KY:2;IN:2;FL:1;VA:1,medium
549300V36YE6JCCEJB76,,,,unmatched,3745,2185,2,AZ:2172;OK:2;IN:2;TN:2;KY:1;MI:1;NM:1;ID:1;GA:1;OR:1,medium
549300S2RLEOF6WG7P87,,,,unmatched,874,692,2,KY:690;IN:2,medium
9845006DE3H5E9VA4012,,,,unmatched,145,48,2,FL:18;TX:8;CA:6;GA:2;IN:2;NY:2;TN:2;NJ:1;UT:1;PA:1,low
254900QXDYW5OTSNTL04,,,,unmatched,268,185,2,OH:147;TN:27;KY:4;FL:4;IN:2;NC:1,low
25490014T1E9ZF0ODZ87,,,,unmatched,121,84,2,KY:50;TN:27;IN:2;OH:2;UT:1;SC:1;AL:1,low
549300OBJRCHJ0G6XU24,,,,unmatched,201,155,2,MO:101;IL:12;TX:9;MA:5;AR:4;TN:4;VA:3;FL:3;NJ:3;IN:2,low
549300P7J9S1WSW4VU68,,,,unmatched,119,102,2,IL:55;CA:19;MN:5;FL:5;WI:4;MT:4;NC:2;AZ:2;IN:2;WA:1,low
549300W6UP8EY0KSBG85,,,,unmatched,70,70,2,KS:25;CO:7;GA:5;MO:5;NC:4;FL:4;IN:2;MA:2;AZ:2;TX:2,low
549300O4KTZGM04CCZ47,,,,unmatched,644,423,2,IL:308;WI:72;OH:14;CA:7;FL:5;MN:4;MA:2;IN:2;AZ:2;TX:1,low
2549006HGDHH72X1BE36,,,,unmatched,130,114,2,WI:93;CA:12;IN:2;MI:2;WV:1;FL:1;IL:1;MA:1;NV:1,low
