lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,in_originations,states_with_originations,priority_match
549300VORTI31GZTJL53,,,,unmatched,18123,12305,791,TX:2136;FL:1187;IN:791;TN:697;WI:497;NC:467;GA:453;MN:448;PA:446;NY:375,high
549300R9S3MVDV4MGF56,,,,unmatched,52143,15089,732,FL:1296;CA:1022;GA:873;TX:848;IN:732;NC:680;OH:675;NY:576;MI:570;TN:533,high
549300BSIYFJ3FALVK78,,,,unmatched,1134,738,723,IN:723;OH:11;MI:3;IL:1,medium
549300HIDQ8IRRU12455,,,,unmatched,900,685,685,IN:685,medium
54930030UYPZM65LOF37,,,,unmatched,914,703,683,IN:683;OH:13;NV:3;FL:2;IL:1;MI:1,medium
549300QYV7W4MRNEFK89,,,,unmatched,770,720,678,IN:678;IL:40;NC:1;GA:1,medium
254900V3X9I3FAUULX72,,,,unmatched,956,673,672,IN:672;OH:1,medium
549300YN94MOAVYW0F52,,,,unmatched,21298,9778,664,CA:1030;FL:819;TX:667;IN:664;AZ:631;OH:614;GA:475;NC:468;VA:353;TN:352,high
549300QR0KFPEDZPEI42,,,,unmatched,11060,7147,657,KY:2250;AL:997;TN:703;IN:657;GA:442;MS:391;FL:289;OH:283;PA:270;WV:226,high
549300SQ2G271NHKJQ07,,,,unmatched,776,586,578,IN:578;KY:4;FL:2;OK:2,medium
549300WS8BW0I0BDA390,,,,unmatched,1528,1205,557,IN:557;IL:263;WI:151;GA:98;MI:45;OH:36;CO:23;FL:15;NV:4;TN:2,medium
254900YPMNKIA6O0HC78,,,,unmatched,908,612,528,IN:528;KY:77;IL:6;FL:1,medium
5493006JISETNI0GLE61,,,,unmatched,5427,3693,518,TN:786;OH:706;IN:518;KY:489;TX:312;KS:174;IA:150;NE:149;SD:91;CO:63,high
549300RFLICNI75BG067,,,,unmatched,12136,8416,517,MN:1356;NJ:1069;FL:686;CO:543;IN:517;KY:435;DE:277;WA:265;TX:244;SC:240,high
9845001DAE89414CBB55,,,,unmatched,8677,2547,514,IN:514;MI:449;WI:337;KS:335;IL:282;TX:174;FL:129;MO:63;OH:56;AZ:32,medium
549300LGEXCX325O8C49,,,,unmatched,828,675,512,IN:512;KY:156;AL:4;TN:2;FL:1,medium
549300K0WZYZ4I41CZ29,,,,unmatched,694,507,499,IN:499;MI:4;OH:1;KY:1;SC:1;WI:1,medium
549300H3GIHYP3MB0302,,,,unmatched,642,548,495,IN:495;MI:52;FL:1,medium
549300JYXTZDSPJEPI44,,,,unmatched,23886,14594,489,TX:1897;FL:1239;NY:1222;CA:1056;PA:866;MN:713;MI:555;NC:515;IN:489;IL:475,high
549300F8C5JA44WNMI75,,,,unmatched,18919,12172,489,VA:2520;NJ:1899;FL:856;NY:768;CT:755;MA:739;OH:544;IN:489;PA:397;RI:334,high
HUX2X73FUCYHUVH1BK78,,,,unmatched,15640,8717,489,NY:2485;OH:2071;WA:869;PA:597;IN:489;OR:470;CT:299;CO:227;ME:223;ID:180,high
549300FTS7TVGFDGUH88,,,,unmatched,564,495,485,IN:485;FL:6;MI:2;IL:1;WY:1,low
LVR1UQE8OOCO93IHEB52,,,,unmatched,5915,4158,480,PA:2412;NY:1021;IN:480;OH:223;MI:6;FL:6;WV:2;TN:2;MD:2;KY:1,high
5493005XMJQ1GSXUGT67,,,,unmatched,1819,1161,474,IN:474;NC:166;TX:111;TN:98;AL:73;LA:65;FL:60;WI:44;GA:25;IL:18,medium
254900FWMAL9Q1TY2667,,,,unmatched,523,444,444,IN:444,low
549300PXL1KA5TOL2O82,,,,unmatched,8501,7003,437,TX:2129;FL:1223;OH:1088;NC:723;MN:571;IL:566;IN:437;MI:185;TN:74;SC:7,high
254900HA4DQWAE0W3342,,,,unmatched,15379,9160,431,TX:1692;GA:705;FL:619;CA:540;PA:524;IL:452;IN:431;OH:396;AL:335;TN:311,high
