lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,md_originations,states_with_originations,priority_match
5493005H0NK3SWWY4384,,,,unmatched,318,279,24,VA:223;MD:24;NC:9;DC:7;FL:3;WV:2;CO:2;OH:1;NH:1;PA:1,low
2549007G9V4FYWWWDZ31,,,,unmatched,1019,778,23,NJ:334;PA:199;FL:96;VA:34;GA:26;MD:23;TX:21;IN:17;NC:12;DE:7,high
5493001GAASLCSP1PB64,,,,unmatched,850,613,23,NY:315;CA:125;MI:61;DC:34;WA:24;MD:23;OH:10;NJ:7;IL:4;VA:3,medium
549300JI0UWY4QIWDV89,,,,unmatched,2399,1972,22,SC:469;MA:445;ME:343;NH:248;FL:233;CT:136;RI:39;MD:22;NC:15;GA:11,high
2549004CU9LAM5CYA280,,,,unmatched,1053,734,21,NJ:315;TX:84;NC:80;PA:40;CA:40;FL:32;GA:29;MD:21;VA:20;SC:17,high
549300W20M87S246SZ26,,,,unmatched,400,309,21,PA:234;DE:22;MD:21;NJ:15;NC:4;VA:4;SC:3;FL:3;TX:1;GA:1,medium
894500LIN378M3LLE796,,,,unmatched,143,57,21,NJ:32;MD:21;DE:4,low
549300WK15ESCDNJ5M35,,,,unmatched,3189,2227,19,NC:1002;NY:787;PA:214;SC:112;FL:38;MD:19;NJ:12;VA:9;MA:7;CO:5,high
5493006VCMZ998IGOO33,,,,unmatched,2679,2088,19,NJ:1223;SC:362;DE:165;VA:133;PA:115;NC:28;FL:20;MD:19;GA:14;MA:3,high
549300LBK5BTNFKZJD14,,,,unmatched,2312,1647,18,PA:1531;NJ:66;MD:18;FL:13;SC:6;DE:4;NC:3;NY:2;GA:1;OH:1,high
54930062IKKOJW3K8L94,,,,unmatched,4413,2569,17,PA:2241;NJ:236;DE:61;MD:17;FL:9;OH:4;AZ:1,high
549300J8HNLGP2HYNE66,,,,unmatched,118,43,17,DC:22;MD:17;VA:2;NJ:2,low
25490008Z6OW7HHL6478,,,,unmatched,36,21,17,MD:17;VA:3;DC:1,low
2549001NJY765EZWDI06,,,,unmatched,815,508,16,NY:325;CT:41;NJ:32;PA:20;MA:19;FL:19;MD:16;TX:7;VA:6;SC:5,medium
5493002G4JO4BZ22MC13,,,,unmatched,213,129,16,PA:17;MD:16;TN:11;CA:10;TX:10;GA:9;NC:8;VA:8;NJ:8;DE:7,medium
549300D1PL8LHKCBST97,,,,unmatched,1285,1076,15,PA:1040;MD:15;WV:6;FL:5;DC:4;VA:3;OH:1;NC:1;SC:1,high
549300KDVJICP5T5BD05,,,,unmatched,1123,510,15,DE:486;MD:15;PA:7;TN:1;NC:1,medium
549300TMY3OACQC9U777,,,,unmatched,2045,963,14,CA:407;FL:140;TX:112;AZ:47;WA:28;NJ:27;CO:21;GA:19;NV:14;MD:14,high
54930091CYUK2SDZ6D37,,,,unmatched,1538,914,14,CA:343;FL:180;TX:106;MI:78;NJ:20;TN:19;NY:15;MD:14;NV:14;NC:14,high
FT6J43S06X6CLJ0R0B48,,,,unmatched,2232,1641,13,NY:757;CA:616;WA:87;NJ:50;NV:32;MA:31;IL:29;TX:26;MD:13,high
254900PQLW7K91KOVU18,,,,unmatched,990,577,13,PA:431;DE:92;NJ:37;MD:13;FL:3;NY:1,medium
