lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,md_originations,states_with_originations,priority_match
549300G4ESSS6M0MEG51,,,,unmatched,9605,5971,261,IL:1723;CA:1252;WA:895;CO:383;TX:299;NC:292;MD:261;FL:109;IN:85;WY:70,high
549300RYBJHWWDENV610,,,,unmatched,7839,6192,238,VA:2663;NC:1682;SC:399;WV:255;MD:238;GA:219;PA:168;FL:158;OH:144;TX:123,high
5493004N9PMBSLEZOF16,,,,unmatched,5604,4029,232,TX:820;CA:686;AZ:468;DE:364;FL:343;NJ:331;OH:247;VA:244;MD:232;SC:150,high
549300IJO7NO6VDZPD35,,,,unmatched,3250,2460,231,OK:667;TX:660;MI:649;MD:231;CO:39;IL:38;AZ:26;FL:25;VA:19;PA:19,high
549300EMNDEK4BA8WB53,,,,unmatched,8399,6547,228,NH:806;FL:742;PA:717;NJ:658;VT:644;MA:523;GA:375;VA:364;NC:314;MD:228,high
254900TTZ395IC926125,,,,unmatched,10564,7434,215,CA:2290;TX:605;OR:449;KS:368;FL:341;AZ:307;MA:268;CO:267;TN:243;MD:215,high
549300DNWSJUNAWUM003,,,,unmatched,2522,1388,209,NC:247;VA:226;MD:209;PA:92;SC:63;NY:60;FL:57;IL:56;KY:39;DC:34,high
549300GRGZDEH4ZGQS06,,,,unmatched,9623,7079,195,NM:2064;FL:832;OK:493;TX:430;VA:402;WI:395;AZ:386;ID:349;MO:235;MD:195,high
549300BLL6VL7AXWYP56,,,,unmatched,9652,6052,194,TN:627;TX:609;NE:513;MI:454;WA:351;ID:234;OR:219;OH:218;MD:194;CA:189,high
549300G2LV8W3C1G3762,,,,unmatched,4176,2917,183,OH:1027;PA:723;NC:439;MD:183;CT:125;SC:103;FL:98;MA:75;MI:61;VA:43,high
54930044OSTKOJMHF287,,,,unmatched,1137,814,182,DE:225;MD:182;DC:145;VA:65;PA:37;NC:31;FL:17;SC:13;NJ:9;NY:9,medium
5493002GI63WHHUTUD85,,,,unmatched,4325,3598,177,PA:1018;DE:564;CO:463;MA:193;NH:188;MD:177;NJ:166;NC:153;FL:150;VA:95,high
549300BM4NS8HDJT3X28,,,,unmatched,3351,2646,171,VA:1359;NC:400;WV:210;SC:180;MD:171;TN:111;DC:61;FL:49;GA:46;PA:13,high
549300YHPEPV6KF30T16,,,,unmatched,215,172,170,MD:170;VA:1;NY:1,low
549300RWXUAFD1WAE410,,,,unmatched,16717,13070,169,NC:6049;VA:4244;SC:955;GA:731;KY:389;FL:221;MD:169;AL:134;TN:63;IN:52,high
549300GE8KIGZVQV1223,,,,unmatched,1969,1593,162,MA:431;FL:363;MD:162;CT:157;RI:137;SC:113;NH:93;PA:61;NC:23;DE:14,high
54930060KLIQD8MMSB55,,,,unmatched,1468,1063,162,PA:880;MD:162;DE:9;VA:3;FL:3;NJ:2;NY:1;DC:1;SC:1;OH:1,high
549300IWSSP83SNIPE63,,,,unmatched,1109,700,162,PA:480;MD:162;WV:52;VA:6,medium
2549007WBD70RLDH1669,,,,unmatched,352,278,156,MD:156;PA:68;WV:53;FL:1,medium
5493006R3KP9HJOA7613,,,,unmatched,221,159,152,MD:152;DC:3;GA:2;NC:1;DE:1,low
549300X7J20OLLSGTZ36,,,,unmatched,401,163,152,MD:152;VA:5;DE:4;PA:2,low
549300W45D2J6BT4LX65,,,,unmatched,1745,1727,150,FL:260;CA:195;TX:184;NJ:175;MD:150;VA:124;GA:65;NC:63;AZ:51;SC:46,high
254900WTZC5SSKIN2M11,,,,unmatched,4245,2709,143,NC:235;IL:187;TX:181;GA:169;MD:143;FL:142;CA:124;CT:119;SC:111;MA:107,high
549300PEWJWBNEOSS013,,,,unmatched,1864,1297,138,OH:324;FL:163;MD:138;OR:96;NJ:71;NC:62;IN:45;VA:42;KY:40;DE:39,medium
549300BTTR873E71L054,,,,unmatched,3991,3103,134,VA:1016;NC:752;WV:488;SC:311;PA:187;TX:172;MD:134;FL:9;MN:9;GA:7,high
254900APUOKMIQ9Z9027,,,,unmatched,350,143,134,MD:134;PA:5;VA:2;DC:1;DE:1,low
549300FOXIQQV5UZD367,,,,unmatched,2842,2098,133,VA:1342;NC:467;MD:133;SC:130;FL:15;DC:3;TN:3;GA:2;PA:1;NJ:1,high
5493005CFFMKTUKLO381,,,,unmatched,1760,1346,131,PA:1188;MD:131;WV:10;DE:4;VA:4;NJ:3;FL:3;UT:1;AR:1;SC:1,high
549300CV1BZKP1QUDZ13,,,,unmatched,233,191,123,MD:123;PA:33;WV:32;FL:1;VA:1;NC:1,low
549300N2GMOJ61XHEL06,,,,unmatched,1351,900,122,IL:279;CO:141;MD:122;FL:99;VA:98;OR:61;TX:54;NC:15;WA:11;DC:6,medium
549300VJQJVZKJBDWS17,,,,unmatched,9038,6553,119,CT:3299;MA:1361;NH:320;ME:313;FL:201;NY:185;RI:148;MD:119;PA:117;NJ:112,high
254900SUZ313OILKVD67,,,,unmatched,364,302,118,MD:118;FL:64;SC:58;MA:9;CA:8;VA:7;NC:6;NJ:6;OH:5;PA:4,medium
5493008P6YO2KM3EO556,,,,unmatched,5493,4084,117,MI:2600;NY:372;CA:172;VA:153;MD:117;FL:81;CT:70;MA:55;KY:54;IN:52,high
549300SY0ZRUCS4CSY07,,,,unmatched,1017,654,116,VA:128;MD:116;NY:86;NJ:63;CA:40;PA:33;DC:30;GA:25;CT:21;FL:21,medium
5493007KLU19FK8PG279,,,,unmatched,285,169,115,MD:115;VA:15;DC:10;NC:10;WV:6;DE:3;GA:2;PA:2;IL:2;OH:2,low
549300TTPRGSP8DGY569,,,,unmatched,696,471,113,VA:134;MD:113;DC:55;CA:20;FL:14;NC:11;NJ:10;PA:8;OK:8;WV:8,medium
549300OSZK2W0WJYS771,,,,unmatched,2063,1248,112,VA:766;MD:112;FL:91;NC:62;SC:32;GA:21;PA:20;WV:19;DC:14;TN:14,medium
549300HCNXMTNGIMAR91,,,,unmatched,2158,1493,111,VA:309;NY:244;NJ:232;MA:167;MD:111;NC:67;GA:44;CA:41;DC:35;FL:34,high
549300H12E7AUMUHP294,,,,unmatched,1980,1256,111,NJ:374;PA:297;MD:111;FL:88;IL:79;NC:59;VA:35;NY:25;DE:24;TX:21,high
549300G54QPXQLB4KN58,,,,unmatched,259,178,107,MD:107;WV:60;PA:7;VA:2;AL:1;NC:1,low
5493005U6VKOSGHRA756,,,,unmatched,199,130,102,MD:102;DE:26;VA:2,low
549300GCEUZLVML1J263,,,,unmatched,2393,1885,101,MA:908;PA:474;MD:101;NC:74;NH:71;GA:66;FL:48;RI:42;TX:26;ME:23,high
