lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ut_originations,states_with_originations,priority_match
5493007I0X1GRWIU8B34,,,,unmatched,22220,15271,11759,UT:11759;NV:2393;AZ:780;ID:283;NM:48;CA:8,high
5493006S869XKIESMV41,,,,unmatched,21683,9830,7223,UT:7223;ID:1069;AZ:872;NV:431;MT:113;WY:33;CO:32;WA:25;OR:17;NM:15,high
549300AQ3T62GXDU7D76,,,,unmatched,121724,86111,3981,TX:6877;WA:5691;MO:5462;CO:4338;OR:4218;CA:4118;UT:3981;NV:3882;GA:3788;AZ:3467,high
549300S5FVOSK5DQJN30,,,,unmatched,5987,4500,3672,UT:3672;CA:224;AZ:149;ID:115;WA:84;NV:54;NC:33;CO:31;TX:24;FL:20,medium
549300BDHZAV4ZQHQV19,,,,unmatched,4697,3213,3013,UT:3013;ID:189;NV:3;WY:2;WA:1;AL:1;GA:1;OR:1;NM:1;MT:1,medium
5493003V40VGM7YDFM54,,,,unmatched,13160,8831,2983,UT:2983;WI:802;CA:772;NJ:570;FL:427;ID:415;PA:374;TX:278;GA:253;TN:189,high
549300MZ8VZJOVC63092,,,,unmatched,45691,29401,2249,CA:6409;TX:3781;FL:2662;UT:2249;GA:1421;OR:864;PA:782;WA:727;AZ:672;TN:597,high
254900DTLHVWQ7NP7R34,,,,unmatched,58895,40038,1917,CA:8432;FL:4627;TX:3502;AZ:2579;UT:1917;IL:1746;CO:1646;MI:1407;WA:1253;GA:1055,high
8WH0EE09O9V05QJZ3V89,,,,unmatched,17257,8981,1755,UT:1755;CA:1647;TX:1522;AZ:1168;CO:1057;NV:1054;ID:517;WA:140;WY:48;NM:23,high
549300VQUTI5IU7GXT57,,,,unmatched,9801,5896,1700,UT:1700;TX:1288;AZ:548;NV:328;FL:286;GA:253;WA:156;CO:149;CA:127;HI:122,high
549300BOLK89ZL7BNX85,,,,unmatched,2586,1549,1549,UT:1549,medium
54930016ZSB1QWXLRJ13,,,,unmatched,2033,1546,1140,UT:1140;AR:241;ID:117;TX:8;MO:8;AZ:7;AL:7;OR:4;FL:4;CA:3,medium
549300HS714PZ0BMPN11,,,,unmatched,1809,1104,1104,UT:1104,medium
549300DEVPMBR765WH45,,,,unmatched,1614,1001,994,UT:994;NV:3;MO:1;CO:1;WY:1;AZ:1,medium
5493000KQ2PZ8G6VNI80,,,,unmatched,1655,978,978,UT:978,medium
549300KJ8PAJ7E52HG32,,,,unmatched,20196,12504,934,FL:1839;SD:1570;AZ:1203;TX:1036;UT:934;CO:484;GA:407;MN:377;NE:357;CA:304,high
254900FFZUXK3B729T97,,,,unmatched,1041,839,775,UT:775;ID:14;AZ:13;CA:8;MO:4;CO:3;VA:3;TX:3;FL:2;SC:2,medium
549300W1HU6IVVIEJ389,,,,unmatched,1461,967,712,UT:712;TX:43;CA:26;OR:24;ID:17;VA:16;AZ:15;WA:15;FL:12;NM:12,medium
549300NNL9H573MWO110,,,,unmatched,945,734,696,UT:696;ID:22;NV:6;CA:3;SD:2;CO:2;TX:1;WY:1;OK:1,medium
54930043BMDE130FJ617,,,,unmatched,18818,12170,642,TX:1706;CA:1208;PA:892;NC:669;CO:657;UT:642;FL:632;GA:602;WA:580;AZ:578,high
549300IQGEUYRQBJC007,,,,unmatched,812,603,595,UT:595;AZ:5;NV:3,medium
5493008I5A5R6730MQ84,,,,unmatched,687,598,575,UT:575;ID:11;CO:4;CA:3;AZ:3;TX:1;NM:1,medium
5493008N1D96CHCTQC27,,,,unmatched,7508,3636,507,TX:2268;CO:857;UT:507;FL:2;MT:1;NM:1,high
