lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,hi_originations,states_with_originations,priority_match,hawaii_originations
XJCRTTYJVBMA22IXL619,,,,unmatched,3678,1973,1972,HI:1972;TX:1,medium,1972
WWJYKHS2UNKSDW8XLB53,,,,unmatched,2742,1588,1586,HI:1586;OR:2,medium,1586
549300BES7HNVKCDIM50,,,,unmatched,2482,1416,1416,HI:1416,medium,1416
5493005VBGFDRV6FSU19,,,,unmatched,1419,847,847,HI:847,medium,847
549300Z6QWABFYI73E79,,,,unmatched,1829,777,777,HI:777,medium,777
5493005R24FV5DFFXW42,,,,unmatched,1519,720,720,HI:720,medium,720
254900E6AIE4Z8YQM970,,,,unmatched,11513,6978,244,CA:1470;FL:1222;TX:651;NY:357;NJ:278;AZ:267;GA:252;HI:244;SC:197;NC:181,high,244
549300TT6197INLGZW29,,,,unmatched,401,255,217,HI:217;NV:38,low,217
98450087981AP406JG03,,,,unmatched,3264,2642,134,CA:1294;WA:138;HI:134;FL:97;UT:96;TX:94;NY:70;GA:70;CO:64;TN:57,high,134
5493004NKDOFN55L5X23,,,,unmatched,126,125,125,HI:125,low,125
549300VQUTI5IU7GXT57,,,,unmatched,9801,5896,122,UT:1700;TX:1288;AZ:548;NV:328;FL:286;GA:253;WA:156;CO:149;CA:127;HI:122,high,122
549300DSPT6YGS1ZLR56,,,,unmatched,181,119,119,HI:119,low,119
549300RYTR2RVL4SFJ90,,,,unmatched,3013,1893,95,TX:242;FL:241;NC:142;NJ:131;GA:121;MO:113;HI:95;PA:72;CA:65;OH:62,high,95
2549006P8VW9SIT9YP64,,,,unmatched,127,95,95,HI:95,low,95
254900H7HJWLRJUBQ485,,,,unmatched,71,70,70,HI:70,low,70
549300F570XAWYN8Z237,,,,unmatched,1277,884,56,NY:494;CA:111;NJ:71;HI:56;WA:18;GA:16;PA:14;CT:14;TX:13;OH:12,high,56
549300CK7U1WMTIG6687,,,,unmatched,1453,975,48,CA:466;FL:92;NV:84;AZ:59;HI:48;OR:38;CO:36;TX:29;UT:27;WA:22,high,48
254900E5RO9KE6OFNQ81,,,,unmatched,83,48,48,HI:48,low,48
254900IEGKUDRDS23V26,,,,unmatched,3353,2352,44,CA:1161;NV:182;TX:181;FL:126;GA:80;VA:70;MD:62;WA:60;AZ:52;HI:44,high,44
549300LF0MZUT1N6QL28,,,,unmatched,53,42,35,HI:35;NV:6;WA:1,low,35
01KWVG908KE7RKPTNP46,,,,unmatched,1619,1059,22,WA:777;OR:132;CA:103;HI:22;AZ:11;ID:10;CO:2;NV:1;UT:1,medium,22
549300A68YW07V5R5G22,,,,unmatched,1972,957,20,CA:536;FL:125;TX:47;AZ:38;GA:26;WA:25;HI:20;NV:20;UT:17;CO:15,high,20
2549007IU6SKFLLNKZ07,,,,unmatched,504,402,20,CA:303;HI:20;AZ:18;TN:14;TX:12;FL:10;NV:7;WA:5;KS:2;ID:2,medium,20
549300JD50LHLWMWPN92,,,,unmatched,55,18,18,HI:18,low,18
549300KP95LHU8OP0H40,,,,unmatched,778,743,14,CA:621;AZ:44;FL:36;HI:14;TX:13;NV:8;WA:3;CO:3;OK:1,high,14
254900JH11ROOV921P96,,,,unmatched,2266,1600,10,CA:1259;NV:144;AZ:58;TX:42;WA:24;FL:16;HI:10;PA:9;IN:7;OR:7,high,10
54930002O9LLXKR6TF11,,,,unmatched,1768,1032,9,CA:774;NV:90;AZ:22;TX:21;GA:20;WA:14;TN:12;HI:9;CO:8;FL:7,high,9
5493003B20KZ3DEZGB43,,,,unmatched,999,653,8,NY:297;CA:239;IL:49;NJ:34;NV:18;HI:8;LA:2;FL:2;AZ:1;NC:1,high,8
254900JZN2V0PWFMW808,,,,unmatched,1632,851,7,CA:615;FL:56;NC:52;TX:46;AZ:25;NV:10;TN:8;HI:7;OR:6;IL:6,high,7
549300TF1E42EUFBSL45,,,,unmatched,1585,963,6,CA:724;WA:196;OR:30;HI:6;NV:2;ID:2;TX:2;MT:1,high,6
549300ZOBXG0DT4I6U54,,,,unmatched,472,301,6,NJ:176;NY:45;FL:33;PA:16;CT:12;HI:6;TX:4;MD:2;VA:2;GA:1,medium,6
