year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,NH,5493000JBDASEOSXCI67,,364,263,33017:177; 33003:33; 33015:23; 33001:13; 33011:11,263,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300FK3AFCFVAPH234,,300,248,33011:99; 33015:87; 33009:21; 33003:10; 33017:9,234,3,11,0,0,94.35,1.21,4.44,national
2025,NH,549300JI0UWY4QIWDV89,,317,248,33011:80; 33015:48; 33013:48; 33017:22; 33001:13,200,29,17,2,0,80.65,11.69,6.85,national
2025,NH,254900UL88QFG0E40516,,477,229,33015:61; 33011:55; 33013:33; 33017:21; 33005:13,229,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300E2UX99HKDBR481,,585,226,33011:76; 33015:50; 33013:33; 33017:17; 33001:17,139,71,16,0,0,61.5,31.42,7.08,national
2025,NH,549300F8C5JA44WNMI75,,286,221,33011:124; 33015:33; 33013:20; 33005:17; 33019:6,182,27,12,0,0,82.35,12.22,5.43,national
2025,NH,549300YV7HFY5MTM2Z65,,355,206,33013:97; 33011:50; 33015:24; 33001:13; 33003:11,206,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300J6N77Q8OHYNF23,,264,193,33017:92; 33015:32; 33003:22; 33005:14; 33001:11,159,18,15,1,0,82.38,9.33,7.77,national
2025,NH,5493002GI63WHHUTUD85,,212,188,33011:72; 33013:41; 33015:40; 33017:16; 33001:5,164,13,11,0,0,87.23,6.91,5.85,national
2025,NH,7H6GLXDRUGQFU57RNE97,,311,184,33015:61; 33011:51; 33013:15; 33003:12; 33017:11,180,1,3,0,0,97.83,0.54,1.63,national
2025,NH,549300PIL8LFAQ04XC20,,641,181,33015:60; 33011:49; 33013:21; 33017:18; 33001:8,181,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300YIQ7S7Z8PIHE53,,594,170,33015:44; 33011:37; 33013:23; 33017:15; 33001:12,129,38,3,0,0,75.88,22.35,1.76,national
2025,NH,549300I3PFIO81O8JD40,,198,165,33009:83; 33003:32; 33007:32; 33001:7; 33011:3,158,4,3,0,0,95.76,2.42,1.82,national
2025,NH,549300KGE82WIZC87Y08,,192,154,33011:89; 33015:45; 33017:5; 33001:4; 33009:3,154,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300RFLICNI75BG067,,233,153,33015:47; 33017:37; 33011:33; 33013:16; 33003:6,126,20,7,0,0,82.35,13.07,4.58,national
2025,NH,549300NOCASXPA34X033,,414,141,33011:38; 33015:25; 33013:23; 33017:19; 33005:12,65,54,22,0,0,46.1,38.3,15.6,national
2025,NH,549300F6OBLSYWXXKH16,,231,140,33015:55; 33011:42; 33017:18; 33013:15; 33005:6,140,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300L4PTYXDMX1GS50,,187,140,33015:116; 33011:11; 33003:4; 33017:2; 33009:2,140,0,0,0,0,100.0,0.0,0.0,national
2025,NH,213800QUAI2VH5YM6310,,174,133,33011:45; 33015:41; 33013:22; 33017:9; 33003:6,97,27,9,0,0,72.93,20.3,6.77,national
2025,NH,549300121SF0K2LN2804,,172,132,33011:44; 33015:25; 33017:22; 33009:11; 33007:7,91,22,19,0,0,68.94,16.67,14.39,national
2025,NH,549300OPCWU6E72WUT29,,225,131,33011:40; 33015:38; 33013:10; 33001:10; 33005:9,74,48,9,0,0,56.49,36.64,6.87,national
2025,NH,6BYL5QZYBDK8S7L73M02,,202,115,33011:45; 33015:27; 33003:11; 33013:10; 33017:6,112,1,2,0,0,97.39,0.87,1.74,national
2025,NH,549300XWUSRVVOHPRY47,,174,114,33001:43; 33013:16; 33011:16; 33003:10; 33009:10,80,25,9,0,0,70.18,21.93,7.89,national
2025,NH,549300H8H31LPYGJEW50,,142,105,33015:46; 33011:32; 33001:5; 33009:5; 33003:5,97,8,0,0,0,92.38,7.62,0.0,national
2025,NH,254900MSO8KVQ05D2J27,,151,103,33011:54; 33015:23; 33005:8; 33013:5; 33003:5,103,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300GRGZDEH4ZGQS06,,149,101,33013:24; 33015:19; 33017:16; 33011:12; 33001:11,76,18,7,0,0,75.25,17.82,6.93,national
2025,NH,54930001NSTOD85LT125,,136,95,33011:32; 33015:17; 33001:14; 33013:13; 33009:8,77,10,8,0,0,81.05,10.53,8.42,national
2025,NH,549300DK2AEMKCO4JZ92,,112,94,33015:45; 33017:18; 33011:13; 33013:7; 33003:6,94,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300GE8KIGZVQV1223,,112,93,33011:42; 33015:30; 33003:7; 33009:4; 33013:3,73,19,1,0,0,78.49,20.43,1.08,national
2025,NH,54930054ET8KM4O1D485,,333,92,33011:35; 33015:23; 33013:8; 33009:7; 33017:7,87,2,3,0,0,94.57,2.17,3.26,national
2025,NH,5493003V0VOGJ2CI8520,,132,89,33015:56; 33017:27; 33001:3; 33003:2; 33011:1,89,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300MUCZWG8XJCW607,,161,89,33011:63; 33015:16; 33013:5; 33009:2; 33003:1,89,0,0,0,0,100.0,0.0,0.0,national
2025,NH,5493001GCBD5XGNIC815,,459,86,33011:36; 33013:13; 33005:8; 33001:7; 33003:7,86,0,0,0,0,100.0,0.0,0.0,national
2025,NH,TKT6FH38184ZYBTPKS77,,147,86,33011:35; 33015:24; 33001:11; 33003:4; 33009:4,86,0,0,0,0,100.0,0.0,0.0,national
2025,NH,KB1H1DSPRFMYMCUFXT09,,146,84,33015:23; 33011:20; 33017:12; 33013:9; 33001:6,79,3,2,0,0,94.05,3.57,2.38,national
2025,NH,549300TB3TMP4RV5T078,,93,79,33011:32; 33015:21; 33003:6; 33013:5; 33009:4,62,13,4,0,0,78.48,16.46,5.06,national
2025,NH,254900BLW96EF9AADU93,,110,77,33011:51; 33013:12; 33015:9; 33007:1; 33019:1,77,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300R9S3MVDV4MGF56,,184,76,33011:24; 33015:16; 33013:9; 33017:7; 33001:6,42,24,10,0,0,55.26,31.58,13.16,national
2025,NH,5493009BOQDC6PCFR785,,111,74,33011:31; 33013:15; 33015:10; 33005:10; 33003:2,74,0,0,0,0,100.0,0.0,0.0,national
2025,NH,254900TTZ395IC926125,,89,73,33011:33; 33015:21; 33013:5; 33005:4; 33009:4,63,10,0,0,0,86.3,13.7,0.0,national
2025,NH,5493003B2LEGQHDWRN55,,118,72,33011:30; 33015:22; 33003:5; 33009:4; 33017:3,72,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300GCEUZLVML1J263,,85,71,33015:24; 33017:12; 33011:9; 33009:6; 33001:6,59,4,8,0,0,83.1,5.63,11.27,national
2025,NH,5493001WHVQBGRSWEU75,,104,69,33011:25; 33015:21; 33013:7; 33001:5; 33009:3,61,4,4,0,0,88.41,5.8,5.8,national
2025,NH,549300XY701IELCE5Q08,,245,68,33011:23; 33013:12; 33015:11; 33017:6; 33009:6,61,7,0,0,0,89.71,10.29,0.0,national
2025,NH,5493008CPTDVOS570626,,113,67,33015:27; 33011:27; 33013:7; 33001:2; 33005:1,67,0,0,0,0,100.0,0.0,0.0,national
2025,NH,AD6GFRVSDT01YPT1CS68,,123,67,33011:21; 33015:21; 33009:6; 33003:6; 33013:4,66,0,1,0,0,98.51,0.0,1.49,national
2025,NH,C5654JQHZUHN0772B561,,137,65,33011:12; 33015:10; 33017:9; 33009:8; 33003:6,30,0,35,0,0,46.15,0.0,53.85,national
2025,NH,549300JXG84BHZE66C26,,79,63,33015:40; 33017:10; 33009:3; 33001:2; 33011:2,63,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300KUBRH1GICTLI84,,141,61,33013:23; 33011:15; 33015:12; 33001:6; 33003:2,61,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300LROQOOQU77WS20,,117,60,33011:22; 33015:16; 33013:8; 33017:5; 33005:4,55,3,2,0,0,91.67,5.0,3.33,national
2025,NH,549300F0QYLUOR9SYB86,,59,56,33005:42; 33019:11; 33009:3,56,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300O2WI1UYPLRU579,,98,55,33015:38; 33011:9; 33013:3; 33003:2; 33001:2,55,0,0,0,0,100.0,0.0,0.0,national
