lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,nh_originations,states_with_originations,priority_match
5493009BOQDC6PCFR785,,,,unmatched,4244,2740,74,NY:1922;PA:480;CT:113;MA:85;NH:74;VT:57;ME:7;FL:2,high
5493003B2LEGQHDWRN55,,,,unmatched,1477,885,72,MA:652;NH:72;VA:35;CT:17;RI:14;ME:12;MD:10;NJ:9;CA:9;FL:8,high
549300GCEUZLVML1J263,,,,unmatched,2393,1885,71,MA:908;PA:474;MD:101;NC:74;NH:71;GA:66;FL:48;RI:42;TX:26;ME:23,high
549300JXG84BHZE66C26,,,,unmatched,223,174,63,MA:103;NH:63;ME:7;VT:1,medium
549300KUBRH1GICTLI84,,,,unmatched,141,61,61,NH:61,low
549300F0QYLUOR9SYB86,,,,unmatched,390,369,56,VT:310;NH:56;MA:3,low
549300O2WI1UYPLRU579,,,,unmatched,124,71,55,NH:55;MA:16,low
5493001QVY14BXG42N39,,,,unmatched,695,477,51,MA:423;NH:51;ME:3,medium
549300MYAXFDGEI4NZ65,,,,unmatched,236,175,49,MA:118;NH:49;RI:4;CT:2;SC:1;FL:1,medium
254900J6JRSKHU1Y0F98,,,,unmatched,70,54,49,NH:49;MA:4;SC:1,low
54930061YDWSR567KC82,,,,unmatched,148,112,47,MA:64;NH:47;ME:1,medium
549300TLGCPJTEG3WN76,,,,unmatched,3686,2737,43,VT:2632;NH:43;MI:43;MA:19,medium
549300IAYBMO4VREUX25,,,,unmatched,73,47,42,NH:42;ME:5,low
549300XYJEJCSZHWWM52,,,,unmatched,465,280,41,MA:235;NH:41;ME:4,medium
549300N38Q5YKSSV1106,,,,unmatched,2035,1618,40,MA:1399;CT:99;RI:55;NH:40;ME:10;FL:10;VT:5,high
549300DQMFK1KT7KEB48,,,,unmatched,734,631,38,VT:458;ME:68;MA:59;NH:38;CT:8,medium
5493006NTCY0P06JR884,,,,unmatched,1543,979,37,MA:930;NH:37;ME:9;RI:3,high
549300KO4HWF5JO6UV73,,,,unmatched,148,116,37,VT:79;NH:37,low
549300QHFDNFAMLATM94,,,,unmatched,84,48,35,NH:35;ME:13,low
5493008ZK5SW6NTWB533,,,,unmatched,217,162,33,MA:125;NH:33;ME:4,medium
254900F213LCBO4VGA06,,,,unmatched,226,174,32,MA:139;NH:32;FL:2;ME:1,medium
549300T92XVMWQW75772,,,,unmatched,90,69,32,MA:36;NH:32;ME:1,low
549300HI3FIGFR7SU483,,,,unmatched,62,40,32,NH:32;ME:8,low
549300LLQD0X2OTG0Y27,,,,unmatched,1196,581,31,RI:205;MA:77;NH:31;DE:20;LA:17;OH:16;NC:16;TX:15;SC:15;FL:14,medium
549300BUIG4G67S5O712,,,,unmatched,821,466,31,RI:346;CT:50;ME:32;NH:31;MA:7,low
5493008PQSMR41Y70C36,,,,unmatched,502,319,28,MA:104;FL:66;MO:38;NH:28;CT:13;VT:12;CO:11;PA:9;RI:8;AZ:6,medium
984500D61DCEC4E2B661,,,,unmatched,945,686,26,FL:297;NM:239;CO:34;NH:26;ME:15;NC:13;GA:13;MA:12;TX:10;MO:6,medium
5493000EO85W8IS2FR22,,,,unmatched,4672,3078,24,CA:2989;NV:32;NH:24;AZ:19;MA:5;VA:4;MD:3;ME:1;TX:1,high
549300FHGNOLF14HHS09,,,,unmatched,1320,1060,23,MA:1037;NH:23,high
549300S32ZDD67D2FB46,,,,unmatched,964,640,22,ME:618;NH:22,medium
549300OITV2T766YLP15,,,,unmatched,126,87,21,RI:49;NH:21;MA:8;ME:5;CT:4,low
549300L0OVX5O63S8C68,,,,unmatched,1050,678,19,MA:464;CT:110;RI:85;NH:19,medium
549300EE39SNC5DXTC46,,,,unmatched,276,216,18,MA:194;NH:18;ME:1;FL:1;MT:1;VT:1,medium
549300SYR11CYON0JE74,,,,unmatched,1455,1119,17,MA:597;RI:429;CT:51;NH:17;FL:13;SC:4;VA:2;NJ:2;NC:2;MD:1,high
5493008XQDQ2YZPQKX53,,,,unmatched,630,494,17,RI:284;CT:127;MA:63;NH:17;FL:3,medium
549300GBPH5PK1AIGV76,,,,unmatched,20,19,17,NH:17;ME:1;RI:1,low
549300S5NLOTO329NX77,,,,unmatched,648,571,16,NY:409;NJ:56;VT:28;MA:22;CT:19;NH:16;ME:12;PA:5;RI:3;FL:1,medium
549300GTJL0LGX444G33,,,,unmatched,262,228,16,MA:199;NH:16;FL:6;ME:4;RI:2;CT:1,medium
549300P1347BFCBHJV60,,,,unmatched,318,209,16,MA:138;NH:16;CA:13;TX:5;GA:4;OR:4;FL:3;NJ:3;WI:2;ME:2,medium
549300LR1ZETOWYE9Z89,,,,unmatched,1309,829,14,MA:530;CT:109;NY:84;RI:49;VT:24;NH:14;FL:9;ME:5;NJ:4;SC:1,high
549300E0KRXI8PZWAO17,,,,unmatched,767,312,14,MA:227;RI:69;NH:14;ME:1;CT:1,medium
5493005HTCBH4TWCVM82,,,,unmatched,801,523,14,CT:332;MA:152;NH:14;ME:12;RI:6;FL:5;MD:1;VT:1,medium
5493005RDTT7HVODH436,,,,unmatched,7187,4913,13,NY:3851;PA:591;VT:402;MA:54;NH:13;FL:1;NJ:1,high
254900AD895KKZTSFT42,,,,unmatched,831,618,12,GA:406;SC:63;NC:58;FL:26;IN:25;NH:12;IL:9;TN:6;ME:4;VA:4,high
5493008Q2ZM3OTLTQH25,,,,unmatched,736,445,12,MA:425;NH:12;RI:8,medium
549300E4I5AJ7XJ4DL31,,,,unmatched,208,164,12,MA:152;NH:12,medium
WV0OVGBTLUP1XIUJE722,,,,unmatched,5566,3106,11,CT:1541;MA:616;NY:564;NJ:215;RI:105;PA:21;FL:14;NH:11;ME:9;CA:3,high
549300TR6MWKSIOP3B72,,,,unmatched,1280,797,11,MA:528;RI:127;NY:73;CT:40;VT:14;NH:11;FL:2;NJ:1;GA:1,high
254900PRB9DTJAHMMZ45,,,,unmatched,171,134,11,MA:113;NH:11;CT:4;ME:3;NC:1;FL:1;RI:1,medium
254900ZT04J7Z9KHMJ73,,,,unmatched,71,49,11,MA:38;NH:11,low
549300YIBRM1ZYA6GT07,,,,unmatched,3216,2076,9,RI:1833;MA:150;CT:57;FL:18;NH:9;ME:3;SC:2;NY:1;NC:1;NJ:1,medium
549300UXQYBOU2E10G39,,,,unmatched,59,56,9,MA:46;NH:9;ME:1,low
