lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,south_carolina_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_fl_tx_ga_ca_nc_curated_lei+curated_lei_public_nmls,9760,31530,9760,high,reuse_fl_tx_ga_ca_nc_curated_lei map for SC activity (9760 SC originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_fl_tx_ga_ca_nc_curated_lei+curated_lei_public_nmls,6429,49897,6429,high,reuse_fl_tx_ga_ca_nc_curated_lei map for SC activity (6429 SC originations); slug=united-wholesale-mortgage.
5493001SXWZ4OFP8Z903,"CrossCountry Mortgage, LLC",3029,crosscountry-mortgage-west-valley,CrossCountry Mortgage (West Valley),high,reuse_fl_tx_ga_ca_nc_curated_lei+curated_lei+directory_name,4153,11582,4153,high,reuse_fl_tx_ga_ca_nc_curated_lei map for SC activity (4153 SC originations); slug=crosscountry-mortgage-west-valley.
L9VVX1KT5TFTKS0MLF66,First-Citizens Bank & Trust Company,503941,first-citizens-bank,First-Citizens Bank & Trust Company,high,sc_curated+sc_curated_gleif+public_nmls,3577,0,3577,high,sc_curated map for SC activity (3577 SC originations); slug=first-citizens-bank.
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,reuse_fl_tx_ga_ca_nc_curated_lei+curated_lei_public_nmls,2978,4122,2978,high,reuse_fl_tx_ga_ca_nc_curated_lei map for SC activity (2978 SC originations); slug=cardinal-financial.
8I3UVGYULPJQIP7FQV10,"SouthState Bank, National Association",405461,southstate-bank,"SouthState Bank, National Association",high,reuse_fl_tx_ga_ca_nc_curated_lei+curated_lei_public_nmls,2816,2616,2816,high,reuse_fl_tx_ga_ca_nc_curated_lei map for SC activity (2816 SC originations); slug=southstate-bank.
549300H3IZO24NSOO931,"loanDepot.com, LLC",174457,loandepot,"loanDepot.com, LLC",high,reuse_fl_tx_ga_ca_nc_curated_lei+curated_lei_public_nmls,2694,10692,2694,high,reuse_fl_tx_ga_ca_nc_curated_lei map for SC activity (2694 SC originations); slug=loandepot.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_fl_tx_ga_ca_nc_curated_lei+curated_lei_public_nmls,2670,7460,2670,high,reuse_fl_tx_ga_ca_nc_curated_lei map for SC activity (2670 SC originations); slug=pennymac.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_fl_tx_ga_ca_nc_curated_lei+curated_lei_public_nmls,2670,2790,2670,high,reuse_fl_tx_ga_ca_nc_curated_lei map for SC activity (2670 SC originations); slug=ally-bank.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_fl_tx_ga_ca_nc_curated_lei+curated_lei+directory_name,2487,8416,2487,high,reuse_fl_tx_ga_ca_nc_curated_lei map for SC activity (2487 SC originations); slug=navy-federal-jacksonville.
