lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,vi_originations,states_with_originations,priority_match
549300XED7IBK9VVQH70,,,,unmatched,3799,2898,84,DE:1176;TX:273;KY:273;PA:136;NY:114;CO:105;IN:99;VI:84;MD:83;CA:75,high
549300QV3GEYMP1WSO93,,,,unmatched,98,63,14,OH:24;TX:20;VI:14;KY:1;WV:1;SC:1;MI:1;CA:1,low
549300GKFNPRWNS0GF29,,,,unmatched,102677,70098,0,TX:10655;WA:5796;CA:4698;FL:4388;TN:3925;PA:2626;NH:2466;MA:2329;VA:2325;NJ:2257,high
2549005SIVTHG14U2905,,,,unmatched,24436,14692,0,FL:5245;CA:1446;TX:1050;NY:948;IL:550;GA:471;AZ:471;NJ:453;PA:339;SC:296,high
549300SK2GVCQXPD4S58,,,,unmatched,16278,8918,0,CA:1697;TX:1058;FL:658;AZ:538;GA:358;IL:304;PR:289;OH:247;NC:246;VA:245,high
