company_nmls_id,legal_name,source_families,source_record_keys
1162386,"BLUE HOME LOANS, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR7488|FL|NMLS|MBR|MBR7488
1162430,LENDLINK FINANCIAL INC.,monthly_mbr|monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1640|FL|MONTHLY|MBR|MBR2730|FL|NMLS|MLD|MLD1640
1162486,"MVHOSKINSON, INC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1528|FL|NMLS|MBR|MBR1528
1163035,E 3 MORTGAGE CORP,monthly_mbr,FL|MONTHLY|MBR|MBR1637
1163084,WALEK TURNER & ASSOCIATES LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1522|FL|NMLS|MBR|MBR1522
116356,"DYCK-O'NEAL, INC.",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD531|FL|NMLS|MLS|MLD531
1163705,"MONEY TREE, LLC",monthly_mbr,FL|MONTHLY|MBR|MBR1536
1164045,"AMERICAN MORTGAGE PROCESSING SERVICES, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR2483|FL|NMLS|MBR|MBR2483
1165716,CALCULATED RISK ANALYTICS LLC,monthly_mld,FL|MONTHLY|MLD|MLD1579
1165726,FIRST CAPITAL TRUST DEEDS,monthly_mbr,FL|MONTHLY|MBR|MBR4554
1165808,"HOMEMAC, LLC",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1373|FL|MONTHLY|MLD|MLD2115|FL|NMLS|MLD|MLD1373|FL|NMLS|MLS|MLD2115
116594,"ADVANTAGE MORTGAGE GROUP, LTD",monthly_mbr,FL|MONTHLY|MBR|MBR1159|FL|MONTHLY|MBR|MBR1591
1166727,INLET MORTGAGE CORP.,monthly_mbr,FL|MONTHLY|MBR|MBR1535
1167245,INTERNATIONAL LENDERS INC.,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1534|FL|NMLS|MBR|MBR1534
116796,MID-ATLANTIC FUNDING INC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR5418|FL|NMLS|MBR|MBR5418
