year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,VT,549300OPCWU6E72WUT29,,111,62,50007:10; 50023:8; 50011:8; 50005:7; 50017:6,28,30,4,0,0,45.16,48.39,6.45,national
2025,VT,254900F9ZTVTX763V835,,86,61,50025:40; 50003:15; 50027:4; 50001:1; 50021:1,57,2,2,0,0,93.44,3.28,3.28,national
2025,VT,549300YIQ7S7Z8PIHE53,,242,61,50027:11; 50021:9; 50007:8; 50011:6; 50003:5,48,12,1,0,0,78.69,19.67,1.64,national
2025,VT,549300DD4R4SYK5RAQ92,,97,58,50011:21; 50007:16; 50023:3; 50021:3; 50015:3,47,1,7,3,0,81.03,1.72,12.07,national
2025,VT,549300NIQBROW7MLXI19,,58,58,50007:26; 50023:10; 50001:6; 50011:5; 50015:3,58,0,0,0,0,100.0,0.0,0.0,national
2025,VT,5493009BOQDC6PCFR785,,92,57,50007:35; 50021:6; 50025:4; 50001:3; 50023:2,57,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300VZVN841I2ILS84,,102,52,50025:11; 50027:11; 50015:5; 50007:5; 50021:4,47,2,3,0,0,90.38,3.85,5.77,national
2025,VT,6BYL5QZYBDK8S7L73M02,,145,52,50023:8; 50025:8; 50003:8; 50007:7; 50021:6,52,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300U3721PJGQZYY68,,97,50,50027:16; 50025:14; 50007:5; 50003:3; 50019:3,48,2,0,0,0,96.0,4.0,0.0,national
2025,VT,549300GS0W0TEUQS8571,,57,48,50007:13; 50025:10; 50015:6; 50023:5; 50027:5,48,0,0,0,0,100.0,0.0,0.0,national
2025,VT,254900UL88QFG0E40516,,166,46,50011:6; 50007:6; 50027:6; 50021:6; 50003:5,46,0,0,0,0,100.0,0.0,0.0,national
2025,VT,HUX2X73FUCYHUVH1BK78,,94,46,50007:18; 50011:6; 50021:4; 50001:4; 50025:4,46,0,0,0,0,100.0,0.0,0.0,national
2025,VT,C5654JQHZUHN0772B561,,83,41,50023:8; 50019:5; 50005:5; 50011:4; 50015:4,19,0,22,0,0,46.34,0.0,53.66,national
2025,VT,5493001GDRY0EL7VG372,,45,39,50007:17; 50011:15; 50023:3; 50009:1; 50019:1,14,1,23,1,0,35.9,2.56,58.97,national
2025,VT,254900P7WLDQD9IUL038,,70,36,50027:20; 50017:7; 50025:3; 50009:2; 50005:2,35,0,1,0,0,97.22,0.0,2.78,national
2025,VT,549300CHBB3GN7JFXU86,,39,33,50023:28; 50017:1; 50001:1; 50015:1; 50007:1,32,0,1,0,0,96.97,0.0,3.03,national
2025,VT,549300XQVJ1XBNFA5536,,124,32,50021:14; 50001:6; 50027:4; 50011:3; 50007:2,32,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300S5NLOTO329NX77,,33,28,50011:4; 50017:4; 50001:4; 50027:3; 50025:3,28,0,0,0,0,100.0,0.0,0.0,national
2025,VT,E57ODZWZ7FF32TWEFA76,,44,28,50027:8; 50015:5; 50025:4; 50003:4; 50023:3,28,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300KJ8PAJ7E52HG32,,34,27,50007:14; 50025:9; 50001:1; 50015:1; 50023:1,26,0,1,0,0,96.3,0.0,3.7,national
2025,VT,KB1H1DSPRFMYMCUFXT09,,54,27,50027:8; 50025:5; 50003:4; 50007:3; 50015:2,27,0,0,0,0,100.0,0.0,0.0,national
2025,VT,54930054ET8KM4O1D485,,94,26,50007:9; 50027:5; 50015:3; 50005:2; 50003:2,23,0,3,0,0,88.46,0.0,11.54,national
2025,VT,549300XLRD9QLLJRCB89,,38,25,50003:21; 50025:4,25,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300LR1ZETOWYE9Z89,,40,24,50003:12; 50027:5; 50021:3; 50015:2; 50025:1,24,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300NOCASXPA34X033,,75,24,50011:6; 50023:5; 50015:2; 50021:2; 50013:2,5,11,8,0,0,20.83,45.83,33.33,national
2025,VT,549300PIL8LFAQ04XC20,,118,24,50007:6; 50027:4; 50025:3; 50023:2; 50021:2,24,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300R9S3MVDV4MGF56,,62,24,50003:4; 50007:4; 50011:3; 50001:2; 50027:2,12,7,5,0,0,50.0,29.17,20.83,national
2025,VT,5493001WHVQBGRSWEU75,,32,23,50007:7; 50011:6; 50025:2; 50019:2; 50005:2,13,7,3,0,0,56.52,30.43,13.04,national
2025,VT,AD6GFRVSDT01YPT1CS68,,44,23,50007:4; 50021:3; 50011:3; 50027:3; 50017:2,21,2,0,0,0,91.3,8.7,0.0,national
2025,VT,2549004FXPNKCLIN8250,,23,19,50007:11; 50011:3; 50013:2; 50021:2; 50001:1,17,1,1,0,0,89.47,5.26,5.26,national
2025,VT,549300FK3AFCFVAPH234,,25,19,50027:6; 50015:3; 50023:3; 50025:3; 50005:2,18,1,0,0,0,94.74,5.26,0.0,national
2025,VT,549300T3F9S1MKFKHC53,,25,18,50025:11; 50003:4; 50027:2; 50021:1,15,0,3,0,0,83.33,0.0,16.67,national
2025,VT,549300VMVKSQE1B7DD43,,27,18,50005:5; 50015:5; 50009:3; 50019:2; 50007:1,17,1,0,0,0,94.44,5.56,0.0,national
2025,VT,549300AENO88GEUWCZ39,,22,16,50005:5; 50007:4; 50019:3; 50015:1; 50017:1,11,3,2,0,0,68.75,18.75,12.5,national
2025,VT,549300LROQOOQU77WS20,,39,15,50007:4; 50021:3; 50027:1; 50005:1; 50023:1,15,0,0,0,0,100.0,0.0,0.0,national
2025,VT,PINLJ7T7GLTF48NFP863,,20,15,50007:9; 50023:2; 50015:2; 50027:1; 50013:1,15,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300T5QSL6MC8M4D04,,22,14,50007:4; 50011:3; 50001:1; 50003:1; 50021:1,6,5,3,0,0,42.86,35.71,21.43,national
2025,VT,549300TR6MWKSIOP3B72,,24,14,50003:8; 50021:4; 50027:1; 50025:1,14,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300GWD9H4FQ2VR805,,17,13,50007:4; 50015:3; 50025:2; 50011:1; 50027:1,13,0,0,0,0,100.0,0.0,0.0,national
2025,VT,54930070JV4STJJ0XS74,,26,12,50027:8; 50009:2; 50017:1; 50005:1,12,0,0,0,0,100.0,0.0,0.0,national
2025,VT,5493008PQSMR41Y70C36,,20,12,50007:10; 50023:1; 50011:1,11,1,0,0,0,91.67,8.33,0.0,national
2025,VT,213800XR2TCBQJSF1X93,,23,11,50007:3; 50003:2; 50025:2; 50023:1; 50001:1,10,0,1,0,0,90.91,0.0,9.09,national
2025,VT,54930052M48FOD3CWA54,,16,11,50027:7; 50009:1; 50001:1; 50019:1; 50021:1,8,3,0,0,0,72.73,27.27,0.0,national
2025,VT,5493007L4GYNO2PUBS09,,18,11,50027:7; 50017:2; 50025:1; 50023:1,0,11,0,0,0,0.0,100.0,0.0,national
2025,VT,549300DAUXQ2DCY4H838,,14,10,50025:4; 50027:3; 50007:1; 50003:1; 50023:1,10,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300F8C5JA44WNMI75,,16,10,50027:7; 50003:2; 50017:1,6,3,0,1,0,60.0,30.0,0.0,national
2025,VT,549300S5YL3OH0IVCS62,,19,10,50007:4; 50021:2; 50025:1; 50003:1; 50011:1,0,10,0,0,0,0.0,100.0,0.0,national
2025,VT,54930049L5WINET09Q97,,13,9,50019:6; 50007:2; 50005:1,4,4,1,0,0,44.44,44.44,11.11,national
