lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,vt_originations,states_with_originations,priority_match
549300AX5UMUZ61L1X54,,,,unmatched,271,193,1,PA:152;NJ:14;NY:9;NC:5;SC:5;MD:2;GA:1;VT:1;TX:1;FL:1,medium
549300YOEBGKPKU43Q28,,,,unmatched,321,214,1,MA:183;CT:23;RI:3;NY:2;LA:1;VT:1;ME:1,medium
2549006HJBA7HTOZF285,,,,unmatched,280,172,1,MA:166;CT:5;VT:1,medium
5493005HTCBH4TWCVM82,,,,unmatched,801,523,1,CT:332;MA:152;NH:14;ME:12;RI:6;FL:5;MD:1;VT:1,medium
549300LV12W1ZFWAU543,,,,unmatched,143,108,1,MA:107;VT:1,medium
549300JXG84BHZE66C26,,,,unmatched,223,174,1,MA:103;NH:63;ME:7;VT:1,medium
549300YS4CB1171BRJ08,,,,unmatched,93,64,1,NJ:46;PA:13;FL:4;VT:1,medium
5493000GDQJIBPCUBG13,,,,unmatched,111,57,1,MA:50;NH:4;ME:1;FL:1;VT:1,medium
549300EWO1QALFC6LE98,,,,unmatched,935,646,1,NH:620;ME:23;MA:2;VT:1,medium
5493008NQVB5ZOWYNU83,,,,unmatched,3347,1851,1,MI:1833;OH:13;VT:1;MN:1;IN:1;WI:1;SC:1,medium
254900EKE4KU163TA318,,,,unmatched,23,23,1,NY:10;NJ:4;SC:2;CA:2;FL:2;PA:1;VT:1;CT:1,low
562V2SM4I80MJO5HYB83,,,,unmatched,312,186,1,RI:165;MA:17;CT:2;VT:1;FL:1,low
549300Z2IS3ZCJG3OT45,,,,unmatched,11,10,1,NY:9;VT:1,low
U9WBLC3ZT2VBJSNY2Y81,,,,unmatched,133,113,1,CT:105;NY:5;FL:1;MA:1;VT:1,low
549300YV7HFY5MTM2Z65,,,,unmatched,366,214,1,NH:206;ME:5;MA:2;VT:1,low
254900W4EKVR6GZ0KS84,,,,unmatched,226,196,1,CT:193;MA:2;VT:1,low
984500D092D1E2CYDB19,,,,unmatched,50,47,1,CT:44;MA:1;SC:1;VT:1,low
5493000GQWJTTR0TEH83,,,,unmatched,611,423,1,CT:409;RI:12;VT:1;MA:1,low
549300VUC1HUFKVPE720,,,,unmatched,151,115,1,OK:112;TX:1;CO:1;VT:1,low
549300HW662MN1WU8550,,,,unmatched,576697,422119,0,CA:57281;FL:49897;TX:42285;MI:22015;AZ:19328;CO:18178;GA:17047;NC:13671;IL:11397;NY:11157,high
549300FGXN1K3HLB1R50,,,,unmatched,609400,429332,0,CA:42202;FL:31530;TX:30579;MI:22693;GA:21182;NC:18462;OH:16656;PA:16043;VA:14489;NY:13729,high
549300VZVN841I2ILS84,,,,unmatched,190472,125099,0,FL:11987;OH:11011;CA:9599;PA:8399;TX:7734;NJ:7558;IL:5600;NY:5429;AZ:4945;WA:4877,high
B4TYDEB6GKMZO031MB27,,,,unmatched,217492,88530,0,CA:17758;FL:7938;TX:6141;NJ:5136;NC:4880;NY:3897;MA:3551;GA:3440;WA:3420;IL:2889,high
RVDPPPGHCGZ40J4VQ731,,,,unmatched,193807,100816,0,CA:10749;FL:9704;TX:6849;GA:5272;PA:4488;VA:4338;NC:3751;AZ:3232;NJ:3144;OH:2964,high
7H6GLXDRUGQFU57RNE97,,,,unmatched,152415,94243,0,CA:14032;TX:9775;NY:9163;IL:8778;FL:6131;OH:4171;NJ:3325;MI:2995;AZ:2864;IN:2857,high
549300AG64NHILB7ZP05,,,,unmatched,155159,91730,0,CA:9983;TX:8535;FL:7460;NJ:4334;IL:4241;GA:4168;AZ:4138;NC:3969;OH:3505;SC:2670,high
DRMSV1Q0EKMEXLAU1P80,,,,unmatched,119620,68902,0,NY:11000;PA:10441;MA:10235;NJ:7208;OH:4732;RI:3762;MI:3697;NH:3194;CT:3030;FL:2297,high
5493003GQDUH26DNNH17,,,,unmatched,179597,80547,0,VA:9684;FL:8416;CA:6361;NC:5249;MD:5163;GA:5118;TX:4267;SC:2487;WA:2289;PA:2141,high
549300GKFNPRWNS0GF29,,,,unmatched,102677,70098,0,TX:10655;WA:5796;CA:4698;FL:4388;TN:3925;PA:2626;NH:2466;MA:2329;VA:2325;NJ:2257,high
549300DD5QQUHO6PCH70,,,,unmatched,178189,82764,0,TX:6918;FL:5506;NC:4769;VA:4500;GA:4139;OH:3302;TN:3178;IL:2965;MO:2901;PA:2643,high
549300U3721PJGQZYY68,,,,unmatched,129086,70579,0,IL:10217;CA:6248;NJ:4826;MA:4507;TX:3318;FL:3204;PA:3119;OH:2795;NC:2491;CO:2143,high
549300FNXYY540N23N64,,,,unmatched,187594,66567,0,CA:5772;FL:5643;TX:4793;NY:3123;NC:2787;WA:2702;GA:2480;OH:2258;VA:2175;PA:2124,high
549300LYRWPSYPK6S325,,,,unmatched,165453,69982,0,TX:5759;FL:5374;NC:4463;GA:3946;CA:3918;VA:3646;IN:2580;OH:2477;TN:2436;SC:2168,high
