lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ky_originations,states_with_originations,priority_match,kentucky_originations
QFROUN1UWUYU0DVIWD51,,,,unmatched,75426,39534,3150,OH:12389;MI:6106;IN:4817;IL:4111;FL:3553;KY:3150;NC:2216;TN:971;SC:863;GA:691,high,3150
6BYL5QZYBDK8S7L73M02,,,,unmatched,151786,74632,2645,CA:16135;IL:4571;MN:4538;OH:3965;MO:3622;WA:3524;WI:2785;KY:2645;OR:2465;FL:2279,high,2645
549300QR0KFPEDZPEI42,,,,unmatched,11060,7147,2250,KY:2250;AL:997;TN:703;IN:657;GA:442;MS:391;FL:289;OH:283;PA:270;WV:226,high,2250
254900MQ4O1DX3N88207,,,,unmatched,3106,2436,2051,KY:2051;TN:196;WV:123;OH:33;VA:11;FL:11;IN:7;NC:2;MD:1;SC:1,medium,2051
4LJGQ9KJ9S0CP4B1FY29,,,,unmatched,3745,2539,2044,KY:2044;IN:341;OH:114;FL:23;TN:6;MI:4;SC:2;NC:2;GA:1;IL:1,medium,2044
549300CUF3Q2PQGM9256,,,,unmatched,3342,1890,1869,KY:1869;IN:21,medium,1869
54930072OCHTUJOZQB56,,,,unmatched,7424,5784,1771,IN:1919;KY:1771;TN:641;GA:214;FL:211;CO:151;NC:94;SC:94;MS:90;IL:86,high,1771
549300V5YG1VXZAU5G02,,,,unmatched,2979,1710,1710,KY:1710,medium,1710
549300OHIEQGELZVJP60,,,,unmatched,2146,1668,1519,KY:1519;IN:135;OH:6;TN:5;GA:1;NC:1;UT:1,medium,1519
X6T32LKEPUT8LQMW6755,,,,unmatched,4059,2475,1477,KY:1477;FL:315;TN:233;IN:220;OH:205;SC:5;VA:5;NC:3;MO:2;AL:2,high,1477
549300ENNFGLHCMQ1U82,,,,unmatched,3023,2310,1396,KY:1396;OH:823;IN:52;FL:16;SC:6;CO:3;TN:2;MI:2;IL:2;VA:2,medium,1396
254900LEJ4HP6RMWD374,,,,unmatched,2183,1404,1387,KY:1387;IN:15;TN:1;FL:1,medium,1387
549300LPT41QBMAC7948,,,,unmatched,1847,1428,1376,KY:1376;TN:24;IN:12;FL:6;OH:4;AL:3;GA:1;NC:1;SC:1,medium,1376
MV4O55SH8HO6KQSGW013,,,,unmatched,10539,7073,1239,OH:2850;IN:2821;KY:1239;IL:95;FL:31;MI:9;SC:7;NC:6;TN:5;GA:2,high,1239
549300UXY7OP0IC38293,,,,unmatched,10377,6396,1184,KY:1184;MI:572;FL:524;CO:486;MA:288;GA:219;TN:219;IN:218;UT:207;CA:205,high,1184
5493001GDRY0EL7VG372,,,,unmatched,20194,15382,1179,TX:4151;KY:1179;CO:914;FL:795;CA:751;SC:545;TN:524;MI:399;GA:387;AZ:384,high,1179
5493000YNV8IX4VD3X12,,,,unmatched,121666,19996,1150,NC:2515;SC:2449;TX:2045;GA:1956;TN:1509;IN:1449;AL:1426;KY:1150;FL:844;OH:738,high,1150
5493002JDOI3GTNVUD76,,,,unmatched,5006,3698,1097,IN:2053;KY:1097;OH:515;IL:13;TN:9;FL:3;MI:2;AL:1;MO:1;ID:1,medium,1097
549300RPOGWJRH63HS39,,,,unmatched,51423,37767,1069,OH:5380;MI:4118;TX:3238;FL:2495;IN:2257;NC:2127;PA:1934;IL:1655;TN:1404;KY:1069,high,1069
5493002N5OA6GM61AC70,,,,unmatched,1467,1075,1046,KY:1046;IN:11;TN:6;FL:5;IL:3;NJ:1;GA:1;SC:1;MO:1,medium,1046
JJKC32MCHWDI71265Z06,,,,unmatched,83470,41001,1026,NC:7920;VA:6374;FL:6117;GA:4837;MD:3245;SC:2178;PA:2152;TN:2014;TX:1260;KY:1026,high,1026
2WHM8VNJH63UN14OL754,,,,unmatched,90347,51203,903,OH:24819;MI:10932;IL:4352;IN:2547;PA:1812;MN:1707;WV:1148;KY:903;CO:675;WI:664,high,903
549300C5GU86M1X2DG56,,,,unmatched,1155,926,882,KY:882;IN:19;OH:10;FL:7;MO:2;SC:1;TN:1;NC:1;AL:1;GA:1,medium,882
549300REENMLD2RN3W58,,,,unmatched,5575,4097,757,KY:757;GA:741;MS:426;AL:214;SC:204;IN:198;TX:153;FL:142;TN:90;CA:83,high,757
549300LEOR2LO8J9RT29,,,,unmatched,3066,2542,753,OH:1130;KY:753;IN:311;GA:208;MO:96;FL:44,medium,753
549300D88XVKM6DJOC77,,,,unmatched,914,759,749,KY:749;IN:4;FL:2;SC:1;NC:1;OH:1;TN:1,medium,749
549300S2RLEOF6WG7P87,,,,unmatched,874,692,690,KY:690;IN:2,medium,690
QGPGHQ1ENZOOLJRFTH41,,,,unmatched,9405,6248,645,OH:3020;WV:956;PA:657;KY:645;MD:400;IN:241;MI:120;VA:105;FL:30;TN:22,high,645
549300KJZ82173UB3I21,,,,unmatched,4653,2944,643,WV:1808;KY:643;VA:328;OH:161;FL:2;NC:1;PA:1,medium,643
549300C3C8C6TSYT1R20,,,,unmatched,809,635,629,KY:629;FL:3;TN:2;OH:1,medium,629
549300GTVXJ2PGXNLM73,,,,unmatched,12024,9307,592,TX:1195;FL:869;NC:762;OH:610;SC:592;KY:592;CT:447;VA:334;IL:302;AR:278,high,592
549300AZBM8V8SE0IT33,,,,unmatched,878,588,505,KY:505;IN:83,medium,505
549300XWUSRVVOHPRY47,,,,unmatched,28287,16190,499,FL:2938;TX:2750;GA:2402;CA:1342;MN:915;NY:748;MI:631;KY:499;CO:448;TN:425,high,499
549300C853H86L248593,,,,unmatched,552,510,490,KY:490;TN:8;AL:6;IL:2;FL:1;IN:1;MI:1;AZ:1,medium,490
549300AT7EB9FJAF0E61,,,,unmatched,16759,10956,489,IN:2746;IL:2207;MN:1877;MI:1211;TN:999;WI:824;KY:489;ND:135;FL:59;IA:55,high,489
