lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,al_originations,states_with_originations,priority_match
549300R7HGHP2I754087,,,,unmatched,9404,7331,618,IL:1045;TX:784;FL:695;GA:640;AL:618;MI:430;SC:350;LA:296;NC:279;CO:224,high
254900E9QYJ6OX8QXL76,,,,unmatched,834,632,615,AL:615;FL:11;TN:4;GA:1;MS:1,medium
549300XSS1CPK8G7B851,,,,unmatched,1792,1464,596,AL:596;FL:426;TN:153;SC:115;GA:75;NC:54;VA:16;MS:6;TX:5;IN:3,high
549300CB67L6KPJLHE19,,,,unmatched,72633,14578,587,TX:2321;CA:1644;MI:1245;MS:1014;FL:774;LA:606;AL:587;PA:553;WA:550;OR:426,high
549300RTWPH3HXUWR160,,,,unmatched,1328,940,517,AL:517;TN:238;MS:169;FL:9;GA:3;IL:1;NM:1;NC:1;TX:1,medium
549300WOJH0MSG0OIM41,,,,unmatched,699,525,514,AL:514;GA:6;MS:4;FL:1,medium
5493005QK4NV0ZZ5EM64,,,,unmatched,4961,3869,513,MS:3017;AL:513;FL:251;TN:68;LA:9;AR:4;GA:3;NC:2;MO:1;IL:1,medium
2549000VVDQ9NNW01Q23,,,,unmatched,666,607,513,AL:513;TN:88;MS:5;SC:1,medium
549300R0SXC1JU7ZU290,,,,unmatched,13447,10308,495,TN:2461;OH:1167;MI:696;FL:575;GA:520;VA:503;AL:495;PA:402;KY:386;IN:376,high
54930069UB3VEGAQ9661,,,,unmatched,634,508,490,AL:490;FL:10;MS:4;TN:2;GA:1;LA:1,medium
T68X8LLAQYRNDV034K14,,,,unmatched,11449,7529,476,GA:3186;NC:1511;TN:1055;SC:924;AL:476;FL:369;LA:3;KY:2;NY:1;IL:1,high
549300WC15MLNUIZYR16,,,,unmatched,800,572,469,AL:469;GA:80;MS:21;FL:2,medium
549300QWWDI5EBFCNL02,,,,unmatched,1003,796,439,AL:439;GA:351;TN:4;FL:1;IL:1,medium
254900ERGGNLW2R5J379,,,,unmatched,1245,962,434,AL:434;TX:198;TN:113;NC:93;GA:81;AZ:43,medium
549300MCPCNPQAOB4032,,,,unmatched,4806,2960,423,LA:2035;AL:423;MS:214;GA:96;AR:39;IL:36;TX:33;FL:23;TN:18;SC:18,medium
549300SUCQ1358EGVE89,,,,unmatched,45543,8395,393,FL:805;NC:548;GA:542;OH:452;AL:393;VA:372;PA:367;SC:330;TN:325;MI:311,high
549300BR7OTD25RTS027,,,,unmatched,1517,1269,380,MS:869;AL:380;FL:6;TN:6;NC:2;TX:2;CA:1;LA:1;IL:1;IN:1,medium
2549005Z23HAAZ6QDM98,,,,unmatched,654,514,366,AL:366;FL:115;TN:8;GA:4;TX:3;MA:2;LA:2;AR:2;NY:2;NC:2,medium
IUGPUX5LWRZ3B6KIZ697,,,,unmatched,18359,13184,363,GA:5627;SC:1857;FL:1846;VA:724;NC:634;CA:484;MD:455;TN:394;AL:363;IL:140,high
254900HA4DQWAE0W3342,,,,unmatched,15379,9160,335,TX:1692;GA:705;FL:619;CA:540;PA:524;IL:452;IN:431;OH:396;AL:335;TN:311,high
COOWI3L2W9TPYR3WJX37,,,,unmatched,13363,8447,320,TN:2513;LA:1305;FL:1045;TX:905;NC:690;AR:628;GA:426;AL:320;MS:167;MO:110,high
5493005JPZ3LXXMB0S24,,,,unmatched,8168,6000,319,FL:2916;SC:805;AL:319;NC:313;TX:270;GA:262;KY:208;AZ:206;CA:130;IN:98,high
5493001F7QT2YW3K8D98,,,,unmatched,3708,2711,316,LA:1879;AL:316;MS:249;FL:186;TX:72;TN:9,medium
254900XPILOY1LB5CK32,,,,unmatched,506,406,313,AL:313;TX:64;MS:18;AR:8;TN:2;MO:1,medium
549300SFG15JDKI5MD22,,,,unmatched,3742,2733,311,MS:1973;AL:311;LA:282;FL:109;TN:28;GA:5;TX:5;NC:3;SC:3;IL:2,medium
54930021DZJ9CEN11D61,,,,unmatched,2604,1550,309,AL:309;FL:185;GA:184;TN:124;OH:99;NV:96;KY:77;MI:58;IN:48;NJ:39,high
549300VNBQD8FDHF7563,,,,unmatched,6259,4562,306,TN:3148;MS:341;AL:306;NC:197;AR:161;GA:154;KY:140;SC:59;VA:27;FL:24,high
5493005PD34O8ZT7QT17,,,,unmatched,10284,7256,292,OH:1513;PA:757;IL:469;MI:431;MO:365;NJ:321;TX:319;AL:292;GA:244;NY:241,high
549300N3JBQ15RQ7AV97,,,,unmatched,4212,2983,292,AZ:828;CA:603;NE:295;AL:292;NV:258;VA:219;CO:183;FL:58;TX:45;UT:43,high
PAOOWF3GUFM46FBSP561,,,,unmatched,20501,7655,289,CA:800;TX:669;FL:485;VA:355;GA:309;AL:289;AZ:265;NC:262;TN:247;CO:244,high
549300GLDL4X3U4RFI74,,,,unmatched,793,265,264,AL:264;FL:1,low
549300GZY55UGMUMI322,,,,unmatched,1348,1023,258,TN:662;AL:258;FL:61;GA:31;SC:5;NC:2;IL:1;MS:1;LA:1;VA:1,high
5493008YZRSEXRIR3I97,,,,unmatched,449,260,258,AL:258;GA:1;FL:1,low
213800QUAI2VH5YM6310,,,,unmatched,5973,4493,256,MD:856;FL:627;NJ:599;VA:582;NY:269;MA:257;AL:256;DE:215;PA:149;NH:133,high
254900GRDRKSA8ZPAJ55,,,,unmatched,245,238,238,AL:238,low
549300FJRQ7KMJ2TQQ84,,,,unmatched,328,234,234,AL:234,low
549300KI5WZF5PXKAF12,,,,unmatched,271,236,233,AL:233;GA:3,low
549300PBTV7FCWLSMM53,,,,unmatched,9758,6224,227,TX:1363;GA:446;CO:423;NC:404;FL:380;OK:315;CA:260;AL:227;MS:224;NM:223,high
549300CDOC4F7XSRG390,,,,unmatched,8293,5548,224,TN:2808;NC:1222;SC:417;VA:248;AL:224;GA:200;FL:107;MD:82;KY:51;MS:51,high
5493000NYUJT9UC6G261,,,,unmatched,8132,5519,224,MO:1526;IL:660;FL:521;CA:395;KS:382;WA:233;AL:224;IN:223;ME:215;GA:191,high
549300REENMLD2RN3W58,,,,unmatched,5575,4097,214,KY:757;GA:741;MS:426;AL:214;SC:204;IN:198;TX:153;FL:142;TN:90;CA:83,high
254900VECGAWC5CPU773,,,,unmatched,1155,718,208,FL:469;AL:208;GA:15;SC:4;MS:3;LA:3;MO:3;IL:2;MI:2;AZ:1,medium
NSGZD26XPW2CUM2JKU70,,,,unmatched,5969,3719,204,LA:2258;FL:538;MS:480;TX:209;AL:204;GA:6;TN:5;NC:5;OK:3;SC:2,high
549300N968Y85YXDX139,,,,unmatched,259,229,203,AL:203;FL:12;GA:11;SC:1;TN:1;LA:1,low
PINLJ7T7GLTF48NFP863,,,,unmatched,1520,1173,200,MA:293;AL:200;LA:94;DE:84;CO:73;AR:64;RI:42;NY:40;NM:40;ME:36,medium
254900GYV99GSRS94462,,,,unmatched,207,196,196,AL:196,low
549300249G20MDIDRR27,,,,unmatched,11602,2752,190,TX:748;SC:336;OK:211;FL:197;AL:190;NC:160;TN:135;GA:135;MS:107;AR:88,high
549300R77W0P105C3S50,,,,unmatched,14377,7980,188,CA:1332;FL:1325;TX:930;AZ:254;GA:254;OH:210;PA:201;NC:197;TN:196;AL:188,high
549300FOTVC2DXJ6YD92,,,,unmatched,348,180,179,AL:179;MS:1,low
5493006P5IHSK77SZ855,,,,unmatched,2615,1740,175,TX:668;TN:193;AL:175;OK:126;LA:125;MS:77;MI:51;WA:46;NM:44;IN:41,high
5493004OB0KD7VERQW98,,,,unmatched,3203,2426,173,TX:1107;KY:411;TN:219;OK:188;IN:175;AL:173;GA:54;LA:47;AR:32;FL:12,high
549300W8Q4KZC8LMAV19,,,,unmatched,227,179,173,AL:173;TN:4;GA:1;MS:1,low
549300IXTSQB6QVVI060,,,,unmatched,217,175,168,AL:168;GA:4;FL:2;CO:1,low
2549001SI0EMFPT39035,,,,unmatched,10748,7401,162,FL:1568;WA:861;CA:706;OH:605;NJ:358;TX:357;GA:340;AZ:316;MI:262;AL:162,high
5493007ASPHNTEYEZ797,,,,unmatched,1300,1018,157,AR:336;OK:324;TX:188;AL:157;KS:11;MO:2,medium
549300IOM384RW3HWE57,,,,unmatched,634,318,156,AL:156;GA:142;FL:19;PA:1,medium
5493006RIR31ORKYB608,,,,unmatched,2057,1534,152,CA:395;IA:166;AL:152;TX:133;LA:90;MS:82;AR:56;MN:47;OH:43;WA:37,high
5493008TO7JB5Q4IKZ94,,,,unmatched,1471,1153,146,NY:884;AL:146;CO:77;AZ:37;MA:7;FL:1;NC:1,high
254900TG14TB8RKS3U42,,,,unmatched,5372,2569,142,FL:435;PA:345;TX:260;CA:165;NC:159;AL:142;GA:127;VA:89;TN:83;NJ:75,high
549300XHEKTWE48VS407,,,,unmatched,189,148,142,AL:142;TN:4;FL:2,low
549300MNJT84X74B3052,,,,unmatched,144,143,140,AL:140;FL:3,low
5493000V86JDJLM0OV13,,,,unmatched,690,690,137,AL:137;TX:116;MS:85;FL:76;GA:55;LA:52;OK:36;SC:30;TN:29;KY:28,medium
549300H0IFPIJWI3KL08,,,,unmatched,158,138,137,AL:137;FL:1,low
5493006JU3IPG0E80D85,,,,unmatched,201,136,136,AL:136,low
549300RWXUAFD1WAE410,,,,unmatched,16717,13070,134,NC:6049;VA:4244;SC:955;GA:731;KY:389;FL:221;MD:169;AL:134;TN:63;IN:52,high
549300L1DBFIJZI8LA40,,,,unmatched,2059,1503,134,GA:632;SC:365;AL:134;TN:124;MS:86;FL:67;NC:62;KY:28;AR:2;VA:2,high
254900NCN3B66MYC3145,,,,unmatched,221,136,133,AL:133;MS:3,low
549300RZCM5T73BZEI76,,,,unmatched,340,308,131,AL:131;FL:116;GA:61,medium
254900FG1PR8UNV77C36,,,,unmatched,162,144,130,AL:130;FL:14,low
254900T576VYG7I55390,,,,unmatched,896,421,125,FL:294;AL:125;TN:1;GA:1,medium
549300BWXUPDS3PDOL40,,,,unmatched,149,139,125,AL:125;MS:9;TN:3;TX:1;FL:1,low
549300ZGTRKCDKOVEQ80,,,,unmatched,302,250,124,TN:124;AL:124;MS:1;GA:1,medium
549300T7HRS5DVBUPQ06,,,,unmatched,3766,3018,121,GA:1234;FL:235;CO:226;IN:182;AZ:181;NC:142;OH:137;AL:121;SC:55;WA:50,high
549300Y7G2MW6V1OR474,,,,unmatched,1424,1038,117,PA:594;WV:150;AL:117;NC:82;FL:20;TX:15;OH:14;TN:13;NV:8;SC:8,high
549300XDZHJDR5G01Q52,,,,unmatched,174,116,115,AL:115;FL:1,low
549300IL6X4MHW0HHI39,,,,unmatched,111,111,111,AL:111,low
5493008Q3XBC7O0Q4X02,,,,unmatched,921,623,109,MS:378;AL:109;TN:64;LA:54;AR:18,medium
5493005QMX3SJKDTQZ62,,,,unmatched,171,160,103,AL:103;TN:55;GA:2,medium
549300MGJ0J02F6KDW38,,,,unmatched,150,136,103,AL:103;TN:28;FL:3;GA:2,low
549300OPKCV6BLMDSL66,,,,unmatched,176,123,103,AL:103;FL:12;GA:5;MS:2;LA:1,low
2549004IXUWDS2CYU578,,,,unmatched,117,107,103,AL:103;TN:2;GA:1;MS:1,low
254900FN90BBXGBCPB30,,,,unmatched,123,114,102,AL:102;FL:12,low
RO7SIV4IZNEGU4EXXS92,,,,unmatched,144,110,102,AL:102;GA:7;NC:1,low
5493005GHHD2LL3US857,,,,unmatched,146,109,100,AL:100;TN:3;AZ:2;CO:2;FL:1;GA:1,low
549300ZX7CMZ93QCZQ91,,,,unmatched,104,102,100,AL:100;FL:2,low
KI0VI4JRMCIJ329YTN75,,,,unmatched,4576,3036,99,NJ:1659;NY:656;FL:507;AL:99;PA:40;CA:10;CT:10;SC:9;NC:9;IL:6,high
549300Q10M1VXBG2H889,,,,unmatched,6161,1460,97,GA:457;NC:175;TN:124;VA:115;AL:97;OH:93;FL:79;PA:59;MI:51;SC:46,high
98450062C847FDDA7405,,,,unmatched,189,93,93,AL:93,low
549300VIIXX6NYY12891,,,,unmatched,105,90,88,AL:88;FL:2,low
5493007CXTOHZ2JBEJ61,,,,unmatched,4205,3270,85,FL:2851;LA:161;AL:85;GA:62;IN:22;TN:18;TX:13;MS:11;NC:9;SC:8,high
2549009IIR21WKPEE762,,,,unmatched,188,85,85,AL:85,low
254900QWNWNPOWGOC273,,,,unmatched,85,85,85,AL:85,low
5493002XCPKQYCZ56W55,,,,unmatched,167,88,84,AL:84;TN:3;FL:1,low
549300OWLJ3NG26J9N79,,,,unmatched,96,89,83,AL:83;MS:4;TN:2,low
549300OS6U8YWYOKJP92,,,,unmatched,85,80,80,AL:80,low
549300W76QLF060CER73,,,,unmatched,136,109,79,AL:79;MS:18;LA:11;TN:1,low
254900R7YE9RG1CL6U13,,,,unmatched,144,80,79,AL:79;MS:1,low
549300SK3VKN3E1SZ562,,,,unmatched,2083,1426,77,GA:1252;AL:77;FL:70;NC:8;SC:6;MS:4;TN:4;VA:4;TX:1,high
54930039UO39UJGI7078,,,,unmatched,7487,5837,76,VA:2077;NC:1749;MD:1552;SC:88;AL:76;FL:62;PA:60;LA:41;DC:36;DE:22,high
54930078TNN7GKZ7NU89,,,,unmatched,3985,3063,75,VA:809;GA:678;MD:395;NC:215;FL:157;SC:110;TN:86;ND:80;AL:75;NY:62,high
5493005XMJQ1GSXUGT67,,,,unmatched,1819,1161,73,IN:474;NC:166;TX:111;TN:98;AL:73;LA:65;FL:60;WI:44;GA:25;IL:18,medium
254900VH8KY0194IAU87,,,,unmatched,113,81,72,AL:72;FL:5;GA:4,low
254900IUXHAK73AEH918,,,,unmatched,211,143,71,AL:71;TN:66;SC:3;CO:1;VA:1;FL:1,medium
549300M03EN3OQEDU087,,,,unmatched,3127,1337,71,MS:1066;LA:183;AL:71;FL:17,medium
549300GMZQGVLZ5KCW51,,,,unmatched,94,71,71,AL:71,low
254900P4A09O6AABF892,,,,unmatched,101,78,70,AL:70;FL:4;TN:3;TX:1,low
2549002AOWUCD3BSTP80,,,,unmatched,84,74,70,AL:70;FL:2;GA:2,low
549300LLKEKXL2RM1F61,,,,unmatched,4309,2839,69,NY:1919;PA:226;FL:183;NJ:142;AL:69;TX:53;CT:49;MI:29;SC:26;NC:21,high
54930033V1OQ5VFHI630,,,,unmatched,76,68,65,AL:65;FL:3,low
549300QVGK8WC4HQ3C28,,,,unmatched,1289,810,64,PA:185;TN:124;GA:109;NJ:99;AL:64;FL:54;NC:31;VA:30;SC:19;IL:13,high
254900MMTF4DOQ9XV924,,,,unmatched,82,66,64,AL:64;FL:2,low
2549008SGDIASSJGSR05,,,,unmatched,63,63,63,AL:63,low
254900KXYZ881E3D5449,,,,unmatched,79,74,62,AL:62;FL:12,low
549300IXFXFD6OCKNJ26,,,,unmatched,79,61,61,AL:61,low
549300DQG9B47MV1MR51,,,,unmatched,88,72,58,AL:58;FL:14,low
254900XASC5S67PMPM58,,,,unmatched,132,126,57,GA:60;AL:57;TN:9,medium
549300XQM4M89ZBZLQ02,,,,unmatched,64,60,57,AL:57;AR:2;TN:1,low
549300OSY236S7MBKO83,,,,unmatched,106,98,55,AL:55;LA:7;TX:6;NC:4;TN:4;MS:3;MO:3;VA:3;AR:3;KY:2,low
254900W5FNEFKJ3R5088,,,,unmatched,74,55,55,AL:55,low
549300I0ICF6REKHOC74,,,,unmatched,3583,2753,54,MD:1148;AZ:360;IN:294;SC:234;PA:137;FL:129;TX:80;DE:63;AL:54;NC:48,high
5493006OZEG7DK77IP05,,,,unmatched,190,117,53,MS:64;AL:53,low
549300K6MDR5BGOE0B97,,,,unmatched,77,53,52,AL:52;FL:1,low
549300EW4BA2XQFITZ61,,,,unmatched,56,54,48,AL:48;GA:5;FL:1,low
549300OPZE52Y4J4QP25,,,,unmatched,62,51,48,AL:48;FL:2;OK:1,low
2549009ACXPW8YN9HB36,,,,unmatched,49,48,48,AL:48,low
254900N33AYNKI4VCV72,,,,unmatched,606,268,47,FL:220;AL:47;GA:1,medium
254900OYJ23M4J7IJI76,,,,unmatched,53,50,47,AL:47;CO:1;TN:1;FL:1,low
5493001SDQVS1NWYH012,,,,unmatched,1018,888,46,MN:140;KY:132;AZ:117;FL:96;CA:90;NC:83;AL:46;WA:44;TN:34;TX:33,medium
549300INKSPQCTELMO58,,,,unmatched,3309,2598,46,MN:1395;SD:229;TX:149;ND:136;WI:119;AZ:105;FL:79;CO:72;IA:55;AL:46,medium
549300748YYU6VG08N83,,,,unmatched,2907,1876,45,CO:911;TX:159;NC:128;FL:100;GA:77;VA:69;SC:52;OR:52;AL:45;AZ:41,high
5493003F5IG7YZ4PQ253,,,,unmatched,56,54,45,AL:45;FL:9,low
549300QUWFE9UINQOY10,,,,unmatched,52,43,43,AL:43,low
549300GE8R74OGSIP159,,,,unmatched,65,44,42,AL:42;FL:2,low
549300ANE43ZL0O8VZ13,,,,unmatched,284,279,41,GA:229;AL:41;FL:9,medium
254900N59TICVY7K7T48,,,,unmatched,54,42,41,AL:41;GA:1,low
549300NAIUVHH8SCGC11,,,,unmatched,84,55,40,AL:40;MS:15,low
549300D15L4ETR8E9517,,,,unmatched,40,40,40,AL:40,low
GDN5JXQ4P5NZE28ZRC90,,,,unmatched,1807,1198,39,FL:788;GA:292;AL:39;NY:14;NC:11;SC:9;OH:9;CO:5;TN:5;CA:5,high
549300ZMSSTP768USP32,,,,unmatched,301,219,38,MS:169;AL:38;LA:9;FL:3,low
549300CNDBHD7VKHK806,,,,unmatched,55,40,38,AL:38;NC:1;MS:1,low
54930059GZZ7G4G40O53,,,,unmatched,3918,2858,36,TN:1004;NC:922;TX:376;VA:132;SC:117;FL:69;MN:42;AL:36;GA:21;MI:13,high
549300XFPZ54Y2QPYR56,,,,unmatched,2778,2020,36,FL:1129;OH:338;PA:309;WV:127;GA:41;AL:36;VA:27;KY:12;IN:1,high
5493002TJKC8NLH1ZP82,,,,unmatched,2827,1694,36,CA:792;AZ:166;FL:144;UT:99;TX:54;WA:49;GA:43;AL:36;MO:33;VA:31,high
549300ZABGDYBUG68F18,,,,unmatched,38,36,34,AL:34;MS:2,low
254900Z8HZ6PMY4EY406,,,,unmatched,40,37,33,AL:33;TN:4,low
549300VBY3NBKUNMKL64,,,,unmatched,890,420,32,OH:296;AL:32;IN:30;CA:21;NC:15;SC:8;GA:4;TX:3;FL:2;MO:2,medium
549300V4UDO1FVIAXD70,,,,unmatched,36,33,31,AL:31;FL:2,low
549300E8XHQWHOJSZJ97,,,,unmatched,35,31,30,AL:30;FL:1,low
549300BEFX6JRSCS5N78,,,,unmatched,5149,2868,29,AR:1278;TX:904;FL:582;AL:29;OK:19;MO:17;CO:6;GA:5;NM:5;KY:3,high
549300NN0PRX3I4QGG46,,,,unmatched,1601,896,29,FL:244;NC:138;GA:108;TX:89;VA:52;MO:39;SC:36;IN:35;AL:29;PA:17,high
54930015645SYPOM7220,,,,unmatched,1102,791,29,TN:258;NV:156;GA:114;OR:49;FL:39;CA:36;AL:29;CO:27;VA:27;IN:23,medium
549300Y4BSP3BSFW7J29,,,,unmatched,6114,3188,28,GA:2867;FL:74;SC:28;AL:28;TX:27;UT:23;NC:22;KY:21;TN:20;CA:19,high
549300IFOE4SCP384147,,,,unmatched,2997,2426,27,FL:1083;MI:505;IN:245;CA:67;NC:57;GA:47;TN:44;SC:43;AL:27;AZ:25,high
2549002KNNRT791PG760,,,,unmatched,28,28,26,AL:26;FL:2,low
549300VVH8HHFMWL8536,,,,unmatched,2187,1457,25,TX:529;CA:513;LA:62;CO:52;MS:51;AL:25;FL:25;UT:24;AZ:17;OR:13,high
54930020YFOV56MQ7B70,,,,unmatched,136,70,24,GA:46;AL:24,low
5493007O9PUUYS1SVR64,,,,unmatched,51,45,24,AL:24;FL:19;GA:2,low
549300CPKDUJKREQRG38,,,,unmatched,94,74,24,LA:41;AL:24;TX:6;MS:1;AZ:1;FL:1,low
549300IKNQI45EOJU155,,,,unmatched,2162,1584,23,GA:820;FL:599;TN:60;NC:41;SC:37;AL:23;VA:4,high
549300GSCUJKJINRJ980,,,,unmatched,13152,9934,23,IN:6870;OH:1793;MI:794;KY:194;IL:95;GA:41;FL:36;AL:23;NC:19;SC:13,high
549300R0L43GUZ8EW811,,,,unmatched,549,427,23,TN:364;AL:23;KY:16;FL:5;GA:5;WV:4;MS:2;NC:2;OH:1;AR:1,medium
549300PQYQDOLH45NU80,,,,unmatched,97,80,23,GA:55;AL:23;TN:2,medium
549300YIZECN2NB3I529,,,,unmatched,53,24,23,AL:23;FL:1,low
2549008PQJ4J5Z32RI14,,,,unmatched,58,23,23,AL:23,low
