lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,de_originations,states_with_originations,priority_match
549300AENO88GEUWCZ39,,,,unmatched,1280,846,27,MN:142;IN:65;CO:58;FL:56;CA:52;OK:39;KY:36;TX:34;DE:27;WI:26,medium
5493005U6VKOSGHRA756,,,,unmatched,199,130,26,MD:102;DE:26;VA:2,low
549300DYB1ZT3UOGPL20,,,,unmatched,2487,1376,24,PA:1161;NJ:176;DE:24;FL:7;MD:5;SC:2;NC:1,high
549300H12E7AUMUHP294,,,,unmatched,1980,1256,24,NJ:374;PA:297;MD:111;FL:88;IL:79;NC:59;VA:35;NY:25;DE:24;TX:21,high
254900NLUN32M3CT3X53,,,,unmatched,26,23,23,DE:23,low
54930039UO39UJGI7078,,,,unmatched,7487,5837,22,VA:2077;NC:1749;MD:1552;SC:88;AL:76;FL:62;PA:60;LA:41;DC:36;DE:22,high
54930095UWUUXAWASB02,,,,unmatched,7298,5729,22,VA:3458;NC:673;MD:586;SC:369;WV:248;DC:148;FL:56;PA:53;DE:22;GA:13,high
549300W20M87S246SZ26,,,,unmatched,400,309,22,PA:234;DE:22;MD:21;NJ:15;NC:4;VA:4;SC:3;FL:3;TX:1;GA:1,medium
549300LLQD0X2OTG0Y27,,,,unmatched,1196,581,20,RI:205;MA:77;NH:31;DE:20;LA:17;OH:16;NC:16;TX:15;SC:15;FL:14,medium
549300GZN0GWYE1KDB94,,,,unmatched,885,720,18,PA:617;NJ:68;DE:18;NY:11;FL:2;MD:2;MT:1;GA:1,high
549300KWKWPEKL40WD44,,,,unmatched,1612,906,15,NJ:442;PA:144;FL:82;TX:42;NC:40;GA:40;NY:27;SC:21;CT:15;DE:15,high
5493008HV53MEILG2D59,,,,unmatched,347,322,15,PA:274;NJ:25;DE:15;NY:7;NC:1,medium
549300GE8KIGZVQV1223,,,,unmatched,1969,1593,14,MA:431;FL:363;MD:162;CT:157;RI:137;SC:113;NH:93;PA:61;NC:23;DE:14,high
5493001E3OD1D4Y8KX63,,,,unmatched,497,417,14,PA:356;NJ:20;MO:17;DE:14;IL:3;VA:2;NY:1;SC:1;MD:1;FL:1,medium
549300BKWR5OM8PWIN62,,,,unmatched,1109,897,14,MD:496;VA:182;NC:91;FL:48;PA:26;DC:15;DE:14;NJ:9;WV:7;OH:5,medium
5493000SW5GLNL7VNX12,,,,unmatched,216,198,14,PA:164;NJ:14;DE:14;NC:1;SC:1;FL:1;ME:1;MD:1;NY:1,medium
549300N15SIAR55G5978,,,,unmatched,28,16,14,DE:14;MD:1;FL:1,low
549300ZTT08EKQRVTR15,,,,unmatched,7639,5109,13,VA:3237;MD:1172;NC:317;WV:149;DC:96;IN:24;FL:22;SC:20;PA:18;DE:13,high
5493005NXMQ7SP5TOF96,,,,unmatched,198,122,13,VA:61;MD:48;DE:13,low
549300CF8MP6S7MZV277,,,,unmatched,2135,1726,12,VA:765;MD:462;DC:451;FL:22;DE:12;NC:10;SC:4,medium
549300LT75BG7Z054795,,,,unmatched,911,722,12,MD:591;PA:63;FL:30;VA:13;DE:12;NC:5;WV:2;SC:2;DC:2;MI:1,medium
R7JQ9JTCFHXBQU4XIT26,,,,unmatched,1233,764,11,PA:628;NJ:78;MD:31;DE:11;FL:8;GA:2;NC:1;ME:1;TX:1;IL:1,high
549300OOBQV34V3WL383,,,,unmatched,909,517,10,VA:443;NC:37;MD:27;DE:10,medium
