lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,louisiana_originations,florida_originations,total_originations,priority_match,notes
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,al_la_curated+al_la_gleif_reidentify+public_nmls,4514,0,4514,high,al_la_curated map for LA activity (4514 LA originations); slug=united-wholesale-mortgage.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,al_la_curated+al_la_gleif_reidentify+public_nmls,3674,0,3674,high,al_la_curated map for LA activity (3674 LA originations); slug=rocket-mortgage.
NSGZD26XPW2CUM2JKU70,HANCOCK WHITNEY BANK,454781,hancock-whitney-bank,Hancock Whitney Bank,high,al_la_curated+al_la_gleif+public_nmls,2258,0,2258,high,al_la_curated map for LA activity (2258 LA originations); slug=hancock-whitney-bank.
549300MCPCNPQAOB4032,GMFS LLC,64997,gmfs-mortgage,GMFS LLC,high,al_la_curated+al_la_gleif+public_nmls,2035,0,2035,high,al_la_curated map for LA activity (2035 LA originations); slug=gmfs-mortgage.
5493001F7QT2YW3K8D98,"DSLD MORTGAGE, LLC",120308,dsld-mortgage,"DSLD Mortgage, LLC",high,al_la_curated+al_la_gleif+public_nmls,1879,0,1879,high,al_la_curated map for LA activity (1879 LA originations); slug=dsld-mortgage.
549300LE3ZOZXUS7W648,FIDELITY BANK,488639,fidelity-bank-louisiana,Fidelity Bank (Louisiana),high,al_la_curated+al_la_gleif+public_nmls,1369,0,1369,high,al_la_curated map for LA activity (1369 LA originations); slug=fidelity-bank-louisiana.
COOWI3L2W9TPYR3WJX37,First Horizon Bank,405456,first-horizon-bank,First Horizon Bank,high,al_la_curated+al_la_gleif_reidentify+public_nmls,1305,0,1305,high,al_la_curated map for LA activity (1305 LA originations); slug=first-horizon-bank.
254900ZX1UPIG2E7TH11,"ASSURANCE FINANCIAL GROUP, L.L.C.",70876,assurance-financial,"Assurance Financial Group, L.L.C.",high,al_la_curated+al_la_gleif+public_nmls,1298,0,1298,high,al_la_curated map for LA activity (1298 LA originations); slug=assurance-financial.
549300DG3IV05V4C4E03,EUSTIS MORTGAGE CORPORATION,70345,eustis-mortgage,Eustis Mortgage Corporation,high,al_la_curated+al_la_gleif+public_nmls,1292,0,1292,high,al_la_curated map for LA activity (1292 LA originations); slug=eustis-mortgage.
EQTWLK1G7ODGC2MGLV11,Regions Bank,467341,regions-bank,Regions Bank,high,al_la_curated+al_la_gleif_reidentify+public_nmls,1282,0,1282,high,al_la_curated map for LA activity (1282 LA originations); slug=regions-bank.
549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",39179,movement-mortgage-myrtle-beach,"Movement Mortgage, LLC",high,al_la_curated+al_la_gleif_reidentify+public_nmls,1248,0,1248,high,al_la_curated map for LA activity (1248 LA originations); slug=movement-mortgage-myrtle-beach.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,al_la_curated+al_la_gleif_reidentify+public_nmls,1188,0,1188,high,al_la_curated map for LA activity (1188 LA originations); slug=jpmorgan-chase-bank.
549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,2280,21st-mortgage,21st Mortgage Corporation,medium,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,1097,2098,1097,high,reuse_prior_state_curated_lei map for LA activity (1097 LA originations); slug=21st-mortgage.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,al_la_curated+al_la_gleif_reidentify+public_nmls,1090,0,1090,high,al_la_curated map for LA activity (1090 LA originations); slug=veterans-united-west-valley.
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2767,freedom-mortgage,Freedom Mortgage Corporation,high,al_la_curated+al_la_gleif_reidentify+public_nmls,1040,0,1040,high,al_la_curated map for LA activity (1040 LA originations); slug=freedom-mortgage.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,al_la_curated+al_la_gleif_reidentify+public_nmls,1007,0,1007,high,al_la_curated map for LA activity (1007 LA originations); slug=newrez.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,al_la_curated+al_la_gleif_reidentify+public_nmls,990,0,990,high,al_la_curated map for LA activity (990 LA originations); slug=pennymac.
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",14622,dhi-mortgage-buckeye,"DHI Mortgage Company, Ltd.",high,al_la_curated+al_la_gleif_reidentify+directory_slug,973,0,973,high,al_la_curated map for LA activity (973 LA originations); slug=dhi-mortgage-buckeye.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union,high,al_la_curated+al_la_gleif_reidentify+public_nmls,860,0,860,high,al_la_curated map for LA activity (860 LA originations); slug=navy-federal-jacksonville.
Q7C315HKI8VX0SSKBS64,Cadence Bank,402436,cadence-bank,Cadence Bank,high,al_la_curated+al_la_gleif_reidentify+public_nmls,730,0,730,high,al_la_curated map for LA activity (730 LA originations); slug=cadence-bank.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,al_la_curated+al_la_gleif_reidentify+public_nmls,728,0,728,high,al_la_curated map for LA activity (728 LA originations); slug=loandepot.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-metrowest,"CrossCountry Mortgage, LLC",high,al_la_curated+al_la_gleif_reidentify+public_nmls,592,0,592,high,al_la_curated map for LA activity (592 LA originations); slug=crosscountry-mortgage-metrowest.
54930021WPEXNHYZUL09,"PLANET HOME LENDING, LLC",,planet-home-lending,"Planet Home Lending, LLC",high,al_la_curated+al_la_gleif_reidentify+directory_slug,585,0,585,high,al_la_curated map for LA activity (585 LA originations); slug=planet-home-lending.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,al_la_curated+al_la_gleif_reidentify+public_nmls,571,0,571,high,al_la_curated map for LA activity (571 LA originations); slug=mr-cooper.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,al_la_curated+al_la_gleif_reidentify+public_nmls,561,0,561,high,al_la_curated map for LA activity (561 LA originations); slug=guild-mortgage-metrowest.
