year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,IL,549300DYVAMYTMH9UV09,,93,81,Cook:73; 17043:6; 17097:2,81,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300NGCDNC9174EF79,,205,81,17199:23; 17193:13; 17165:8; 17055:8; 17077:7,81,0,0,0,0,100.0,0.0,0.0,national
2025,IL,5493001SSNVCONGBH947,,103,80,17201:61; 17177:4; 17007:4; 17085:2; 17141:2,80,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300ZTG888WY6L8M95,,106,80,17201:41; 17177:11; 17141:10; 17007:10; 17091:4,79,1,0,0,0,98.75,1.25,0.0,national
2025,IL,549300H12E7AUMUHP294,,108,79,Cook:31; 17043:19; 17197:14; 17089:7; 17097:5,69,9,1,0,0,87.34,11.39,1.27,national
2025,IL,5493005OG185XV8M8N52,,85,78,17073:39; 17175:23; 17143:6; 17011:4; 17179:2,78,0,0,0,0,100.0,0.0,0.0,national
2025,IL,54930053SM8COVIPIY54,,143,77,Cook:33; 17111:25; 17097:6; 17089:3; 17043:3,77,0,0,0,0,100.0,0.0,0.0,national
2025,IL,5493004MWCDBCBTXE044,,81,76,17097:40; Cook:35; 17089:1,76,0,0,0,0,100.0,0.0,0.0,national
2025,IL,54930091JQKCU3Z6IP44,,1061,76,Cook:51; 17201:9; 17097:6; 17143:3; 17037:1,76,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300DFV63SJPNIII97,,83,76,17001:72; 17119:3; 17067:1,76,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300DCGBXW5FJMV921,,75,75,Cook:52; 17097:8; 17197:7; 17043:4; 17089:2,73,2,0,0,0,97.33,2.67,0.0,national
2025,IL,549300DUTN4RUBI81Z18,,97,75,Cook:63; 17043:8; 17091:2; 17089:1; 17097:1,75,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300GY0I1WYYWYFS47,,98,75,Cook:52; 17197:7; 17043:5; 17089:2; 17099:2,75,0,0,0,0,100.0,0.0,0.0,national
2025,IL,254900CN1DD55MJDFH69,,141,74,Cook:25; 17201:9; 17089:7; 17111:5; 17019:5,74,0,0,0,0,100.0,0.0,0.0,national
2025,IL,254900RO87UFWPI72M63,,101,74,17201:48; 17177:8; 17007:7; 17141:5; 17015:2,74,0,0,0,0,100.0,0.0,0.0,national
2025,IL,2549007AU24FVDMNUB40,,225,72,17201:35; Cook:6; 17095:6; 17043:4; 17197:4,72,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300UM6HPORF7X4415,,82,72,17113:41; 17203:3; 17179:3; 17197:2; 17167:2,72,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300BY08MY8QNSPU50,,77,71,17163:36; 17119:19; 17133:8; 17027:4; 17005:1,71,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300FQ2SN6TRRGB032,,87,71,Cook:50; 17043:10; 17197:7; 17097:2; 17089:1,71,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300XWUSRVVOHPRY47,,162,71,Cook:14; 17043:7; 17127:6; 17089:5; 17111:5,37,22,10,2,0,52.11,30.99,14.08,national
2025,IL,5493005QZNPGRQNTRB15,,83,69,17057:46; 17179:8; 17143:5; 17169:2; 17109:2,69,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300UF3FPC7U6RFC59,,114,68,17163:23; 17119:13; Cook:9; 17133:8; 17161:4,63,2,2,1,0,92.65,2.94,2.94,national
2025,IL,549300XCVBRR56D08F03,,479,68,Cook:26; 17043:8; 17097:7; 17111:6; 17197:5,57,9,2,0,0,83.82,13.24,2.94,national
2025,IL,254900TG14TB8RKS3U42,,165,67,Cook:33; 17197:5; 17093:3; 17089:3; 17043:3,42,23,2,0,0,62.69,34.33,2.99,national
2025,IL,254900VELJPWWT51WN03,,84,66,Cook:31; 17043:9; 17197:8; 17097:6; 17019:3,66,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300VJ2DUIQKBO9U08,,86,66,17115:26; 17139:26; 17173:4; 17039:3; 17021:2,66,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300COR6KN4QP42U93,,89,64,17177:35; 17201:14; 17195:8; 17103:2; 17141:2,64,0,0,0,0,100.0,0.0,0.0,national
2025,IL,2549004Z576VEJBK3N72,,86,63,17119:25; 17163:23; 17093:3; 17043:3; 17097:3,47,7,9,0,0,74.6,11.11,14.29,national
2025,IL,254900FTCNECUOWATD22,,70,63,17163:43; 17119:6; 17027:4; 17189:4; 17133:3,63,0,0,0,0,100.0,0.0,0.0,national
2025,IL,54930010ZG6EHTCJ1L21,,83,63,Cook:31; 17197:26; 17201:2; 17113:1; 17143:1,63,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300BLL6VL7AXWYP56,,112,63,Cook:9; 17043:7; 17111:5; 17197:5; 17143:3,46,10,5,2,0,73.02,15.87,7.94,national
2025,IL,254900UISKR0QR32CI62,,68,62,Cook:45; 17043:13; 17089:2; 17111:1; 17097:1,62,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300PL267CW8182203,,157,62,17163:13; Cook:12; 17197:6; 17201:4; 17043:4,13,26,23,0,0,20.97,41.94,37.1,national
2025,IL,KD3XUN7C6T14HNAYLU02,,82,62,Cook:49; 17097:9; 17043:4,62,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300UXY7OP0IC38293,,108,61,Cook:25; 17043:7; 17097:6; 17093:4; 17089:3,57,3,1,0,0,93.44,4.92,1.64,national
2025,IL,549300YB1H2FRI6JPM51,,79,61,Cook:24; 17043:8; 17089:5; 17097:5; 17197:4,61,0,0,0,0,100.0,0.0,0.0,national
2025,IL,IWRZQFYIRJ0IMURZBB68,,88,61,17097:24; 17201:16; Cook:11; 17007:4; 17179:1,61,0,0,0,0,100.0,0.0,0.0,national
2025,IL,2549005HG8EMM4748S60,,63,60,17027:46; 17119:6; 17005:2; 17121:2; 17189:1,60,0,0,0,0,100.0,0.0,0.0,national
2025,IL,254900CHU7PX7ZS6RI74,,82,60,17133:47; 17163:6; 17157:5; 17005:1; 17087:1,60,0,0,0,0,100.0,0.0,0.0,national
2025,IL,5493006JISETNI0GLE61,,82,59,17049:5; 17033:4; 17167:4; 17119:4; 17075:4,59,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300JY7AI2T0M8WT17,,65,59,17115:57; 17113:1; 17167:1,59,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300DX0B304LAKUN93,,71,58,17119:32; 17163:11; 17133:4; 17005:2; 17157:2,18,40,0,0,0,31.03,68.97,0.0,national
2025,IL,549300MHH03ICJYEPE85,,115,58,Cook:18; 17197:5; 17043:5; 17097:4; 17201:3,9,49,0,0,0,15.52,84.48,0.0,national
2025,IL,549300TWHZRVTZ8RYT46,,90,58,17183:36; 17045:13; 17075:3; 17029:2; 17053:1,58,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300PM3R14MRQSOJ39,,57,57,17119:49; 17117:5; 17083:2; 17163:1,57,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300T3MSPBPSPZLR85,,74,57,17091:42; 17075:10; 17197:3; 17043:1; 17053:1,57,0,0,0,0,100.0,0.0,0.0,national
2025,IL,549300DNWSJUNAWUM003,,110,56,Cook:33; 17043:10; 17197:5; 17089:3; 17001:1,55,1,0,0,0,98.21,1.79,0.0,national
2025,IL,549300K35KPBBS2J9A28,,86,56,17073:31; 17011:6; 17105:6; 17195:3; 17175:3,56,0,0,0,0,100.0,0.0,0.0,national
2025,IL,JJKC32MCHWDI71265Z06,,94,56,Cook:21; 17133:6; 17043:5; 17163:5; 17119:4,55,0,1,0,0,98.21,0.0,1.79,national
