lei,florida_originations,total_originations,gleif_name,priority_match,states_with_originations,review_status
549300YN94MOAVYW0F52,819,4562,"GoodLeap, LLC",high,CA:1030;FL:819;TX:667;GA:475;NC:468;TN:352;PA:325;SC:213,needs_manual_review
549300CZ48D9RNN5TA64,809,809,"COASTAL LOANS, LLC",high,FL:809,needs_manual_review
549300SUCQ1358EGVE89,805,3363,"NEW DAY FINANCIAL, LLC",high,FL:805;NC:548;GA:542;PA:367;SC:330;TN:325;CA:266;NJ:149,needs_manual_review
5493001GDRY0EL7VG372,795,7982,"ARK-LA-TEX FINANCIAL SERVICES, LLC.",high,TX:4151;FL:795;CA:751;SC:545;TN:524;GA:387;PA:380;NC:193,needs_manual_review
GDN5JXQ4P5NZE28ZRC90,788,1133,City National Bank of Florida,high,FL:788;GA:292;NY:14;NC:11;SC:9;TN:5;CA:5;TX:3,needs_manual_review
549300S5YL3OH0IVCS62,786,5506,FINANCE OF AMERICA REVERSE LLC,high,CA:2527;FL:786;TX:524;NY:368;NJ:280;NC:254;GA:195;SC:153,needs_manual_review
549300CB67L6KPJLHE19,774,6668,"TRIAD FINANCIAL SERVICES, INC.",high,TX:2321;CA:1644;FL:774;PA:553;SC:363;NY:296;GA:248;NC:216,needs_manual_review
X05BVSK68TQ7YTOSNR22,771,5000,Discover Bank,high,CA:813;FL:771;TX:649;NY:467;GA:466;NJ:451;PA:392;NC:313,needs_manual_review
DX0JX77PRMOELF7VG772,752,3926,Synovus Bank,high,GA:2576;FL:752;SC:458;TN:115;NC:24;TX:1,needs_manual_review
549300EMNDEK4BA8WB53,742,3704,EMM LOANS LLC,high,FL:742;PA:717;NJ:658;MA:523;GA:375;NC:314;SC:195;NY:78,needs_manual_review
549300NT030LXB2A8T82,742,811,"MY MORTGAGE, INC.",high,FL:742;NJ:28;TX:18;GA:11;NC:5;PA:4;DC:2;CA:1,needs_manual_review
54930030C6U0HERIQ090,730,730,COMMUNITY CREDIT UNION of FLORIDA,high,FL:730,needs_manual_review
5493009BD405QQTMXO12,715,3145,TOLL BROTHERS MORTGAGE COMPANY,high,FL:715;TX:681;GA:355;SC:304;NJ:263;PA:256;NC:249;CA:168,needs_manual_review
549300Y6WN08IC7KWH70,712,1661,TRAILBLAZER MORTGAGE L.L.C.,high,GA:797;FL:712;TN:151;NC:1,needs_manual_review
2549007JZSAICH4GZJ60,711,1079,POINT MORTGAGE CORPORATION,high,FL:711;CA:358;TX:4;SC:3;NJ:1;TN:1;GA:1,needs_manual_review
549300323EON4W3CCM44,702,3038,"RESICENTRAL, LLC",high,CA:1108;FL:702;TX:527;SC:161;NC:158;GA:109;NJ:109;TN:83,needs_manual_review
549300R7HGHP2I754087,695,3175,TOWNE MORTGAGE COMPANY,high,TX:784;FL:695;GA:640;SC:350;NC:279;PA:180;TN:143;CA:72,needs_manual_review
549300T9P3WXNMXX0I34,693,3559,Ixonia Bank,high,PA:1110;NC:765;FL:693;TN:333;TX:224;NY:108;GA:97;SC:96,needs_manual_review
549300RFLICNI75BG067,686,3019,Luminate Bank,high,NJ:1069;FL:686;TX:244;SC:240;NY:198;GA:170;PA:111;TN:98,needs_manual_review
549300T94GSH3C4U5M59,679,4160,ALLIANT CREDIT UNION,high,CA:1937;FL:679;GA:331;NJ:280;PA:208;TX:189;NC:173;TN:117,needs_manual_review
549300EKFFG3BU8DNX74,672,3829,NEXERA HOLDING LLC,high,CA:1752;FL:672;TX:565;GA:182;NJ:179;PA:142;NC:118;SC:101,needs_manual_review
549300HRLROF7PLJ6735,661,2221,CLEAREDGE LENDING LLC,high,CA:898;FL:661;TX:286;GA:157;TN:59;PA:43;NJ:37;NC:32,needs_manual_review
549300SK2GVCQXPD4S58,658,4865,"SUN WEST MORTGAGE COMPANY, INC.",high,CA:1697;TX:1058;FL:658;GA:358;NC:246;TN:239;NJ:169;SC:145,needs_manual_review
549300XQ7B5FIVUNFE29,652,1108,VAN DYK MORTGAGE CORPORATION,high,FL:652;TN:202;NC:112;TX:54;GA:41;CA:28;SC:12;PA:3,needs_manual_review
2549005K0ZG1MFV3R260,644,865,Reliable Holdings Manager LLC,high,FL:644;TX:61;CA:44;NJ:38;GA:33;NC:11;SC:9;NY:8,needs_manual_review
2549004Z576VEJBK3N72,640,2032,"NQM FUNDING, LLC",high,FL:640;CA:361;NY:343;NJ:236;TX:128;GA:98;PA:63;MA:60,needs_manual_review
5493006Q0EMYD3OJ8N13,636,693,BRADESCO BANK,high,FL:636;TX:43;NY:12;MA:2,needs_manual_review
54930043BMDE130FJ617,632,6449,"PROVIDENT FUNDING ASSOCIATES, L.P.",high,TX:1706;CA:1208;PA:892;NC:669;FL:632;GA:602;NJ:423;TN:179,needs_manual_review
213800QUAI2VH5YM6310,627,2116,"EMBRACE HOME LOANS, INC.",high,FL:627;NJ:599;NY:269;MA:257;PA:149;TN:68;DC:54;NC:31,needs_manual_review
254900O2K17TNH5CL873,624,3857,"RF RENOVO MANAGEMENT COMPANY, LLC",high,TX:900;NJ:692;FL:624;PA:592;MA:433;NC:248;CA:177;GA:63,needs_manual_review
549300ZPSJZO10ZAX556,621,2702,"AMERICAN HERITAGE LENDING, LLC",high,FL:621;TX:462;CA:274;NY:256;NC:214;GA:174;PA:172;SC:160,needs_manual_review
254900HA4DQWAE0W3342,619,5158,"AMERIHOME MORTGAGE COMPANY, LLC",high,TX:1692;GA:705;FL:619;CA:540;PA:524;TN:311;NJ:300;NC:253,needs_manual_review
5493001HHBUTXHS7TZ96,614,1698,HOMEAMERICAN MORTGAGE CORPORATION,high,CA:865;FL:614;TN:115;TX:104,needs_manual_review
549300QD5CQZ9PPP5B09,606,1160,PARTNERS Federal Credit Union,high,FL:606;CA:553;NJ:1,needs_manual_review
549300EM8ID8J7F8OM55,603,3292,"First Heritage Mortgage, LLC",high,SC:1380;NC:691;FL:603;GA:452;DC:86;PA:46;MA:17;CA:5,needs_manual_review
5493005PT09Z02WXW551,601,609,ALKAN MORTGAGE CORPORATION,high,FL:601;CA:4;TN:2;NC:1;GA:1,needs_manual_review
54930029L79O0A2ZXF27,599,599,,high,FL:599,needs_manual_review
254900DRSIZBQXDCJ875,590,2039,,high,FL:590;CA:463;TX:382;GA:205;NC:175;TN:85;PA:70;NJ:21,needs_manual_review
54930052M48FOD3CWA54,582,2938,,high,FL:582;NC:479;TX:475;CA:363;TN:283;PA:272;SC:184;MA:132,needs_manual_review
549300BEFX6JRSCS5N78,582,1499,,high,TX:904;FL:582;GA:5;NC:3;TN:3;MA:1;NJ:1,needs_manual_review
549300R0SXC1JU7ZU290,575,5039,,high,TN:2461;FL:575;GA:520;PA:402;NC:350;TX:228;MA:227;CA:126,needs_manual_review
5493001ZUNE2DKEA4702,574,586,,high,FL:574;GA:11;CA:1,needs_manual_review
E57ODZWZ7FF32TWEFA76,565,12299,,high,CA:5786;NY:3687;NJ:707;FL:565;TX:506;DC:281;MA:212;PA:148,needs_manual_review
NSGZD26XPW2CUM2JKU70,538,767,,high,FL:538;TX:209;GA:6;TN:5;NC:5;SC:2;PA:1;NJ:1,needs_manual_review
549300UXY7OP0IC38293,524,2163,,high,FL:524;MA:288;GA:219;TN:219;CA:205;NC:176;NJ:165;SC:133,needs_manual_review
5493000NYUJT9UC6G261,521,1428,,high,FL:521;CA:395;GA:191;TX:174;TN:92;PA:29;NC:12;SC:9,needs_manual_review
254900667M5CK6Y3DF27,518,519,,high,FL:518;NY:1,needs_manual_review
KI0VI4JRMCIJ329YTN75,507,2902,,high,NJ:1659;NY:656;FL:507;PA:40;CA:10;SC:9;NC:9;MA:5,needs_manual_review
549300UR5AOWTJJ7KZ64,505,1961,,high,FL:505;CA:468;TX:301;GA:129;MA:119;SC:118;NC:104;TN:66,needs_manual_review
549300TA4MQM8WN2XG31,504,3089,,high,FL:504;PA:494;NJ:395;CA:388;TX:381;NY:356;GA:185;NC:131,needs_manual_review
549300D7OB5W5CJHFO55,500,506,,high,FL:500;TN:3;GA:2;NC:1,needs_manual_review
5493005PKOSG7MYX0B34,491,8246,,high,PA:2325;NC:1281;NJ:1060;GA:1024;CA:626;TX:551;FL:491;NY:237,needs_manual_review
549300INFJ8TYNZ1G568,485,3775,,high,CA:1748;FL:485;TX:359;NY:192;NJ:178;NC:172;MA:168;GA:146,needs_manual_review
PAOOWF3GUFM46FBSP561,485,3703,,high,CA:800;TX:669;FL:485;GA:309;NC:262;TN:247;NJ:236;MA:228,needs_manual_review
254900VECGAWC5CPU773,469,491,,high,FL:469;GA:15;SC:4;MA:1;PA:1;NC:1,needs_manual_review
549300CLRXFVF83ZL806,463,3511,,high,NY:2070;NJ:486;FL:463;PA:182;NC:102;TX:57;GA:56;SC:37,needs_manual_review
549300DMI3W6YLDVSK93,463,463,,high,FL:463,needs_manual_review
54930030Z1JWTP3SVD16,458,1470,,high,FL:458;GA:334;NC:169;TN:155;PA:126;SC:82;CA:73;MA:60,needs_manual_review
5493000349C5XXDRQX28,451,2072,,high,CA:928;FL:451;TX:246;NY:139;PA:80;NJ:73;GA:53;TN:32,needs_manual_review
254900M2C4Q6DATP2889,448,2397,,high,CA:510;FL:448;NC:357;GA:286;PA:224;TN:199;NJ:191;SC:154,needs_manual_review
01J4SO3XTWZF4PP38209,447,1206,,high,FL:447;TN:322;TX:294;SC:85;GA:53;NC:5,needs_manual_review
549300DE8TS4EYTPX729,445,3359,,high,NJ:1545;PA:992;FL:445;TX:171;MA:141;SC:30;GA:15;NC:15,needs_manual_review
254900TG14TB8RKS3U42,435,1719,,high,FL:435;PA:345;TX:260;CA:165;NC:159;GA:127;TN:83;NJ:75,needs_manual_review
549300NB3SBC1KHAWB92,434,645,,high,FL:434;TN:186;TX:7;NC:7;GA:6;SC:5,needs_manual_review
549300NZLFJGIDOXDW97,433,433,,high,FL:433,needs_manual_review
254900RUCO27MVGTO768,432,5350,,high,NY:1687;NJ:1215;PA:540;FL:432;GA:317;TX:281;NC:251;CA:195,needs_manual_review
875500CPQ9Z7QEFE5G90,431,1808,,high,TX:1366;FL:431;GA:5;TN:3;NC:3,needs_manual_review
549300VMX06UV1F7NS76,429,1944,,high,FL:429;PA:390;GA:343;TX:255;TN:237;NC:159;NJ:92;CA:20,needs_manual_review
549300VYK2WBD7SST478,429,1606,,high,GA:707;FL:429;NC:284;TX:160;TN:15;SC:8;PA:1;NJ:1,needs_manual_review
5493003V40VGM7YDFM54,427,3158,,high,CA:772;NJ:570;FL:427;PA:374;TX:278;GA:253;TN:189;MA:130,needs_manual_review
549300XSS1CPK8G7B851,426,833,,high,FL:426;TN:153;SC:115;GA:75;NC:54;TX:5;CA:2;NY:2,needs_manual_review
5493002RF1ERFA2XR050,425,4239,,high,GA:2005;TN:941;SC:545;FL:425;NC:301;TX:20;PA:1;NY:1,needs_manual_review
549300PQLK8E48ILXV41,421,1965,,high,CA:533;FL:421;TX:213;GA:156;NC:154;NJ:135;PA:115;TN:96,needs_manual_review
Q7C315HKI8VX0SSKBS64,417,6514,,high,TX:3639;TN:1772;GA:614;FL:417;SC:52;NC:17;PA:3,needs_manual_review
549300PL267CW8182203,416,2311,,high,TX:477;FL:416;GA:412;CA:409;NC:157;TN:157;SC:100;PA:96,needs_manual_review
5493001XKL0FTNOJ0866,414,1526,,high,FL:414;TX:386;GA:260;CA:114;NJ:97;SC:85;MA:64;TN:45,needs_manual_review
549300WYBPIWKK6SQC06,407,685,,high,FL:407;TN:190;TX:28;CA:22;GA:14;NC:13;SC:8;PA:3,needs_manual_review
894500Z5NTAJDQWN0T57,405,405,,high,FL:405,needs_manual_review
549300GMNBYF84V5RF83,398,544,,high,FL:398;GA:146,needs_manual_review
549300BX448ALT10FI43,397,3641,,high,NY:620;NJ:552;NC:413;FL:397;PA:379;GA:356;CA:265;TN:199,needs_manual_review
549300MHH03ICJYEPE85,396,2979,,high,CA:1040;FL:396;TX:315;NY:235;MA:191;TN:179;NC:147;NJ:138,needs_manual_review
549300Q50XCC0473FG63,389,3051,,high,CA:1243;NY:460;FL:389;NJ:308;NC:137;TN:136;GA:121;MA:98,needs_manual_review
549300A5HHOL2ED18C72,389,2297,,high,CA:1372;FL:389;TX:211;NC:58;GA:52;PA:51;NJ:44;SC:43,needs_manual_review
2549002VH9C0PKB8K153,388,2606,,high,CA:933;NY:575;FL:388;NJ:317;TX:139;PA:69;MA:49;GA:47,needs_manual_review
213800XR2TCBQJSF1X93,383,2820,,high,TX:518;FL:383;NC:354;CA:313;GA:257;PA:203;NJ:179;SC:177,needs_manual_review
549300BZDER2ZANLA242,381,381,,high,FL:381,needs_manual_review
549300PBTV7FCWLSMM53,380,3284,,high,TX:1363;GA:446;NC:404;FL:380;CA:260;SC:190;TN:148;PA:64,needs_manual_review
54930048P8RWCQHQM310,380,2188,,high,CA:504;NY:503;FL:380;TX:240;NJ:231;MA:110;PA:83;NC:39,needs_manual_review
5493003BXKRGHQHRJV38,375,620,,high,FL:375;GA:200;NC:14;MA:11;TX:5;TN:4;NY:3;CA:2,needs_manual_review
5493001X0T84TYRJ5Y59,372,1743,,high,CA:1029;FL:372;TX:130;GA:83;NC:36;TN:27;PA:23;SC:18,needs_manual_review
T68X8LLAQYRNDV034K14,369,7046,,high,GA:3186;NC:1511;TN:1055;SC:924;FL:369;NY:1,needs_manual_review
254900HEJ9F73IMPX887,364,1978,,high,TX:453;FL:364;CA:232;NC:211;GA:210;NJ:181;PA:135;TN:95,needs_manual_review
549300GE8KIGZVQV1223,363,1004,,high,MA:431;FL:363;SC:113;PA:61;NC:23;GA:5;TX:3;NJ:2,needs_manual_review
549300FOCEH0X0ZOR362,360,411,,high,FL:360;SC:31;GA:9;NC:7;TN:4,needs_manual_review
549300KTR1JGH3K6LU06,358,6031,,high,NY:4085;CA:552;FL:358;NJ:336;GA:195;NC:136;PA:113;SC:89,needs_manual_review
254900CTT87ZKAUTIJ37,354,2258,,high,PA:577;TX:373;FL:354;CA:261;GA:217;NC:185;TN:154;SC:72,needs_manual_review
254900ACU16O36WZP625,351,650,,high,FL:351;TX:233;NC:23;TN:22;GA:21,needs_manual_review
UPMVBH3EU3LS6P1KR697,351,356,,high,FL:351;NJ:3;NY:1;GA:1,needs_manual_review
549300EQED7LF41GHV46,344,355,,high,FL:344;TX:2;TN:2;GA:2;NC:2;PA:1;MA:1;NJ:1,needs_manual_review
5493004N9PMBSLEZOF16,343,2406,,high,TX:820;CA:686;FL:343;NJ:331;SC:150;GA:73;PA:3,needs_manual_review
WWB2V0FCW3A0EE3ZJN75,342,14477,,high,NY:7073;PA:3099;MA:1690;NJ:1501;FL:342;DC:172;CA:139;TX:134,needs_manual_review
254900TTZ395IC926125,341,4217,,high,CA:2290;TX:605;FL:341;MA:268;TN:243;PA:156;GA:120;NC:72,needs_manual_review
549300D4ZYLSQ5LMTV35,338,2731,,high,NJ:1569;PA:399;FL:338;NY:298;SC:49;TN:30;NC:21;GA:16,needs_manual_review
549300DMYENRV818D594,329,3637,,high,TX:1607;GA:638;TN:631;FL:329;PA:299;NC:54;DC:50;SC:21,needs_manual_review
2549004EXIAAMK5CLH54,327,448,,high,FL:327;GA:119;NC:2,needs_manual_review
549300LDC5KWHWDXTW48,324,324,,high,FL:324,needs_manual_review
549300GL556PQ7WG0G08,318,318,,high,FL:318,needs_manual_review
549300GWD9H4FQ2VR805,316,2069,,high,CA:552;FL:316;NY:308;TX:200;NJ:139;MA:124;NC:111;TN:86,needs_manual_review
X6T32LKEPUT8LQMW6755,315,560,,high,FL:315;TN:233;SC:5;NC:3;GA:2;CA:1;PA:1,needs_manual_review
549300WKOE38PNUSOD49,314,323,,high,FL:314;GA:9,needs_manual_review
549300NJVKCDJA5YC939,310,2135,,high,GA:982;CA:454;FL:310;SC:183;TX:102;NC:96;TN:8,needs_manual_review
549300VS8Y4N1Y2J0S91,308,308,,high,FL:308,needs_manual_review
254900BMXWPEHXG4LF21,302,801,,high,CA:361;FL:302;TX:72;PA:25;GA:12;NJ:12;TN:6;SC:6,needs_manual_review
