lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ia_originations,states_with_originations,priority_match,iowa_originations
549300XMCDBXHD84QD46,,,,unmatched,325,289,273,IA:273;MO:2;FL:2;KS:2;MN:2;OH:1;WI:1;NC:1;CO:1;PA:1,low,273
549300EAZZ1G4DMO8869,,,,unmatched,356,272,272,IA:272,low,272
549300L5PI87OOVHD857,,,,unmatched,282,262,261,IA:261;OH:1,low,261
549300EHZKNMEE6UUC83,,,,unmatched,284,260,250,IA:250;MN:2;FL:1;WI:1;IL:1;CO:1;MO:1;NC:1;NE:1;AZ:1,low,250
254900KXKBNKNWDAIL39,,,,unmatched,270,245,245,IA:245,low,245
549300RFSMIRUODUVW59,,,,unmatched,4082,2443,244,MT:610;SD:364;OR:317;WY:306;IA:244;ID:236;NE:183;WA:79;AZ:31;CO:29,medium,244
5493003QPO86QUI9FJ04,,,,unmatched,384,281,241,IA:241;SD:20;NE:15;MN:2;MO:1;OK:1;KS:1,low,241
549300BNZVNK1XN85P72,,,,unmatched,347,282,238,IA:238;SD:32;KS:2;FL:2;NE:2;MN:2;CO:1;CA:1;AZ:1;OR:1,low,238
549300V8CF81JGIV7038,,,,unmatched,2169,1796,235,IL:1185;IA:235;TN:104;FL:46;IN:38;MI:33;WI:29;AL:19;AZ:16;TX:15,medium,235
549300TN34NXD7N44O04,,,,unmatched,364,247,229,IA:229;IL:13;MO:3;WI:1;AZ:1,low,229
254900LIEBWBUKVDWP33,,,,unmatched,316,274,222,IA:222;IL:45;WI:7,low,222
54930038YN5XV3SDVZ83,,,,unmatched,236,207,205,IA:205;MT:1;WI:1,low,205
549300GG5XNEIGHQTG04,,,,unmatched,2609,1836,200,NE:1606;IA:200;KS:8;SD:7;FL:3;MN:2;NV:2;MO:2;OK:1;TX:1,medium,200
1TMVIO1SD0RLIPEIW803,,,,unmatched,1953,1311,198,MO:915;IA:198;KS:76;MN:31;NE:16;IL:14;AR:12;FL:8;NC:7;CA:6,medium,198
5493007DIB8YPDM6NR52,,,,unmatched,3222,1160,197,WI:893;IA:197;MN:47;IL:23,medium,197
549300WQC1VYOW0EW528,,,,unmatched,218,192,192,IA:192,low,192
LDVFX8JEECFFE8HRWA73,,,,unmatched,6317,3757,191,NE:1773;IL:646;CO:466;KS:307;MO:215;IA:191;SD:54;WY:34;TX:12;WI:8,medium,191
549300TTNSX94TR06G13,,,,unmatched,2313,1508,190,NE:1318;IA:190,medium,190
5493005L8AW1CTD9HZ03,,,,unmatched,269,225,186,IA:186;IL:32;AR:2;FL:2;AZ:1;MN:1;SC:1,low,186
254900EQCMVB0XTB5Y50,,,,unmatched,185,184,184,IA:184,low,184
2549008LUH7QKMXQ8N53,,,,unmatched,1648,1140,176,IL:297;MO:278;IA:176;PA:97;IN:76;CO:43;MT:31;TX:25;MN:21;AR:17,medium,176
254900SPZRGOBHSHRP90,,,,unmatched,248,180,176,IA:176;IL:2;WI:2,low,176
549300MMQJ2MM37FDE66,,,,unmatched,274,269,173,IA:173;MO:52;IL:44,low,173
5493006RIR31ORKYB608,,,,unmatched,2057,1534,166,CA:395;IA:166;AL:152;TX:133;LA:90;MS:82;AR:56;MN:47;OH:43;WA:37,high,166
549300CRGEK5FKX2UP02,,,,unmatched,181,164,161,IA:161;NE:2;MO:1,low,161
254900FI363837PZX856,,,,unmatched,328,228,159,IA:159;MO:14;NE:13;MN:9;IL:7;SD:5;AZ:4;KS:4;FL:3;WI:2,low,159
549300CWJ74FF73VDL12,,,,unmatched,181,162,157,IA:157;MN:2;NE:1;FL:1;MO:1,low,157
5493006JISETNI0GLE61,,,,unmatched,5427,3693,150,TN:786;OH:706;IN:518;KY:489;TX:312;KS:174;IA:150;NE:149;SD:91;CO:63,high,150
254900VH0YZ5TAKFLL81,,,,unmatched,211,162,146,IA:146;MN:16,low,146
549300EXKS98GEONUS84,,,,unmatched,194,147,146,IA:146;KY:1,low,146
54930094PMFTE71NZK32,,,,unmatched,167,160,144,IA:144;NE:11;MO:5,low,144
254900M3DBBSBUPR5L27,,,,unmatched,430,284,143,IA:143;IL:117;WI:24,low,143
254900WQBZOLXT53K570,,,,unmatched,226,167,143,IA:143;SD:15;MN:5;NE:3;AZ:1,low,143
549300OIJZOV6CPR1Y57,,,,unmatched,201,141,141,IA:141,low,141
254900QIPUZ7PAK59X63,,,,unmatched,208,149,138,IA:138;FL:3;CO:2;MN:1;KS:1;OH:1;CA:1;AL:1;AZ:1,low,138
549300ZNV71J20M52A37,,,,unmatched,190,139,138,IA:138;IL:1,low,138
254900P6952HH7CVAC87,,,,unmatched,175,135,135,IA:135,low,135
VEQ70DCTAI4TBBHPYI39,,,,unmatched,688,542,132,NE:327;IA:132;MN:71;WI:2;AZ:2;FL:2;SC:1;MO:1;OK:1;AL:1,medium,132
549300Z8UWZMQ33WI653,,,,unmatched,138,133,130,IA:130;MN:2;WI:1,low,130
549300FX2QBKG7ZTBX37,,,,unmatched,298,221,129,IA:129;NE:58;SD:27;AZ:4;TX:1;TN:1;FL:1,low,129
254900U7G0LJ4QNSFC86,,,,unmatched,257,224,122,IA:122;MN:98;WI:2;IL:1;AZ:1,low,122
254900S2BHB4ZY0JPI53,,,,unmatched,148,125,122,IA:122;AZ:1;MN:1;IL:1,low,122
PS6WLKTYGZOKK05G5O59,,,,unmatched,233,189,117,IA:117;NC:9;TX:7;OH:6;IN:4;CO:4;GA:4;SC:3;WI:3;KY:3,low,117
254900OM76KUNZP81M89,,,,unmatched,111,109,104,IA:104;NE:2;AZ:1;MN:1;WV:1,low,104
25490072C0PMGDUJQU77,,,,unmatched,137,107,102,IA:102;MN:3;AR:1;MO:1,low,102
549300TRBLKWZO8LPT76,,,,unmatched,234,141,101,IA:101;IL:36;WI:1;FL:1;NE:1;AZ:1,low,101
549300JVXDPLF4P32H95,,,,unmatched,117,100,99,IA:99;MO:1,low,99
549300NJVKCDJA5YC939,,,,unmatched,5321,3783,98,GA:982;AZ:757;CA:454;MN:450;FL:310;CO:204;SC:183;TX:102;IA:98;NC:96,high,98
549300EES32R2VOEK894,,,,unmatched,589,402,98,IA:98;WI:90;IL:88;OH:53;IN:31;KS:19;MI:15;MO:7;NE:1,low,98
5493003Y4D5054GY3J13,,,,unmatched,127,103,97,IA:97;MO:2;KS:1;AZ:1;FL:1;MN:1,low,97
254900XQNDJJMBTOTK04,,,,unmatched,131,129,97,IA:97;NE:30;IN:1;CO:1,low,97
549300AQ83ZR1PW5DB53,,,,unmatched,263,222,94,IL:115;IA:94;WI:3;MI:3;MO:2;TX:1;NJ:1;OH:1;FL:1;AZ:1,low,94
254900A1GT4B0CJ1GH46,,,,unmatched,102,94,92,IA:92;MO:2,low,92
549300UMP0GPLDSH4L61,,,,unmatched,98,92,91,IA:91;MN:1,low,91
549300AG10BX85DF5S49,,,,unmatched,6424,4978,90,IL:1069;CA:805;OK:712;NJ:554;WA:321;WI:169;TX:155;MA:150;DE:122;IA:90,high,90
549300HR2TLJ7IGFMV18,,,,unmatched,117,116,88,IA:88;IL:27;FL:1,low,88
549300RWHDQQ6O8UNG56,,,,unmatched,103,87,87,IA:87,low,87
2138009TTY1M4OJRXV14,,,,unmatched,340,287,82,IL:192;IA:82;FL:5;AZ:3;WI:2;SC:2;MO:1,low,82
254900UKANDAKWQ7CR03,,,,unmatched,87,84,81,IA:81;MN:3,low,81
2549002IXACRD1HE6A92,,,,unmatched,101,94,80,IA:80;NE:13;MO:1,low,80
254900C4L5I47E388980,,,,unmatched,82,76,76,IA:76,low,76
254900JG0TE6ZVYQ7857,,,,unmatched,79,77,75,IA:75;MN:1;WI:1,low,75
549300K04ZGWYV7LDX51,,,,unmatched,117,75,75,IA:75,low,75
549300XXX5RVRVYNKY79,,,,unmatched,88,78,72,IA:72;IL:5;WI:1,low,72
549300JGL6C3EZEB8H05,,,,unmatched,77,73,72,IA:72;MO:1,low,72
549300DWS85AHLUZHB50,,,,unmatched,117,103,68,IA:68;IL:16;MO:4;FL:4;WI:2;CO:2;UT:1;CA:1;GA:1;NM:1,low,68
25490003YGASV5ENH153,,,,unmatched,75,66,66,IA:66,low,66
25490031SXYH24299E86,,,,unmatched,117,90,65,IA:65;SD:23;MN:1;CO:1,low,65
549300IFAGUDY5MUY541,,,,unmatched,103,84,65,IA:65;IL:11;WI:3;MO:2;MN:2;IN:1,low,65
254900DJ8WC0BQHYR275,,,,unmatched,114,106,64,IA:64;MN:34;MI:2;WI:1;AZ:1;CO:1;WY:1;FL:1;ND:1,low,64
25490034TADWBQX5BB10,,,,unmatched,234,195,63,WI:128;IA:63;IL:3;MO:1,low,63
549300DUVDQ4UATCVD64,,,,unmatched,68,63,63,IA:63,low,63
549300XUFWU3F35PWM42,,,,unmatched,580,484,61,NE:423;IA:61,low,61
254900040LMONERSH242,,,,unmatched,122,63,61,IA:61;ND:2,low,61
54930099BVD0E448JX38,,,,unmatched,537,457,60,NE:353;IA:60;MN:15;MO:7;CO:6;FL:3;SD:2;KS:2;TX:2;ID:1,low,60
254900XRTANBKSC2EB64,,,,unmatched,63,59,59,IA:59,low,59
549300XY02VS45I5ZZ90,,,,unmatched,70,58,57,IA:57;MO:1,low,57
549300M25807V5I2K649,,,,unmatched,69,64,56,IA:56;WY:4;MO:2;MN:2,low,56
2549000C5KZ15Q2U9V68,,,,unmatched,84,56,56,IA:56,low,56
254900F6O4NCRVOV3J04,,,,unmatched,59,56,56,IA:56,low,56
549300KDKLGZFAT7RD25,,,,unmatched,75,56,56,IA:56,low,56
549300OQY2Y402FHFI71,,,,unmatched,62,56,56,IA:56,low,56
875500ZJDRM0XDIDE169,,,,unmatched,59,56,56,IA:56,low,56
549300AT7EB9FJAF0E61,,,,unmatched,16759,10956,55,IN:2746;IL:2207;MN:1877;MI:1211;TN:999;WI:824;KY:489;ND:135;FL:59;IA:55,high,55
