lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,new_mexico_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,2972,0,2972,high,nm_wv_curated map for NM activity (2972 NM originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,2298,0,2298,high,nm_wv_curated map for NM activity (2298 NM originations); slug=united-wholesale-mortgage.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,2173,0,2173,high,nm_wv_curated map for NM activity (2173 NM originations); slug=guild-mortgage-metrowest.
549300GRGZDEH4ZGQS06,WATERSTONE MORTGAGE CORPORATION,186434,waterstone-mortgage,Waterstone Mortgage Corporation,high,nm_wv_curated+nm_wv_gleif+public_nmls,2064,0,2064,high,nm_wv_curated map for NM activity (2064 NM originations); slug=waterstone-mortgage.
5493007B1GAUZGYHPR07,NUSENDA,477659,nusenda-credit-union,Nusenda Credit Union,high,nm_wv_curated+nm_wv_gleif+public_nmls,1881,0,1881,high,nm_wv_curated map for NM activity (1881 NM originations); slug=nusenda-credit-union.
549300CIQ950OK0BS407,SUNWARD,451711,sunward-federal-credit-union,Sunward Federal Credit Union,high,nm_wv_curated+nm_wv_gleif+public_nmls,1093,0,1093,high,nm_wv_curated map for NM activity (1093 NM originations); slug=sunward-federal-credit-union.
54930052M48FOD3CWA54,"PRIMARY RESIDENTIAL MORTGAGE, INC.",3094,primary-residential-mortgage,"Primary Residential Mortgage, Inc.",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,1071,0,1071,high,nm_wv_curated map for NM activity (1071 NM originations); slug=primary-residential-mortgage.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,822,0,822,high,nm_wv_curated map for NM activity (822 NM originations); slug=veterans-united-west-valley.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,819,0,819,high,nm_wv_curated map for NM activity (819 NM originations); slug=amerihome-mortgage.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,nm_wv_curated+nm_wv_gleif_reidentify+public_nmls,789,0,789,high,nm_wv_curated map for NM activity (789 NM originations); slug=loandepot.
