lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,nm_originations,states_with_originations,priority_match,new_mexico_originations
549300GRGZDEH4ZGQS06,,,,unmatched,9623,7079,2064,NM:2064;FL:832;OK:493;TX:430;VA:402;WI:395;AZ:386;ID:349;MO:235;MD:195,high,2064
5493007B1GAUZGYHPR07,,,,unmatched,3033,1896,1881,NM:1881;TX:15,medium,1881
549300CIQ950OK0BS407,,,,unmatched,1888,1252,1093,NM:1093;CA:151;CO:8,medium,1093
54930052M48FOD3CWA54,,,,unmatched,13770,9570,1071,MD:1466;NM:1071;RI:690;FL:582;NC:479;TX:475;CO:384;CA:363;UT:355;TN:283,high,1071
FU7RSW4CQQY98A2O7J66,,,,unmatched,11003,5995,772,OK:2384;TX:1139;CO:853;NM:772;AZ:237;KS:200;MO:147;AR:125;FL:16;OH:13,high,772
2549008NZFLT1BQ8EN23,,,,unmatched,756,504,504,NM:504,medium,504
549300L3IHIP0RH6IY76,,,,unmatched,736,426,425,NM:425;WA:1,low,425
549300WYBPIWKK6SQC06,,,,unmatched,14525,11534,397,MN:6525;AZ:1256;WI:1031;ND:674;FL:407;MO:405;NM:397;KS:352;TN:190;CO:39,high,397
549300ZBXINP1Y94CN02,,,,unmatched,1887,1336,376,OR:626;NM:376;WA:276;CA:33;AZ:8;CO:8;ID:7;MT:2,medium,376
549300H6J0XZXQGKDW16,,,,unmatched,558,368,367,NM:367;CO:1,low,367
2549008TT6UNYR7AXF54,,,,unmatched,5231,3566,349,WA:697;CO:538;TX:487;NM:349;OR:322;AZ:282;ID:262;KS:218;CA:113;MI:91,high,349
54930049L5WINET09Q97,,,,unmatched,16126,10736,339,FL:2049;TX:1245;AZ:1032;OH:780;AR:515;MO:431;NC:399;TN:377;GA:377;NM:339,high,339
549300L5PE7ZGYRW5Q15,,,,unmatched,414,356,338,NM:338;TX:12;AZ:2;CO:1;TN:1;AL:1;FL:1,low,338
2549008US5LUWX2ZH247,,,,unmatched,462,312,312,NM:312,low,312
