year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MO,54930049L5WINET09Q97,"CLICK N' CLOSE, INC.",566,431,29047:85; 29095:70; 29091:55; 29165:34; 29077:22,202,140,48,41,0,46.87,32.48,11.14,national
2025,MO,549300DF7LT6VI5BQC34,,518,430,29077:154; 29097:72; 29043:56; 29109:39; 29059:17,382,36,6,6,0,88.84,8.37,1.4,national
2025,MO,549300P8K0GPRS1CUS51,,490,429,29127:101; 29021:54; 29173:45; 29163:43; 29113:39,429,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",964,421,29095:75; 29189:61; 29047:44; 29183:28; 29029:18,281,77,61,2,0,66.75,18.29,14.49,national
2025,MO,549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,2088,421,29047:47; 29099:40; 29183:20; 29095:18; 29077:13,421,0,0,0,0,100.0,0.0,0.0,national
2025,MO,54930023DLYUOD6GKQ42,,566,414,29083:77; 29019:65; 29051:56; 29037:49; 29015:47,412,0,1,1,0,99.52,0.0,0.24,national
2025,MO,549300VCMRO4ST680C11,VILLAGE CAPITAL & INVESTMENT LLC,879,413,29077:36; 29189:35; 29095:29; 29099:28; 29169:26,1,126,282,4,0,0.24,30.51,68.28,national
2025,MO,549300TJF420N3F01V87,,559,411,29095:111; 29101:43; 29083:41; 29001:41; 29015:29,404,4,2,1,0,98.3,0.97,0.49,national
2025,MO,549300WYBPIWKK6SQC06,Bell Bank,547,405,29095:99; 29189:59; 29019:52; 29183:49; 29047:25,321,57,25,2,0,79.26,14.07,6.17,national
2025,MO,5493008JUW0FLRMO0W64,,530,404,29095:208; 29047:77; 29037:45; 29165:24; 29101:14,255,117,30,2,0,63.12,28.96,7.43,national
2025,MO,549300L8JRY60EOROT34,,482,400,29189:237; 29510:79; 29099:27; 29183:24; 29029:7,388,8,3,1,0,97.0,2.0,0.75,national
