lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ri_originations,states_with_originations,priority_match,rhode_island_originations
549300KWXO8FUM7L0E14,,,,unmatched,3885,3060,18,CT:2765;MA:269;RI:18;NH:6;FL:1;PA:1,medium,18
549300T04FOW0XMN1L26,,,,unmatched,22,22,18,RI:18;MA:4,low,18
549300H8H31LPYGJEW50,,,,unmatched,1728,1342,17,MA:1194;NH:105;ME:20;RI:17;FL:6,high,17
5493003B2LEGQHDWRN55,,,,unmatched,1477,885,14,MA:652;NH:72;VA:35;CT:17;RI:14;ME:12;MD:10;NJ:9;CA:9;FL:8,high,14
549300SIZ5KBISEZE503,,,,unmatched,694,470,13,MA:441;RI:13;CT:8;NH:4;ME:4,medium,13
549300DASRDHPPEK5V15,,,,unmatched,180,119,13,MA:106;RI:13,medium,13
5493000GQWJTTR0TEH83,,,,unmatched,611,423,12,CT:409;RI:12;VT:1;MA:1,low,12
5493000FSTFO9AWR2J40,,,,unmatched,1266,777,11,MA:761;RI:11;NH:5,high,11
549300GBZNWRGLS7CP89,,,,unmatched,352,253,11,MA:242;RI:11,medium,11
549300HRKD2IJSOPRA57,,,,unmatched,293,255,11,MA:184;CT:37;RI:11;FL:8;NH:7;ME:5;SC:2;NY:1,medium,11
549300LI67PLCC1Z3P80,,,,unmatched,512,330,10,MA:296;CT:14;RI:10;NH:8;VT:1;FL:1,medium,10
254900QY5ST0J7P6M123,,,,unmatched,333,209,10,CT:192;RI:10;FL:4;MA:2;NH:1,low,10
254900QRD0ZXHH08TX87,,,,unmatched,4054,2443,9,TX:2019;FL:138;SC:102;LA:47;CO:32;UT:27;OK:15;MA:15;RI:9;PA:5,high,9
549300XTSMAC5DOX6447,,,,unmatched,494,382,9,MA:357;RI:9;NH:7;CT:5;ME:3;VT:1,medium,9
5493005DJAOTPGS83Z81,,,,unmatched,998,679,8,MA:640;CT:22;RI:8;FL:3;ME:3;NH:2;SC:1,high,8
5493008Q2ZM3OTLTQH25,,,,unmatched,736,445,8,MA:425;NH:12;RI:8,medium,8
549300E2EE7WCBVR5I65,,,,unmatched,512,360,8,MA:352;RI:8,medium,8
549300J8Y8IPQFMMIT88,,,,unmatched,369,253,8,MA:231;RI:8;NH:7;IL:2;NC:1;ME:1;IN:1;MI:1;FL:1,medium,8
5493008PQSMR41Y70C36,,,,unmatched,502,319,8,MA:104;FL:66;MO:38;NH:28;CT:13;VT:12;CO:11;PA:9;RI:8;AZ:6,medium,8
5493005NN76XZ2NOFH19,,,,unmatched,731,533,7,MA:519;CT:7;RI:7,high,7
549300BOX0L2YKKXKO38,,,,unmatched,110,85,7,MA:77;RI:7;NH:1,medium,7
549300IYKILIU506KA05,,,,unmatched,1150,811,6,MA:571;CT:229;RI:6;ME:2;NH:1;NJ:1;PA:1,high,6
549300SZBQMYMAL3OM08,,,,unmatched,245,187,6,MA:169;NH:7;RI:6;CT:2;ME:2;FL:1,medium,6
5493005HTCBH4TWCVM82,,,,unmatched,801,523,6,CT:332;MA:152;NH:14;ME:12;RI:6;FL:5;MD:1;VT:1,medium,6
5493002AZUZUDBY8ZU75,,,,unmatched,158,101,6,MA:95;RI:6,medium,6
549300M2W1M6WRAK9S59,,,,unmatched,116,78,6,MA:71;RI:6;NH:1,medium,6
549300UG1DH7RQL41718,,,,unmatched,120,81,6,CT:59;RI:6;CA:3;MA:3;FL:2;NJ:2;NC:2;ME:1;NY:1;NH:1,low,6
5493009OLY1HC3F0SB77,,,,unmatched,1220,834,5,CT:569;MA:166;NY:67;FL:18;RI:5;NH:4;SC:3;NJ:2,medium,5
549300HQL7U3JZ4LCJ17,,,,unmatched,130,106,5,CT:90;MA:9;RI:5;FL:1;MD:1,low,5
VMDPCBOQ43W3PZTYZL93,,,,unmatched,1455,1177,4,MA:1173;RI:4,high,4
549300RS5LTZ0JDZYI59,,,,unmatched,373,311,4,MA:300;NH:4;RI:4;ME:3,medium,4
549300MYAXFDGEI4NZ65,,,,unmatched,236,175,4,MA:118;NH:49;RI:4;CT:2;SC:1;FL:1,medium,4
549300B4RK7F18UZ4X46,,,,unmatched,27,25,4,MA:21;RI:4,low,4
5493006NTCY0P06JR884,,,,unmatched,1543,979,3,MA:930;NH:37;ME:9;RI:3,high,3
5493000NZZZU3GFIYL71,,,,unmatched,860,562,3,MA:552;RI:3;NH:3;ME:1;AL:1;CT:1;FL:1,high,3
549300S5NLOTO329NX77,,,,unmatched,648,571,3,NY:409;NJ:56;VT:28;MA:22;CT:19;NH:16;ME:12;PA:5;RI:3;FL:1,medium,3
549300CHBB3GN7JFXU86,,,,unmatched,655,474,3,MA:394;FL:35;VT:33;NH:4;RI:3;ME:2;CT:1;AL:1;TX:1,medium,3
549300YOEBGKPKU43Q28,,,,unmatched,321,214,3,MA:183;CT:23;RI:3;NY:2;LA:1;VT:1;ME:1,medium,3
549300RIPPSJXAQKZ383,,,,unmatched,764,557,3,IL:272;WI:202;IN:27;NJ:14;MA:7;FL:6;AZ:5;RI:3;TN:3;CT:3,medium,3
549300SH2PPMV71O6830,,,,unmatched,50,35,3,MA:32;RI:3,low,3
254900J5OSYRB4AN2309,,,,unmatched,200,76,3,CT:71;RI:3;NC:1;FL:1,low,3
