lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ks_originations,states_with_originations,priority_match
54930034MNPILHP25H80,,,,unmatched,11008,7952,533,TX:2178;OK:1547;SC:653;KS:533;AR:350;NJ:337;WV:337;MO:254;FL:223;NM:216,high
549300214PKB2Y1ZWH75,,,,unmatched,615,568,524,KS:524;MO:33;WY:2;AZ:2;AR:2;MN:1;ID:1;OK:1;TX:1;CO:1,medium
VNOO6EITDJ2YUEBMSZ83,,,,unmatched,4454,2686,496,MO:808;KS:496;CO:407;AZ:328;IL:104;TX:102;NM:97;WI:83;IA:55;CA:52,medium
549300LG5340S24M4N89,,,,unmatched,1601,1169,495,CO:667;KS:495;WY:5;AZ:2,medium
549300IXP5DNWSGY6F96,,,,unmatched,861,548,473,KS:473;AR:28;OK:25;MO:17;FL:3;OH:1;KY:1,medium
213800XR2TCBQJSF1X93,,,,unmatched,11823,6849,430,MO:523;TX:518;KS:430;FL:383;NC:354;WA:335;CA:313;GA:257;VA:252;IL:206,high
5493003P55WOWIBVUF09,,,,unmatched,696,430,430,KS:430,low
549300T7AIY7RU1YDP31,,,,unmatched,2212,1448,423,CO:489;KS:423;MO:254;WY:84;TX:51;UT:35;ID:25;NM:19;FL:17;AZ:6,medium
549300TJF420N3F01V87,,,,unmatched,1750,1269,409,MO:411;KS:409;OK:249;AR:168;TX:13;CO:7;FL:3;AZ:2;NM:2;NE:1,medium
549300UFWBQTD1W41E26,,,,unmatched,789,464,405,KS:405;MO:59,low
5493000NYUJT9UC6G261,,,,unmatched,8132,5519,382,MO:1526;IL:660;FL:521;CA:395;KS:382;WA:233;AL:224;IN:223;ME:215;GA:191,high
254900TTZ395IC926125,,,,unmatched,10564,7434,368,CA:2290;TX:605;OR:449;KS:368;FL:341;AZ:307;MA:268;CO:267;TN:243;MD:215,high
549300UF3FPC7U6RFC59,,,,unmatched,10804,7285,353,MO:4768;CO:733;OK:544;KS:353;NC:269;AR:104;FL:91;IL:68;IA:46;TX:35,high
549300WYBPIWKK6SQC06,,,,unmatched,14525,11534,352,MN:6525;AZ:1256;WI:1031;ND:674;FL:407;MO:405;NM:397;KS:352;TN:190;CO:39,high
9845001DAE89414CBB55,,,,unmatched,8677,2547,335,IN:514;MI:449;WI:337;KS:335;IL:282;TX:174;FL:129;MO:63;OH:56;AZ:32,medium
5493008JUW0FLRMO0W64,,,,unmatched,968,756,321,MO:404;KS:321;TX:15;GA:4;VA:3;CA:2;IL:1;WA:1;MN:1;NC:1,medium
LDVFX8JEECFFE8HRWA73,,,,unmatched,6317,3757,307,NE:1773;IL:646;CO:466;KS:307;MO:215;IA:191;SD:54;WY:34;TX:12;WI:8,medium
254900RFZH9I62FGU045,,,,unmatched,2305,1681,298,MS:546;TX:362;KS:298;OK:222;MO:111;IN:62;AR:23;FL:14;WA:8;GA:7,medium
549300G5DUB6RE1MCL12,,,,unmatched,342,288,281,KS:281;CO:2;TX:2;HI:1;OK:1;MO:1,low
5493009SXBJ8LKIU7Q54,,,,unmatched,418,289,242,KS:242;MO:39;CO:8,low
549300IY6RZNCBF0QZ14,,,,unmatched,267,252,238,KS:238;MO:10;ID:1;GA:1;MS:1;KY:1,low
549300KR4ZW8KJC82O47,,,,unmatched,529,433,224,KS:224;MO:42;TX:27;AK:15;TN:13;FL:11;CO:8;MS:6;VA:6;NC:6,medium
2549008TT6UNYR7AXF54,,,,unmatched,5231,3566,218,WA:697;CO:538;TX:487;NM:349;OR:322;AZ:282;ID:262;KS:218;CA:113;MI:91,high
549300SPHVO4KAGQUX53,,,,unmatched,263,245,211,KS:211;CO:12;OH:5;OK:5;FL:3;IA:2;NM:2;ID:1;IL:1;AZ:1,low
254900PCN2EQDRMIHV68,,,,unmatched,737,380,205,KS:205;OK:104;MO:66;NE:3;AR:1;CO:1,low
549300JMT2KAYN9PTX82,,,,unmatched,461,276,202,KS:202;MO:49;NE:19;OK:6,low
FU7RSW4CQQY98A2O7J66,,,,unmatched,11003,5995,200,OK:2384;TX:1139;CO:853;NM:772;AZ:237;KS:200;MO:147;AR:125;FL:16;OH:13,high
254900L3UJN7196A5W71,,,,unmatched,354,269,197,KS:197;NE:56;MO:14;NM:1;SD:1,low
5493007GBJOK22LYB425,,,,unmatched,327,195,193,KS:193;OK:2,low
