lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
549300BF788YRGP1OB53,,,,unmatched,114,72,70,FL:70;PA:1;GA:1,high
54930059GZZ7G4G40O53,,,,unmatched,3466,2535,69,TN:1004;NC:922;TX:376;SC:117;FL:69;GA:21;MA:11;CA:9,high
549300B4IYL7TZT8FA34,,,,unmatched,2745,1771,69,CA:637;GA:512;TX:184;TN:130;SC:110;NC:100;FL:69;MA:26,high
254900BBWJ82FQDQ6823,,,,unmatched,1378,920,69,NJ:262;TN:132;TX:94;PA:71;SC:70;FL:69;NY:68;MA:61,high
984500F03B9034CQB904,,,,unmatched,2997,377,69,TX:79;FL:69;NC:60;CA:45;GA:38;PA:35;TN:29;MA:13,high
70WY0ID1N53Q4254VH70,,,,unmatched,4625,1715,68,CA:975;TX:663;FL:68;NC:4;GA:4;TN:1,high
549300L1DBFIJZI8LA40,,,,unmatched,1733,1251,67,GA:632;SC:365;TN:124;FL:67;NC:62;TX:1,high
549300Q02LGIN9AXKP98,,,,unmatched,2016,1236,66,CA:824;TX:97;FL:66;GA:63;NC:48;NJ:42;NY:33;MA:24,high
5493008PQSMR41Y70C36,,,,unmatched,321,191,66,MA:104;FL:66;PA:9;NC:5;GA:4;CA:1;TX:1;TN:1,high
549300YMIOLU51FSTO86,,,,unmatched,1406,1028,64,PA:346;NJ:322;NY:108;TX:98;FL:64;GA:45;NC:19;TN:15,high
549300XED7IBK9VVQH70,,,,unmatched,1212,859,64,TX:273;PA:136;NY:114;CA:75;NC:70;SC:69;FL:64;NJ:45,high
254900SUZ313OILKVD67,,,,unmatched,190,161,64,FL:64;SC:58;MA:9;CA:8;NC:6;NJ:6;PA:4;GA:4,high
549300D6BCLQFX6G1K95,,,,unmatched,106,74,64,FL:64;NC:4;TX:2;GA:2;TN:1;SC:1,high
549300PC4MFWQBNVKG88,,,,unmatched,2616,1824,63,TX:1080;CA:169;PA:165;NC:139;TN:130;FL:63;SC:37;GA:23,high
549300NFA0VY9215VV25,,,,unmatched,281,131,63,FL:63;TX:48;GA:10;NC:9;TN:1,high
54930039UO39UJGI7078,,,,unmatched,2637,2030,62,NC:1749;SC:88;FL:62;PA:60;DC:36;GA:14;TX:14;TN:7,high
9845007CY0EC0F59W414,,,,unmatched,1085,704,62,CA:391;TX:104;GA:81;FL:62;PA:36;NJ:14;SC:6;TN:4,high
549300GZY55UGMUMI322,,,,unmatched,1025,761,61,TN:662;FL:61;GA:31;SC:5;NC:2,high
5493007CLWQN2S6IZK91,,,,unmatched,896,464,61,TX:115;NC:67;FL:61;GA:55;CA:48;TN:25;SC:22;NJ:22,high
984500CD6F0743B8F530,,,,unmatched,544,424,61,GA:124;PA:74;FL:61;TN:49;NC:48;NY:24;TX:16;NJ:11,high
549300YPBBHUEKV1YC68,,,,unmatched,613,377,61,TX:159;SC:64;FL:61;CA:32;GA:30;NJ:14;NC:11;PA:3,high
549300UVOSI4XZZGUE14,,,,unmatched,813,318,61,NC:67;FL:61;GA:52;CA:43;SC:43;TN:27;NJ:25,high
5493009KQ3D6Q5VM0B61,,,,unmatched,547,76,61,FL:61;GA:10;NC:5,high
5493005XMJQ1GSXUGT67,,,,unmatched,864,475,60,NC:166;TX:111;TN:98;FL:60;GA:25;SC:15,high
549300COIWXM618UBE82,,,,unmatched,2491,1647,59,NC:880;CA:506;TN:123;FL:59;SC:56;GA:19;PA:4,high
549300AT7EB9FJAF0E61,,,,unmatched,1788,1174,59,TN:999;FL:59;TX:33;SC:18;PA:16;CA:16;NC:13;GA:12,high
549300GPO6DWUZR4UY30,,,,unmatched,1421,1108,59,NC:347;DC:280;MA:155;SC:127;PA:119;FL:59;TN:9;NJ:7,high
549300916KMYQ118CX89,,,,unmatched,1125,858,59,SC:680;NC:106;FL:59;GA:11;TX:2,high
4EP6JBYBTPTQ47LZOB67,,,,unmatched,439,345,59,CA:66;FL:59;MA:51;NY:40;GA:27;NC:22;TX:20;SC:18,high
549300LE3ZOZXUS7W648,,,,unmatched,127,91,59,FL:59;TX:22;GA:4;CA:3;SC:2;TN:1,high
549300CY7WNAHKHYSJ73,,,,unmatched,4612,3609,58,TX:2279;NC:910;CA:261;TN:60;FL:58;GA:21;SC:13;PA:4,high
549300N3JBQ15RQ7AV97,,,,unmatched,1117,760,58,CA:603;FL:58;TX:45;NC:34;GA:12;PA:3;NJ:3;TN:2,high
549300O7SGM8FH65GQ47,,,,unmatched,104,66,58,FL:58;CA:2;GA:2;SC:1;TX:1;TN:1;NJ:1,high
549300DNWSJUNAWUM003,,,,unmatched,1221,674,57,NC:247;PA:92;SC:63;NY:60;FL:57;DC:34;CA:33;GA:23,high
549300YJ77JVC6X3BO61,,,,unmatched,285,276,57,GA:213;FL:57;SC:5;NC:1,high
54930095UWUUXAWASB02,,,,unmatched,1764,1346,56,NC:673;SC:369;DC:148;FL:56;PA:53;GA:13;TX:12;TN:11,high
254900YA1AQXNM8QVZ06,,,,unmatched,501,386,56,CA:85;TX:59;FL:56;NY:34;GA:32;NC:29;TN:27;MA:21,high
549300AENO88GEUWCZ39,,,,unmatched,326,198,56,FL:56;CA:52;TX:34;SC:25;NC:12;TN:7;NJ:6;GA:4,high
894500SYP6ZV71JDZH10,,,,unmatched,62,58,56,FL:56;GA:2,high
549300R8VPSFM828B312,,,,unmatched,3737,2148,55,NY:1805;CA:177;FL:55;NJ:33;NC:19;PA:15;TX:13;TN:11,high
549300BXWU32AYWT1A56,,,,unmatched,1324,845,55,TX:257;NY:161;NJ:90;PA:86;CA:70;FL:55;GA:53;NC:28,high
98450058D88OE4463626,,,,unmatched,240,172,55,CA:60;FL:55;TX:22;NC:13;NJ:12;PA:5;GA:3;SC:1,high
6PTKHDJ8HDUF78PFWH30,,,,unmatched,183,151,55,FL:55;CA:35;TX:20;GA:8;NJ:7;NC:5;MA:5;NY:5,high
549300QVGK8WC4HQ3C28,,,,unmatched,1041,647,54,PA:185;TN:124;GA:109;NJ:99;FL:54;NC:31;SC:19;TX:12,high
549300AOB4S7B0DB7863,,,,unmatched,351,179,54,FL:54;NJ:20;GA:20;CA:18;DC:17;TX:16;NC:15;NY:10,high
5493005DKMV1IHIM8E20,,,,unmatched,3562,2453,52,PA:1700;NJ:555;FL:52;CA:47;NC:28;GA:26;SC:18;TN:10,high
549300BOXNV8VLRBDT24,,,,unmatched,1396,640,51,CA:220;TX:86;NC:59;FL:51;GA:45;TN:44;NJ:36;SC:35,high
5493000IRWB5WYTD2P48,,,,unmatched,88,56,51,FL:51;GA:4;TX:1,high
