lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,la_originations,states_with_originations,priority_match
5493002F9OWLKRICTY67,,,,unmatched,776,492,367,LA:367;TX:79;MS:15;NC:5;FL:5;AR:5;GA:3;AL:3;TN:3;SC:3,medium
549300QAJ2SD5X8T7X10,,,,unmatched,420,352,343,LA:343;MS:7;FL:1;TN:1,low
5493007JVSQYT5Y2V066,,,,unmatched,354,326,324,LA:324;AR:2,low
549300DOQN3O7NL3CA31,,,,unmatched,367,301,297,LA:297;TX:2;MS:1;KS:1,low
549300684I276INJKK63,,,,unmatched,353,297,297,LA:297,low
549300R7HGHP2I754087,,,,unmatched,9404,7331,296,IL:1045;TX:784;FL:695;GA:640;AL:618;MI:430;SC:350;LA:296;NC:279;CO:224,high
549300B8JQ9XD5FQQH32,,,,unmatched,322,308,291,LA:291;TX:11;MS:2;FL:1;AR:1;ID:1;GA:1,low
549300SFG15JDKI5MD22,,,,unmatched,3742,2733,282,MS:1973;AL:311;LA:282;FL:109;TN:28;GA:5;TX:5;NC:3;SC:3;IL:2,medium
5493001QMUDK2ML5S840,,,,unmatched,789,265,265,LA:265,low
254900YPPMV9UM5FUW09,,,,unmatched,1833,1256,256,NC:334;LA:256;MS:126;VA:100;DC:91;GA:80;MD:74;FL:47;IL:28;TX:15,high
549300II7Y8V2KY9TM28,,,,unmatched,401,282,250,LA:250;TX:17;MS:11;AR:1;AL:1;GA:1;FL:1,low
254900GVA8WBFNUQTV33,,,,unmatched,247,232,225,LA:225;KS:3;MO:1;TX:1;AL:1;MS:1,low
549300ESV371MYVWQV54,,,,unmatched,267,218,208,LA:208;MS:9;AL:1,low
549300PQLK8E48ILXV41,,,,unmatched,7850,4388,192,CA:533;FL:421;MI:227;TX:213;LA:192;AZ:190;MO:161;GA:156;NC:154;IL:149,high
25490058TX0QV62WQ461,,,,unmatched,324,193,190,LA:190;MS:3,low
549300S0KM4FY7WGCT56,,,,unmatched,214,190,190,LA:190,low
549300K2EV48DVSYNV15,,,,unmatched,207,197,189,LA:189;TX:5;AR:1;FL:1;KS:1,low
5493001XKL0FTNOJ0866,,,,unmatched,8198,5554,188,AZ:794;MO:589;FL:414;TX:386;IN:359;OH:291;GA:260;IL:215;LA:188;NM:163,high
5493002RF1ERFA2XR050,,,,unmatched,12133,8976,187,MS:2189;GA:2005;AL:1966;TN:941;SC:545;FL:425;NC:301;LA:187;KY:161;VA:156,high
254900GNK8YXIZQ6LW40,,,,unmatched,345,220,187,LA:187;TX:33,low
549300OMHGOGEWTCI138,,,,unmatched,204,193,184,LA:184;MS:7;FL:1;AL:1,low
549300M03EN3OQEDU087,,,,unmatched,3127,1337,183,MS:1066;LA:183;AL:71;FL:17,medium
549300FJ9SHI3GDB7327,,,,unmatched,217,183,183,LA:183,low
254900E9OABDJHASZ507,,,,unmatched,218,182,179,LA:179;MS:3,low
549300RO0FORROX83086,,,,unmatched,254,170,164,LA:164;TX:2;FL:2;AL:1;MS:1,low
5493007CXTOHZ2JBEJ61,,,,unmatched,4205,3270,161,FL:2851;LA:161;AL:85;GA:62;IN:22;TN:18;TX:13;MS:11;NC:9;SC:8,high
549300LDX1HCIL448282,,,,unmatched,235,188,158,LA:158;TX:27;AR:2;AL:1,low
54930082VCNY40XPOB62,,,,unmatched,219,158,158,LA:158,low
54930094EUD08LZEJR51,,,,unmatched,213,156,153,LA:153;TX:3,low
549300M4E3MK3F5GQW40,,,,unmatched,160,152,152,LA:152,low
5493005EWJNDWPLNG328,,,,unmatched,195,178,151,LA:151;AR:27,low
549300T1KLQQ7B84EZ41,,,,unmatched,206,168,148,LA:148;TX:8;AR:6;FL:4;NV:1;AL:1,low
549300BWRXVFSDCUUY93,,,,unmatched,179,147,145,LA:145;TX:2,low
549300V1ZDKDQXFW3339,,,,unmatched,373,145,145,LA:145,low
54930027GUR70U427Y19,,,,unmatched,199,141,141,LA:141,low
549300O1FOCD65WZ9873,,,,unmatched,194,139,138,LA:138;KY:1,low
5493005HN78XQ5US3306,,,,unmatched,243,129,129,LA:129,low
549300G8SAGXEDF5FK39,,,,unmatched,249,172,127,LA:127;KY:18;TX:12;WV:10;MS:2;SC:1;GA:1;KS:1,low
5493006P5IHSK77SZ855,,,,unmatched,2615,1740,125,TX:668;TN:193;AL:175;OK:126;LA:125;MS:77;MI:51;WA:46;NM:44;IN:41,high
254900XSTAR7AIPG0A39,,,,unmatched,144,125,123,LA:123;CA:1;TX:1,low
2549001S0U8EFNDOG816,,,,unmatched,188,179,119,LA:119;AR:56;NC:3;MS:1,low
549300Q3ROEQU3D1IW91,,,,unmatched,19804,2630,114,TX:464;CA:453;AZ:321;FL:160;WA:152;PA:125;NY:122;LA:114;OR:112;OK:54,high
549300E8WNDXIPI7FA49,,,,unmatched,123,112,111,LA:111;AR:1,low
254900K0IC4K6SI7H003,,,,unmatched,111,111,111,LA:111,low
549300MZ53GGF2499G54,,,,unmatched,122,109,109,LA:109,low
549300NG6J01HLGSZW49,,,,unmatched,144,109,109,LA:109,low
549300M63SGBHKKBOE21,,,,unmatched,125,109,108,LA:108;MS:1,low
89450088V2BYQUO61B62,,,,unmatched,183,120,106,LA:106;TX:6;MN:2;FL:1;MS:1;CA:1;IL:1;WA:1;MO:1,low
549300RP00N9TM7RLE66,,,,unmatched,153,106,106,LA:106,low
54930074GUKXKBKNQI12,,,,unmatched,129,104,100,LA:100;TX:2;AR:1;UT:1,low
549300OJTK0IPSNDA832,,,,unmatched,312,192,97,LA:97;MS:34;IL:19;GA:7;TX:6;MI:6;AL:4;TN:3;CA:3;NC:2,low
549300CEGE3J950SQK51,,,,unmatched,106,97,97,LA:97,low
549300MEK4ETDCVHFB89,,,,unmatched,121,96,96,LA:96,low
254900J71IJLMJZJV608,,,,unmatched,124,98,95,LA:95;MS:3,low
PINLJ7T7GLTF48NFP863,,,,unmatched,1520,1173,94,MA:293;AL:200;LA:94;DE:84;CO:73;AR:64;RI:42;NY:40;NM:40;ME:36,medium
5493001WL16YUSR2TI47,,,,unmatched,178,129,91,LA:91;TX:36;MS:1;AR:1,low
5493006RIR31ORKYB608,,,,unmatched,2057,1534,90,CA:395;IA:166;AL:152;TX:133;LA:90;MS:82;AR:56;MN:47;OH:43;WA:37,high
9845006EEFF0EDFA9E57,,,,unmatched,111,107,90,LA:90;TX:14;MI:1;MS:1;AR:1,low
549300DB8DXY0GE82T18,,,,unmatched,135,91,89,LA:89;CO:1;AL:1,low
549300K3SVNVK97FCP36,,,,unmatched,138,91,88,LA:88;MS:3,low
549300DE8TS4EYTPX729,,,,unmatched,5588,4153,87,NJ:1545;PA:992;FL:445;IL:355;TX:171;MA:141;ME:133;LA:87;MD:64;VA:39,high
549300OEQLAPVDI0LD92,,,,unmatched,116,88,87,LA:87;MS:1,low
254900RM3T6WAVE6SA24,,,,unmatched,2446,1847,86,TX:892;NC:100;AZ:97;LA:86;FL:84;CO:83;OK:74;IL:55;GA:54;CA:36,high
549300A5HHOL2ED18C72,,,,unmatched,6706,3194,85,CA:1372;FL:389;TX:211;LA:85;WI:71;MD:62;OH:61;NC:58;MI:55;IL:55,high
549300ZTLWGMV712KR44,,,,unmatched,125,84,84,LA:84,low
549300YWKMUD8J4EF956,,,,unmatched,97,85,82,LA:82;TX:3,low
549300L0RZ1NED0NV967,,,,unmatched,99,83,82,LA:82;MS:1,low
549300IFU5D50EZHEU18,,,,unmatched,124,88,81,LA:81;TX:5;AL:1;FL:1,low
549300IB375I8TZ2FA87,,,,unmatched,106,81,81,LA:81,low
549300JFKW9425KOPI17,,,,unmatched,102,78,78,LA:78,low
549300PFJ7GCGDLB2E65,,,,unmatched,2560,1736,76,GA:836;TX:302;IN:185;FL:95;LA:76;NV:58;MD:43;SC:23;MO:23;VA:21,high
549300DISOL963J03Q15,,,,unmatched,83,78,76,LA:76;AL:2,low
54930020YWIK7HGH2R34,,,,unmatched,4883,3374,73,TX:2983;MN:100;TN:79;LA:73;NC:38;FL:32;AZ:29;KY:10;GA:9;AR:8,high
549300CKG3JGNHH34D61,,,,unmatched,94,93,70,LA:70;FL:11;TX:9;AR:3,low
254900B631B05UVLUA59,,,,unmatched,180,131,66,LA:66;MS:65,low
5493005XMJQ1GSXUGT67,,,,unmatched,1819,1161,65,IN:474;NC:166;TX:111;TN:98;AL:73;LA:65;FL:60;WI:44;GA:25;IL:18,medium
254900ACUWEGW702BR80,,,,unmatched,2748,1846,63,NY:882;NJ:526;FL:179;LA:63;CT:59;TX:51;PA:42;MD:10;AZ:8;OH:6,high
549300O2UK5FUZXQJO34,,,,unmatched,69,64,63,LA:63;MS:1,low
549300VVH8HHFMWL8536,,,,unmatched,2187,1457,62,TX:529;CA:513;LA:62;CO:52;MS:51;AL:25;FL:25;UT:24;AZ:17;OR:13,high
5493001P1J1K386Q4G58,,,,unmatched,70,63,62,LA:62;MS:1,low
549300JVGOSG4QV2ZU37,,,,unmatched,69,62,62,LA:62,low
549300MUEGVFZ2155D91,,,,unmatched,89,61,60,LA:60;TX:1,low
894500TYEZ2FD95KS426,,,,unmatched,68,63,57,LA:57;TX:4;FL:1;AR:1,low
549300J24Z0NH1T4DR15,,,,unmatched,74,57,57,LA:57,low
549300NO5XZV44V0UV76,,,,unmatched,58,57,57,LA:57,low
549300KNRT5UGNCSXM31,,,,unmatched,65,57,56,LA:56;IN:1,low
549300KPBBGW1ZTEPR29,,,,unmatched,85,62,55,LA:55;MS:5;OK:1;GA:1,low
54930045EHC4UJU3BP73,,,,unmatched,103,58,55,LA:55;UT:1;FL:1;MS:1,low
5493008Q3XBC7O0Q4X02,,,,unmatched,921,623,54,MS:378;AL:109;TN:64;LA:54;AR:18,medium
549300EI8WIPSALARU71,,,,unmatched,73,59,54,LA:54;MS:4;FL:1,low
549300MJ3JU3Z2PH5H92,,,,unmatched,55,55,54,LA:54;FL:1,low
5493000V86JDJLM0OV13,,,,unmatched,690,690,52,AL:137;TX:116;MS:85;FL:76;GA:55;LA:52;OK:36;SC:30;TN:29;KY:28,medium
549300Q2Y7B8UEC43S54,,,,unmatched,53,51,50,LA:50;FL:1,low
549300WRDGBHKR1BXL98,,,,unmatched,1383,1014,49,IN:369;MA:146;OH:100;IL:93;MO:82;LA:49;FL:23;TX:13;NY:10;GA:10,medium
5493009F6BJDCZMZ7Y26,,,,unmatched,2920,2083,48,TX:1746;AR:218;LA:48;TN:45;MS:17;SC:4;AL:2;OK:2;FL:1,high
254900QRD0ZXHH08TX87,,,,unmatched,4054,2443,47,TX:2019;FL:138;SC:102;LA:47;CO:32;UT:27;OK:15;MA:15;RI:9;PA:5,high
5493004OB0KD7VERQW98,,,,unmatched,3203,2426,47,TX:1107;KY:411;TN:219;OK:188;IN:175;AL:173;GA:54;LA:47;AR:32;FL:12,high
549300EAO0HUFDR48U74,,,,unmatched,506,380,47,TX:207;AR:104;LA:47;OK:10;MS:7;CO:2;AL:2;MO:1,medium
549300XV2UKEPAMX9H12,,,,unmatched,61,45,45,LA:45,low
549300JXWG67QZF4I652,,,,unmatched,76,45,44,LA:44;FL:1,low
01J4SO3XTWZF4PP38209,,,,unmatched,10900,8002,43,MS:4094;AL:2645;FL:447;TN:322;TX:294;SC:85;GA:53;LA:43;AR:8;NC:5,high
254900MIHY4N3F840P17,,,,unmatched,60,43,43,LA:43,low
549300SHK8JZR89HEF81,,,,unmatched,65,42,42,LA:42,low
54930039UO39UJGI7078,,,,unmatched,7487,5837,41,VA:2077;NC:1749;MD:1552;SC:88;AL:76;FL:62;PA:60;LA:41;DC:36;DE:22,high
549300CPKDUJKREQRG38,,,,unmatched,94,74,41,LA:41;AL:24;TX:6;MS:1;AZ:1;FL:1,low
549300PI7Z6DG3QE2087,,,,unmatched,42,40,40,LA:40,low
549300I1HK1BBZLKOB84,,,,unmatched,647,455,39,TX:111;CA:55;LA:39;FL:30;NY:27;NJ:17;WA:17;AZ:13;CO:11;CT:11,medium
549300I6BXTT1NLNPE10,,,,unmatched,40,39,39,LA:39,low
549300KW705BBINDIZ26,,,,unmatched,335,226,38,TX:106;LA:38;AR:28;OK:18;NM:16;IN:6;WA:4;MO:2;MT:2;FL:1,medium
549300F376WY63AY7896,,,,unmatched,49,40,37,LA:37;MS:2;FL:1,low
5493003JBN8UEVOU8O42,,,,unmatched,77,40,36,LA:36;MS:3;AL:1,low
549300333JQWIP8NLK67,,,,unmatched,67,36,36,LA:36,low
549300HTRLFU2IIL4380,,,,unmatched,1457,281,35,TX:181;LA:35;AR:32;OK:32;MO:1,medium
25490029ZGGK0O5HP605,,,,unmatched,46,34,34,LA:34,low
549300O0BQZ8YGYRA730,,,,unmatched,43,34,34,LA:34,low
549300TCR1BZRVOO2A49,,,,unmatched,54,34,34,LA:34,low
2549007JQKHU8KQ0FC19,,,,unmatched,3867,3257,33,AR:2197;TN:311;IL:243;OK:217;KY:97;MS:61;LA:33;TX:30;OH:25;AL:20,medium
5493006GFSNOUCCL1W91,,,,unmatched,55,38,32,LA:32;MS:6,low
549300PGV74J5SPHTG47,,,,unmatched,555,435,31,MS:348;TN:45;LA:31;AR:7;AL:2;GA:1;FL:1,low
5493003SOHU5A9BPKB06,,,,unmatched,44,31,31,LA:31,low
2549004JE61TGJKFJQ92,,,,unmatched,67,32,30,LA:30;MS:1;VA:1,low
2549003E1YOW83GR2Q12,,,,unmatched,36,30,29,LA:29;MS:1,low
549300B95782G2DYRD47,,,,unmatched,43,26,26,LA:26,low
549300FFVDRROF85IC57,,,,unmatched,11110,774,24,TX:149;NY:106;MI:99;PA:95;SC:54;OH:44;FL:43;MO:39;LA:24;WV:21,medium
549300B1HO0P8G3WYQ31,,,,unmatched,33,23,21,LA:21;AL:1;MS:1,low
549300194LW0QMECAH75,,,,unmatched,32,21,21,LA:21,low
549300YBDQ281GX1LB13,,,,unmatched,31,20,20,LA:20,low
549300YBAW8FZJWPB842,,,,unmatched,456,286,19,TX:267;LA:19,medium
549300LLQD0X2OTG0Y27,,,,unmatched,1196,581,17,RI:205;MA:77;NH:31;DE:20;LA:17;OH:16;NC:16;TX:15;SC:15;FL:14,medium
254900U5VN6O84EWQL12,,,,unmatched,22,16,16,LA:16,low
549300QBX5R3ZBD8FR12,,,,unmatched,592,466,15,OH:182;NC:109;SC:79;PA:27;IN:15;LA:15;KY:11;TN:8;WV:6;MI:5,medium
25490095CTOC97LRQD90,,,,unmatched,23,15,14,LA:14;MS:1,low
549300C5503CI7DSIP33,,,,unmatched,20,13,13,LA:13,low
5493004U68X0X5LVHY72,,,,unmatched,47,22,12,LA:12;MS:8;TX:1;AR:1,low
549300OBO7DOF2KOP535,,,,unmatched,14403,7185,11,TN:4089;AL:1712;GA:598;MS:248;KY:189;TX:159;FL:75;NC:15;SC:14;LA:11,high
549300GKNMX0ZXKVPE54,,,,unmatched,496,429,11,AR:255;TX:154;LA:11;OK:4;MT:2;UT:1;CO:1;FL:1,medium
549300W76QLF060CER73,,,,unmatched,136,109,11,AL:79;MS:18;LA:11;TN:1,low
5493005QK4NV0ZZ5EM64,,,,unmatched,4961,3869,9,MS:3017;AL:513;FL:251;TN:68;LA:9;AR:4;GA:3;NC:2;MO:1;IL:1,medium
5493009XSE00M8B9R434,,,,unmatched,3364,301,9,TX:159;FL:32;NM:24;OK:18;SC:15;IN:13;NC:10;LA:9;AL:4;IL:4,medium
549300UV5JQXLGVWIP44,,,,unmatched,582,332,9,IL:105;TX:61;CA:20;MN:19;OH:13;UT:10;WA:10;GA:10;LA:9;VA:9,medium
549300XPGZ2ODNN94697,,,,unmatched,21,15,9,LA:9;TX:4;MS:1;TN:1,low
549300ZMSSTP768USP32,,,,unmatched,301,219,9,MS:169;AL:38;LA:9;FL:3,low
549300LP3GMTWS4OB353,,,,unmatched,1570,896,7,TX:298;SC:207;AR:177;GA:101;OK:64;NC:12;LA:7;IN:7;AL:7;TN:6,high
5493006HFDG31YJ3MM36,,,,unmatched,483,253,7,OH:119;KY:25;IN:24;MI:14;CA:14;VA:13;FL:8;LA:7;WV:6;IL:5,low
549300OSY236S7MBKO83,,,,unmatched,106,98,7,AL:55;LA:7;TX:6;NC:4;TN:4;MS:3;MO:3;VA:3;AR:3;KY:2,low
2549002YTHQ90AS4OM73,,,,unmatched,252,181,7,CO:174;LA:7,low
254900MFSRXY5UZ4OS50,,,,unmatched,12,7,7,LA:7,low
549300U55IW4J0F8P008,,,,unmatched,13,7,7,LA:7,low
549300QCYEU2QLIWN517,,,,unmatched,1425,1051,4,TX:765;FL:147;SC:53;NC:37;VA:9;GA:6;WA:4;LA:4;PA:4;MD:4,high
549300ZPJVCRRFETOG85,,,,unmatched,1414,751,4,TX:525;NM:156;MS:36;FL:12;AL:12;MI:4;LA:4;CO:1;GA:1,high
5493002QP2ONO47G5R24,,,,unmatched,212,168,4,PA:116;FL:7;TX:6;NJ:4;CA:4;LA:4;AZ:3;GA:3;AL:2;KS:2,medium
5493000JFVFQFL816N45,,,,unmatched,862,529,4,AR:374;TX:63;MO:13;CO:11;NC:10;FL:9;SC:6;CA:5;LA:4;TN:3,medium
549300GYK7N8U42X9587,,,,unmatched,126,114,4,CA:32;NC:12;FL:10;OR:6;NY:5;PA:4;LA:4;TX:4;TN:3;SC:3,medium
549300DM6DAOPSF8HL78,,,,unmatched,236,145,4,MS:79;IN:17;TX:6;TN:6;OK:5;FL:4;KY:4;LA:4;OH:3;IL:2,low
549300X7EIYXZ10LDJ13,,,,unmatched,10,4,4,LA:4,low
T68X8LLAQYRNDV034K14,,,,unmatched,11449,7529,3,GA:3186;NC:1511;TN:1055;SC:924;AL:476;FL:369;LA:3;KY:2;NY:1;IL:1,high
875500CPQ9Z7QEFE5G90,,,,unmatched,2651,1847,3,TX:1366;FL:431;NM:13;CO:7;AR:6;GA:5;LA:3;VA:3;TN:3;NC:3,high
549300VYK2WBD7SST478,,,,unmatched,5040,2626,3,AR:1001;GA:707;FL:429;NC:284;TX:160;TN:15;SC:8;AL:6;LA:3;MO:3,high
254900VECGAWC5CPU773,,,,unmatched,1155,718,3,FL:469;AL:208;GA:15;SC:4;MS:3;LA:3;MO:3;IL:2;MI:2;AZ:1,medium
549300A2N0IEBKSB5I23,,,,unmatched,379,324,3,TX:308;AR:8;LA:3;OK:2;MS:1;SC:1;CO:1,medium
549300BEM32ZRV7MJ178,,,,unmatched,743,312,3,TX:309;LA:3,medium
254900B7OQXWTD0I4K81,,,,unmatched,124,107,3,TX:104;LA:3,medium
549300JQEF6V2RNWCC75,,,,unmatched,1242,794,3,AR:524;MS:155;TN:60;AL:22;GA:12;TX:6;FL:3;LA:3;VA:2;OH:2,medium
5493007B7MEWKMDWUZ73,,,,unmatched,1482,1045,3,MS:973;TN:45;AL:8;AR:6;FL:4;LA:3;TX:2;MO:1;MI:1;IL:1,medium
5493003B20KZ3DEZGB43,,,,unmatched,999,653,2,NY:297;CA:239;IL:49;NJ:34;NV:18;HI:8;LA:2;FL:2;AZ:1;NC:1,high
549300K2JM6ID3V5LO24,,,,unmatched,713,376,2,TN:305;MS:60;AR:7;LA:2;AL:1;FL:1,medium
2549005Z23HAAZ6QDM98,,,,unmatched,654,514,2,AL:366;FL:115;TN:8;GA:4;TX:3;MA:2;LA:2;AR:2;NY:2;NC:2,medium
549300UE4FFDNV7ELD54,,,,unmatched,85,75,2,TX:71;LA:2;OK:1;KS:1,medium
549300YK8RG6J51VOI08,,,,unmatched,72,61,2,TX:55;FL:2;LA:2;OK:1;MS:1,medium
549300OR2C7AGDZFTS24,,,,unmatched,731,606,2,MO:355;IL:188;TN:23;FL:9;SC:4;VA:3;LA:2;AR:2;OK:2;TX:2,medium
5493006HAFES1LQ18W28,,,,unmatched,1684,1418,2,AL:1377;FL:19;GA:11;TN:3;MS:3;LA:2;NC:2;ID:1,medium
549300CYL5ZW4ISL7T55,,,,unmatched,779,629,2,MS:612;TN:6;AL:4;FL:3;LA:2;GA:2,medium
549300BREPLU2KKPI102,,,,unmatched,668,512,2,AR:381;OK:120;MO:7;LA:2;TX:1;NC:1,medium
549300Q4JBLTKDC7J303,,,,unmatched,183,74,2,TX:27;CA:7;NM:7;NY:5;PA:3;OH:3;MO:2;TN:2;NV:2;LA:2,low
254900SG0DG9VHV3LR79,,,,unmatched,247,173,2,MS:145;TN:18;AL:5;LA:2;FL:1;NC:1;TX:1,low
549300LIZH7VW4DFJK44,,,,unmatched,421,161,2,OK:118;AL:12;TX:6;AR:4;NM:3;NE:3;OR:2;LA:2;CO:2;FL:1,low
254900CNZPI5WN45KW48,,,,unmatched,566,437,2,AR:387;MS:22;OK:15;TX:4;AL:2;LA:2;FL:1;MO:1;TN:1;IN:1,low
549300DRZGISDSL1BX02,,,,unmatched,148,80,2,CT:71;MA:3;NH:2;LA:2;FL:1;RI:1,low
549300D003QRZFSQ4N43,,,,unmatched,4923,2415,1,TX:2220;OK:174;NM:6;FL:4;GA:2;KS:2;CO:2;CT:2;LA:1;TN:1,high
549300ZN5MIVRMVHJS09,,,,unmatched,2547,2057,1,GA:1932;SC:41;FL:31;TN:30;AL:10;NC:8;CO:1;MS:1;TX:1;LA:1,high
70WY0ID1N53Q4254VH70,,,,unmatched,7958,3126,1,MI:1286;CA:975;TX:663;AZ:111;FL:68;NC:4;GA:4;CO:4;WA:3;LA:1,high
549300Y817BTHHMVNH95,,,,unmatched,1520,1206,1,TX:1108;MO:79;AL:5;FL:2;ID:2;OK:2;CO:2;LA:1;KS:1;GA:1,high
549300LG8MECYD8F2A55,,,,unmatched,1299,1039,1,TX:1015;OK:9;CO:3;MI:3;FL:2;AR:2;LA:1;MT:1;PA:1;TN:1,high
2549006MTEQ1VE0AAQ20,,,,unmatched,1228,851,1,GA:763;SC:74;NC:4;FL:3;AL:2;KY:1;NJ:1;LA:1;OH:1;MS:1,high
549300GZY55UGMUMI322,,,,unmatched,1348,1023,1,TN:662;AL:258;FL:61;GA:31;SC:5;NC:2;IL:1;MS:1;LA:1;VA:1,high
5493008R64K2UUN2NP30,,,,unmatched,953,644,1,TX:640;OK:1;LA:1;MT:1;NC:1,high
549300M16XETIG2Z5N24,,,,unmatched,534,418,1,TX:409;TN:2;CO:1;IN:1;LA:1;NM:1;GA:1;WA:1;FL:1,medium
549300CTISSNREVLNO46,,,,unmatched,603,383,1,TN:315;NC:47;VA:12;KY:3;IN:2;FL:2;LA:1;SC:1,medium
RA4FKR1AA05ZK88M8034,,,,unmatched,682,337,1,TX:325;AR:2;CO:2;AL:1;MN:1;LA:1;OK:1;TN:1;MT:1;MI:1,medium
549300P6J0MZZT4UMT05,,,,unmatched,540,296,1,TX:295;LA:1,medium
254900VX7NAZSPBPUE16,,,,unmatched,259,235,1,TX:138;CA:76;NV:9;GA:9;LA:1;AZ:1;WA:1,medium
549300YOEBGKPKU43Q28,,,,unmatched,321,214,1,MA:183;CT:23;RI:3;NY:2;LA:1;VT:1;ME:1,medium
254900JRJMMWO6A10H16,,,,unmatched,164,145,1,GA:113;FL:30;LA:1;AL:1,medium
5493008JDUT3R3K1LZ58,,,,unmatched,214,155,1,PA:100;WV:34;OH:19;LA:1;FL:1,medium
549300AJ6XFK1ACXWQ06,,,,unmatched,729,520,1,KY:424;TN:95;LA:1,medium
5493006XE7ZLYUW25E11,,,,unmatched,163,87,1,TX:82;CO:2;KS:1;LA:1;NM:1,medium
5493007PAE4JN4B5BX31,,,,unmatched,84,77,1,GA:33;NC:20;TN:16;FL:5;AL:1;LA:1;PA:1,medium
549300ROGHTFGYNKE773,,,,unmatched,1836,1328,1,AL:1293;GA:11;TN:6;MS:5;FL:3;NC:3;TX:2;OH:1;MO:1;LA:1,medium
549300BR7OTD25RTS027,,,,unmatched,1517,1269,1,MS:869;AL:380;FL:6;TN:6;NC:2;TX:2;CA:1;LA:1;IL:1;IN:1,medium
54930069UB3VEGAQ9661,,,,unmatched,634,508,1,AL:490;FL:10;MS:4;TN:2;GA:1;LA:1,medium
