lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,la_originations,states_with_originations,priority_match
NSGZD26XPW2CUM2JKU70,,,,unmatched,5969,3719,2258,LA:2258;FL:538;MS:480;TX:209;AL:204;GA:6;TN:5;NC:5;OK:3;SC:2,high
549300MCPCNPQAOB4032,,,,unmatched,4806,2960,2035,LA:2035;AL:423;MS:214;GA:96;AR:39;IL:36;TX:33;FL:23;TN:18;SC:18,medium
5493001F7QT2YW3K8D98,,,,unmatched,3708,2711,1879,LA:1879;AL:316;MS:249;FL:186;TX:72;TN:9,medium
5493008RSN6F31BTGT93,,,,unmatched,2298,1587,1409,LA:1409;TX:53;FL:48;MS:40;AL:11;GA:3;NC:3;SC:3;OR:2;MO:2,medium
549300LE3ZOZXUS7W648,,,,unmatched,2420,1634,1369,LA:1369;MS:146;FL:59;TX:22;AL:18;GA:4;CA:3;AR:3;VA:2;SC:2,medium
COOWI3L2W9TPYR3WJX37,,,,unmatched,13363,8447,1305,TN:2513;LA:1305;FL:1045;TX:905;NC:690;AR:628;GA:426;AL:320;MS:167;MO:110,high
254900ZX1UPIG2E7TH11,,,,unmatched,4134,3064,1298,LA:1298;AL:793;SC:288;GA:193;TX:186;FL:93;OK:42;PA:38;MS:37;MA:26,high
549300DG3IV05V4C4E03,,,,unmatched,4161,3145,1292,LA:1292;TX:730;AR:516;TN:265;IN:131;GA:86;MS:73;FL:13;OH:6;AL:6,high
EQTWLK1G7ODGC2MGLV11,,,,unmatched,68709,30269,1282,FL:5826;AL:5523;TN:5322;GA:2869;MS:1886;LA:1282;TX:1252;MO:1188;IL:1168;AR:1129,high
549300XQVJ1XBNFA5536,,,,unmatched,157783,28058,1097,TX:6763;FL:2098;MI:1623;AL:1274;CA:1262;GA:1218;SC:1207;LA:1097;MS:1068;OK:888,high
5493006QG55R8V712J33,,,,unmatched,1288,864,819,LA:819;TX:10;VA:7;FL:6;MS:6;AL:5;CO:2;AR:2;NC:2;MO:1,medium
2549004FXPNKCLIN8250,,,,unmatched,11752,8115,765,OH:1310;TX:1261;CA:797;LA:765;CO:652;WA:606;ID:550;OR:532;IL:348;MT:180,high
Q7C315HKI8VX0SSKBS64,,,,unmatched,20856,14010,730,TX:3639;MS:3510;TN:1772;AL:1759;AR:939;LA:730;GA:614;MO:485;FL:417;SC:52,high
549300K4ZLGS7SRDTL86,,,,unmatched,28384,12086,646,FL:1337;CA:1126;TX:988;GA:737;LA:646;AZ:508;NC:500;TN:491;OH:431;PA:425,high
54930045J8O98TUGTW86,,,,unmatched,907,728,609,LA:609;TX:87;MS:14;FL:6;AL:6;AR:3;NV:1;MI:1;CO:1,medium
549300CB67L6KPJLHE19,,,,unmatched,72633,14578,606,TX:2321;CA:1644;MI:1245;MS:1014;FL:774;LA:606;AL:587;PA:553;WA:550;OR:426,high
54930021WPEXNHYZUL09,,,,unmatched,18947,14467,585,TX:1597;FL:1206;GA:1125;CA:1003;PA:597;LA:585;VA:490;NC:417;OH:417;ID:411,high
D8RBTOL3JO2Q6IEO0F34,,,,unmatched,1311,976,528,LA:528;TX:270;MS:128;AR:10;AL:9;FL:8;TN:6;OK:4;AZ:2;OH:2,medium
549300U18MOAH5F95P15,,,,unmatched,797,521,518,LA:518;MS:3,medium
549300MVSM4XYFQL3X62,,,,unmatched,1080,561,493,LA:493;AR:44;TX:24,medium
549300Z78KW88BIQNR50,,,,unmatched,646,482,482,LA:482,low
254900R51FSMCPO6HB07,,,,unmatched,443,389,389,LA:389,low
549300QFP6J5QSZVF805,,,,unmatched,2619,2030,374,AR:975;ID:428;LA:374;MS:196;TN:20;TX:11;FL:6;MO:4;UT:4;OK:2,medium
254900ZKVJDEYHV22276,,,,unmatched,449,404,374,LA:374;FL:10;MS:6;AL:3;TN:3;TX:3;MA:2;NM:1;VA:1;ME:1,low
